"","Climate.change.affects.my.health.","In.the.future..what.is.the.most.convenient.way.for.you.to.share.your.opinions.about.environmental.issues.and.other.social.issues.","Do.you.agree.or.disagree.with.the.statement.that..climate.change.is.happening..","Do.you.agree.or.disagree.with.the.statement.that..climate.change.is.caused.by.human.activities..","Gender","edu_recode","income_recode","race_recode","zip","min"
"1","Aware","1","Agree Strongly","Agree Strongly","Male","HS","$35,000 to $49,999","Black",53713,"yes"
"2","Aware","125","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","Black",53704,"yes"
"3","Aware","1","Disagree Somewhat","Neutral","Female","SOME_COLLEGE","Less than $25,000","Other",53562,"no"
"4","Aware","1","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","Black",53711,"yes"
"5","Aware","123456","Agree Strongly","Agree Somewhat","Female","HS","Less than $25,000","Black",53711,"yes"
"6","Aware","3","Agree Strongly","Agree Strongly","Male","HS","$50,000 to $74,999","Black",NA,"yes"
"7","Aware","4","Agree Strongly","Agree Somewhat","Female","COLLEGE","Less than $25,000","Black",53711,"yes"
"8","Aware","1356","Agree Strongly","Agree Strongly","Female","COLLEGE","$25,000 to $34,999","Black",NA,"yes"
"9","Aware","13","Agree Strongly","Agree Strongly","Female","HS","$35,000 to $49,999","Black",53713,"yes"
"10","Aware","3","Agree Strongly","Agree Somewhat","Female","COLLEGE",NA,"Other",53713,"no"
"11","Aware","1","Neutral","Agree Somewhat","Female","HS","Less than $25,000","Black",NA,"yes"
"12","Aware","1","Agree Strongly","Agree Strongly","Female","HS","$35,000 to $49,999","Black",53714,"yes"
"13","Aware","1","Agree Strongly","Agree Strongly","Male","HS","Less than $25,000","Black",NA,"yes"
"14","Aware","1","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$25,000 to $34,999","Black",53711,"yes"
"15","Aware","1237","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","White",53714,"no"
"16","Aware","1","Agree Strongly","Agree Strongly","Male","HS","Less than $25,000","Black",53704,"yes"
"17","Aware","34","Agree Strongly","Agree Strongly","Female","COLLEGE","$35,000 to $49,999","White",53715,"no"
"18","Aware","123456","Agree Strongly","Agree Strongly","Female","COLLEGE","$75,000 to $99,999","Black",53718,"yes"
"19","Aware","123","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","Black",53704,"yes"
"20","Aware","1","Agree Strongly","Disagree Strongly","Female","HS","Less than $25,000","Black",53719,"yes"
"21","Aware","346","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","White",53703,"no"
"22","Aware","123456","Agree Strongly","Agree Strongly","Female","COLLEGE","$35,000 to $49,999","Black",53719,"yes"
"23","Aware","134","Agree Somewhat","Disagree Somewhat","Female","HS","$25,000 to $34,999","Black",NA,"yes"
"24","Aware","123456","Agree Strongly","Agree Strongly","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"25","Aware","134","Agree Strongly","Agree Strongly","Female",NA,"$50,000 to $74,999","Black",53719,"yes"
"26","Aware","1234567","Agree Strongly","Agree Somewhat","Female","HS","Less than $25,000","Black",53713,"yes"
"27","Aware","3","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","Less than $25,000","Black",53704,"yes"
"28",NA,"1","Agree Strongly","Agree Somewhat","Male","HS","Less than $25,000","Black",NA,"yes"
"29","Aware","1","Agree Strongly","Agree Somewhat","Female","HS","Less than $25,000","White",53719,"no"
"30","Aware","1237","Disagree Strongly","Agree Strongly","Male","HS","$75,000 to $99,999","Black",53713,"yes"
"31","Aware","123","Agree Strongly","Agree Strongly","Non-binary","COLLEGE","Less than $25,000","Black",53704,"yes"
"32","Aware","13","Agree Strongly","Agree Strongly","Female","HS","$200,000 or more","White",53704,"no"
"33","Aware","1235","Neutral","Neutral","Female",NA,"Less than $25,000",NA,53713,"no"
"34","Aware","7","Agree Strongly","Agree Somewhat","Female","HS","Less than $25,000","Black",53711,"yes"
"35","Aware","1","Agree Strongly","Agree Strongly","Male","HS","Less than $25,000","Black",53713,"yes"
"36","Aware","12346","Agree Strongly","Agree Somewhat","Non-binary","HS","Less than $25,000","Black",NA,"yes"
"37","Aware","1356","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","Less than $25,000","White",53713,"no"
"38","Aware","1234","Agree Somewhat","Agree Somewhat","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"39","Aware","2","Agree Strongly","Agree Strongly","Female",NA,"Less than $25,000",NA,53711,"no"
