"","Electrification.is.one.way.to.reduce.carbon.emissions.at.my.home.","I.can.go.to.a.cooling.center.during.extreme.heat.weather.to.stay.cool.","In.Dane.County..days.over.100.F.will.double.in.the.next.30.years.","Extreme.heat.is.dangerous.to.my.health.","Gender","edu_recode","income_recode","race_recode","zip","min"
"1","Aware","Aware",NA,"Aware","Male","HS","$35,000 to $49,999","Black",53713,"yes"
"2",NA,NA,"Aware","Aware","Female","HS","Less than $25,000","Black",53704,"yes"
"3","Aware","Aware",NA,"Aware","Female","SOME_COLLEGE","Less than $25,000","Other",53562,"no"
"4","Aware","Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"5","Aware","Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"6","Aware","Aware","Aware","Aware","Male","HS","$50,000 to $74,999","Black",NA,"yes"
"7",NA,"Aware","Aware","Aware","Female","COLLEGE","Less than $25,000","Black",53711,"yes"
"8","Aware","Aware",NA,"Aware","Female","COLLEGE","$25,000 to $34,999","Black",NA,"yes"
"9","Aware","Aware","Aware","Aware","Female","HS","$35,000 to $49,999","Black",53713,"yes"
"10",NA,NA,NA,"Aware","Female","COLLEGE",NA,"Other",53713,"no"
"11",NA,"Aware",NA,"Aware","Female","HS","Less than $25,000","Black",NA,"yes"
"12","Aware","Aware","Aware","Aware","Female","HS","$35,000 to $49,999","Black",53714,"yes"
"13","Aware","Aware",NA,"Aware","Male","HS","Less than $25,000","Black",NA,"yes"
"14","Aware",NA,NA,"Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Black",53711,"yes"
"15","Aware","Aware","Aware","Aware","Female","HS","Less than $25,000","White",53714,"no"
"16",NA,NA,"Aware","Aware","Male","HS","Less than $25,000","Black",53704,"yes"
"17","Aware","Aware","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","White",53715,"no"
"18","Aware","Aware","Aware","Aware","Female","COLLEGE","$75,000 to $99,999","Black",53718,"yes"
"19","Aware","Aware",NA,"Aware","Female","HS","Less than $25,000","Black",53704,"yes"
"20","Aware","Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53719,"yes"
"21",NA,"Aware","Aware","Aware","Female","HS","Less than $25,000","White",53703,"no"
"22",NA,"Aware","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","Black",53719,"yes"
"23",NA,"Aware",NA,"Aware","Female","HS","$25,000 to $34,999","Black",NA,"yes"
"24","Aware","Aware","Aware","Aware","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"25","Aware","Aware","Aware","Aware","Female",NA,"$50,000 to $74,999","Black",53719,"yes"
"26","Aware","Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53713,"yes"
"27","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Black",53704,"yes"
"28","Aware","Aware",NA,NA,"Male","HS","Less than $25,000","Black",NA,"yes"
"29","Aware","Aware",NA,"Aware","Female","HS","Less than $25,000","White",53719,"no"
"30","Aware","Aware","Aware","Aware","Male","HS","$75,000 to $99,999","Black",53713,"yes"
"31",NA,"Aware","Aware","Aware","Non-binary","COLLEGE","Less than $25,000","Black",53704,"yes"
"32","Aware","Aware","Aware","Aware","Female","HS","$200,000 or more","White",53704,"no"
"33","Aware","Aware","Aware","Aware","Female",NA,"Less than $25,000",NA,53713,"no"
"34","Aware",NA,"Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"35","Aware","Aware","Aware","Aware","Male","HS","Less than $25,000","Black",53713,"yes"
"36",NA,"Aware","Aware","Aware","Non-binary","HS","Less than $25,000","Black",NA,"yes"
"37","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","White",53713,"no"
"38",NA,"Aware","Aware","Aware","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"39","Aware","Aware","Aware","Aware","Female",NA,"Less than $25,000",NA,53711,"no"
"40","Aware","Aware",NA,"Aware","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"41","Aware",NA,"Aware","Aware","Female","COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"42","Aware","Aware","Aware",NA,"Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",NA,"yes"
"43","Aware","Aware","Aware","Aware","Female","HS","$35,000 to $49,999","Hispanic",53713,"yes"
"44","Aware","Aware","Aware","Aware","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"45","Aware","Aware","Aware","Aware","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"46","Aware","Aware","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",NA,"yes"
"47","Aware",NA,NA,"Aware","Male","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"48","Aware","Aware","Aware","Aware","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
"49","Aware","Aware","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",53704,"yes"
"50","Aware","Aware","Aware","Aware","Male","COLLEGE","$75,000 to $99,999","Hispanic",53704,"yes"
"51","Aware","Aware","Aware","Aware","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"52",NA,NA,NA,"Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"53","Aware","Aware","Aware","Aware","Male","HS","$25,000 to $34,999","Hispanic",53704,"yes"
"54","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE",NA,"Hispanic",53713,"yes"
"55","Aware","Aware","Aware","Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"56",NA,"Aware",NA,"Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"57","Aware",NA,"Aware","Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"58","Aware",NA,"Aware","Aware","Male","HS","Less than $25,000","Hispanic",53713,"yes"
"59","Aware",NA,NA,"Aware","Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"60","Aware","Aware","Aware","Aware","Female","COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"61","Aware","Aware","Aware","Aware","Female","HS","$75,000 to $99,999","Hispanic",53562,"yes"
"62","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"63","Aware","Aware","Aware","Aware","Female",NA,"Less than $25,000","Hispanic",53719,"yes"
"64","Aware","Aware","Aware","Aware","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53719,"yes"
"65","Aware","Aware","Aware","Aware","Female",NA,"$35,000 to $49,999","Hispanic",53562,"yes"
"66","Aware",NA,NA,"Aware","Male","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"67",NA,NA,NA,NA,"Female",NA,NA,"Hispanic",53593,"yes"
"68",NA,"Aware",NA,"Aware","Female","HS","Less than $25,000","Hispanic",53704,"yes"
"69","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"70",NA,NA,NA,NA,"Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53713,"yes"
"71","Aware","Aware","Aware","Aware","Male","HS","Less than $25,000","Hispanic",53715,"yes"
"72","Aware","Aware","Aware","Aware","Female","COLLEGE","Less than $25,000","Hispanic",NA,"yes"
"73","Aware",NA,"Aware","Aware","Female","COLLEGE","$50,000 to $74,999","Hispanic",53593,"yes"
"74","Aware","Aware","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"75",NA,"Aware",NA,NA,"Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53575,"yes"
"76","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53575,"yes"
"77","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"78","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53562,"yes"
"79","Aware","Aware","Aware","Aware","Male","HS","$75,000 to $99,999","Hispanic",53711,"yes"
"80","Aware","Aware","Aware","Aware","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"81","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53711,"yes"
"82","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE",NA,"Hispanic",53703,"yes"
"83","Aware","Aware",NA,"Aware","Female","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"84","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53590,"yes"
"85","Aware","Aware","Aware","Aware","Female",NA,NA,"Hispanic",NA,"yes"
"86","Aware",NA,"Aware","Aware","Male","HS","$35,000 to $49,999","Hispanic",53593,"yes"
"87","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"88","Aware","Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",5137,"yes"
"89","Aware","Aware","Aware","Aware","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
