"","X","ID","How.important.are.trees.to.your.everyday.life","Do.you.agree.disagree.that.having.green.spaces.and.trees.has.impacted.your.health.and.quality.of.life.","Trees.capture.carbon.from.the.atmosphere.","Trees.can.reduce.flooding.during.summer.","Gender","edu_recode","income_recode","race_recode","zip","min"
"1",1,101,"Extremely Important","Agree Somewhat","Aware",NA,"Male","HS","$35,000 to $49,999","Black",53713,"yes"
"2",2,103,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","Less than $25,000","Black",53704,"yes"
"3",3,104,NA,"Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Other",53562,"no"
"4",4,105,"Extremely Important","Agree Somewhat","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"5",5,107,"Extremely Important","Agree Somewhat","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"6",6,110,"Neither Important nor Unimportant","Neutral","Aware","Aware","Male","HS","$50,000 to $74,999","Black",NA,"yes"
"7",7,112,"Very Important","Agree Somewhat","Aware","Aware","Female","COLLEGE","Less than $25,000","Black",53711,"yes"
"8",8,113,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Black",NA,"yes"
"9",9,114,"Somewhat Important","Agree Somewhat","Aware","Aware","Female","HS","$35,000 to $49,999","Black",53713,"yes"
"10",10,117,"Extremely Important","Agree Strongly",NA,"Aware","Female","COLLEGE",NA,"Other",53713,"no"
"11",11,119,"Very Important","Agree Strongly","Aware",NA,"Female","HS","Less than $25,000","Black",NA,"yes"
"12",12,122,"Very Important","Agree Somewhat","Aware","Aware","Female","HS","$35,000 to $49,999","Black",53714,"yes"
"13",13,125,"Extremely Important","Agree Strongly","Aware","Aware","Male","HS","Less than $25,000","Black",NA,"yes"
"14",14,126,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Black",53711,"yes"
"15",15,127,"Extremely Unimportant","Agree Strongly","Aware","Aware","Female","HS","Less than $25,000","White",53714,"no"
"16",16,129,"Very Important","Neutral","Aware",NA,"Male","HS","Less than $25,000","Black",53704,"yes"
"17",17,131,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","White",53715,"no"
"18",18,133,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$75,000 to $99,999","Black",53718,"yes"
"19",19,136,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","Less than $25,000","Black",53704,"yes"
"20",20,139,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","Less than $25,000","Black",53719,"yes"
"21",21,142,"Neither Important nor Unimportant","Agree Somewhat","Aware","Aware","Female","HS","Less than $25,000","White",53703,"no"
"22",22,144,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","Black",53719,"yes"
"23",23,145,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","$25,000 to $34,999","Black",NA,"yes"
"24",24,149,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"25",25,150,"Extremely Important","Agree Strongly","Aware","Aware","Female",NA,"$50,000 to $74,999","Black",53719,"yes"
"26",26,153,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","Less than $25,000","Black",53713,"yes"
"27",27,154,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Black",53704,"yes"
"28",28,155,"Extremely Important","Neutral","Aware","Aware","Male","HS","Less than $25,000","Black",NA,"yes"
"29",29,156,"Very Important","Agree Somewhat","Aware","Aware","Female","HS","Less than $25,000","White",53719,"no"
"30",30,157,"Extremely Important","Agree Strongly","Aware","Aware","Male","HS","$75,000 to $99,999","Black",53713,"yes"
"31",31,158,"Extremely Important","Agree Strongly","Aware","Aware","Non-binary","COLLEGE","Less than $25,000","Black",53704,"yes"
