,ID,How important is energy saving at home to your everyday life,Do you agree/disagree that energy saving has impacted your quality of life?,Gender,edu_recode,income_recode,race_recode,zip
1,101,Extremely Important,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
2,103,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
3,104,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"Less than $25,000",Other,53562
4,105,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
5,107,Extremely Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
6,110,Extremely Important,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
7,112,Extremely Important,Neutral,Female,Bachelors Degree or Higher,"Less than $25,000",Black,53711
8,113,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Black,NA
9,114,Very Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
10,117,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,NA,Other,53713
11,119,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
12,122,Very Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53714
13,125,NA,Agree Strongly,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
14,126,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$25,000 to $34,999",Black,53711
15,127,Neither Important nor Unimportant,Neutral,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53714
16,129,Extremely Important,Neutral,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
17,131,Extremely Important,Agree Somewhat,Female,Bachelors Degree or Higher,"$35,000 to $49,999",White,53715
18,133,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Black,53718
19,136,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
20,139,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53719
21,142,Neither Important nor Unimportant,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53703
22,144,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Black,53719
23,145,Very Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Black,NA
24,149,Very Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
25,150,Extremely Important,Agree Strongly,Female,NA,"$50,000 to $74,999",Black,53719
26,153,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53713
27,154,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"Less than $25,000",Black,53704
28,155,Extremely Important,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
29,156,Extremely Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53719
30,157,Extremely Important,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Black,53713
31,158,Extremely Important,Agree Strongly,Non-binary,Bachelors Degree or Higher,"Less than $25,000",Black,53704
32,159,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$200,000 or more",White,53704
33,163,Very Important,Agree Somewhat,Female,NA,"Less than $25,000",NA,53713
34,164,Very Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
35,165,Extremely Important,Neutral,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53713
36,169,Extremely Important,Agree Somewhat,Non-binary,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
37,170,Very Important,Agree Strongly,Female,Some College or Associates Degree,"Less than $25,000",White,53713
38,171,Very Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
