,Contribution ID,What do you think are the most urgent environmental issues facting your community?,I would like to learn more about how environmental issues impact my community.,"When I have questions about climate change or environmental issues, I know where to go for the information.",How informed would you now say you are about environmental issues in your community?,How much do you now feel like you know about climate change?,People like me can have a say in the environment justice issues related to my community.,People like me can have an impact on the environment policymaking process in my community. ,I have the knowledge and skills I need to improve environment in my community. ,I have the knowledge and skills I need to respond to the collective problems facing my community. ,I want to work with other community members to take actions to improve environment in my community. ,I can create positive changes in my life. ,I have the ownership over environment problems facing my community. ,What are your goals to improve the quality of environment?,Do you agree/disagree that new technology can slow down climate change?,"If there is new technology to slow down climate change, how likely are you willing to use it in your community?",Who do you think should be responsible for ensuring that new technology is developed to slow down climate change?,Who do you think should be responsible for ensuring that new technology is deployed equitably in our community?,What are your concerns of deploying new technologies such as the carbon dioxide removal storage in your neighborhood?,Climate change affects my health.,"In the future, what is the most convenient way for you to share your opinions about environmental issues and other social issues?",Do you agree or disagree with the statement that “climate change is happening”?,Do you agree or disagree with the statement that “climate change is caused by human activities”?,Gender,edu_recode,income_recode,race_recode,zip
1,101,"popultion, need more way to have good air, more energy saving",Agree Strongly,Agree Somewhat,Slightly Informed,Some,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,"help out in community, community garden, use car less",Disagree Somewhat,Agree Somewhat,1,2,NA,Aware,1,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
2,103,"more trees, more gardening space more money in communities to promote good health",Agree Strongly,Neutral,Very Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,"unplug, less water usage, turn down thermostat",Agree Somewhat,Neutral,1,1,I don't like technology,Aware,125,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
3,104,Technology,Agree Strongly,Agree Strongly,Moderately Informed,A Little,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,NA,Disagree Strongly,Agree Somewhat,1,1,NA,Aware,1,Disagree Somewhat,Neutral,Female,Some College or Associates Degree,"Less than $25,000",Other,53562
4,105,not knowing,Agree Strongly,Agree Somewhat,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,trying to keep it clean,Agree Somewhat,Agree Somewhat,1234,12345,where are they gonna put it?,Aware,1,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
5,107,polution,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Neutral,"Improve my physical surroundings, at home, outside and in public areas",Neutral,Agree Somewhat,1234,1234,That all communities will have equality in the removal,Aware,123456,Agree Strongly,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
6,110,global warming,Disagree Somewhat,Neutral,Moderately Informed,Some,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Strongly,Agree Somewhat,Disagree Strongly,continue working to be a productive citizen who pays taxes to have other that know better than me can make changes,Agree Strongly,Agree Strongly,1,1,that with all technologies there are positives but also negatives,Aware,3,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
7,112,Affordable heating and cooling cost with environmental friendly and efficient appliances,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neutral,Agree Strongly,Agree Somewhat,Disagree Somewhat,lower my footprint and consumption on the environment weatherize my home. Turn off appliances not in use.,Agree Somewhat,Agree Somewhat,245,5,Will it affect my health and others and will it be affordable for low income residents?,Aware,4,Agree Strongly,Agree Somewhat,Female,Bachelors Degree or Higher,"Less than $25,000",Black,53711
8,113,The most urgent is global warming and we should all be mindful of the environment and one day at a time clean it up. Starting c plastic bottles stop filling up our landfills & water.,Agree Strongly,Agree Strongly,Informed,Some,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Eliminate using plastic bottles,Agree Somewhat,Agree Somewhat,1,1,Grow more trees,Aware,1356,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Black,NA
9,114,cost and access to resources for heating and cooling,Agree Somewhat,Agree Somewhat,Very Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,1. Start gardening 2) be more cautious about the amount of energy I use.,Agree Somewhat,Agree Strongly,1234,13,cost,Aware,13,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
10,117,"Extreme heat, unpredictable rain",Agree Somewhat,Agree Somewhat,Informed,Some,Agree Strongly,Agree Somewhat,Neutral,Neutral,Neutral,Agree Strongly,Neutral,Planting more trees & saving electricity,Agree Somewhat,Agree Somewhat,124,124,Excess tree plantation drives to monitor the status of trees not staying healthy for longer,Aware,3,Agree Strongly,Agree Somewhat,Female,Bachelors Degree or Higher,NA,Other,53713
11,119,Need of more trees in the Fitchburg community. Need to teach people how to grow their food.,Agree Somewhat,Neutral,Moderately Informed,Some,Neutral,Neutral,Disagree Somewhat,Neutral,Disagree Somewhat,Disagree Strongly,Neutral,NA,Neutral,Agree Somewhat,1,1,NA,Aware,1,Neutral,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
12,122,I thought it was good cause I was allowed to share my ideas,Agree Somewhat,Agree Somewhat,Informed,A lot,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Sharing ideas with the community about saving money,Agree Somewhat,Agree Somewhat,12345,123,getting rid of old electronics that are not being used,Aware,1,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53714
13,125,Climate change,Agree Strongly,Disagree Strongly,Slightly Informed,Some,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Strongly,use electric for utilities,Agree Strongly,Agree Strongly,1,1,none,Aware,1,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
