,ID,How important are trees to your everyday life,Do you agree/disagree that having green spaces and trees has impacted your health and quality of life?,Trees capture carbon from the atmosphere.,Trees can reduce flooding during summer.,Gender,edu_recode,income_recode,race_recode,zip
1,101,Extremely Important,Agree Somewhat,Aware,NA,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
2,103,Extremely Important,Agree Strongly,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
3,104,NA,Agree Strongly,Aware,Aware,Female,Some College or Associates Degree,"Less than $25,000",Other,53562
4,105,Extremely Important,Agree Somewhat,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
5,107,Extremely Important,Agree Somewhat,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
6,110,Neither Important nor Unimportant,Neutral,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
7,112,Very Important,Agree Somewhat,Aware,Aware,Female,Bachelors Degree or Higher,"Less than $25,000",Black,53711
8,113,Extremely Important,Agree Strongly,Aware,Aware,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Black,NA
9,114,Somewhat Important,Agree Somewhat,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
10,117,Extremely Important,Agree Strongly,NA,Aware,Female,Bachelors Degree or Higher,NA,Other,53713
11,119,Very Important,Agree Strongly,Aware,NA,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
12,122,Very Important,Agree Somewhat,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53714
13,125,Extremely Important,Agree Strongly,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
14,126,Extremely Important,Agree Strongly,Aware,Aware,Female,Some College or Associates Degree,"$25,000 to $34,999",Black,53711
15,127,Extremely Unimportant,Agree Strongly,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53714
16,129,Very Important,Neutral,Aware,NA,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
17,131,Extremely Important,Agree Strongly,Aware,Aware,Female,Bachelors Degree or Higher,"$35,000 to $49,999",White,53715
18,133,Extremely Important,Agree Strongly,Aware,Aware,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Black,53718
19,136,Extremely Important,Agree Strongly,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
20,139,Extremely Important,Agree Strongly,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53719
21,142,Neither Important nor Unimportant,Agree Somewhat,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53703
22,144,Extremely Important,Agree Strongly,Aware,Aware,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Black,53719
23,145,Extremely Important,Agree Strongly,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Black,NA
24,149,Extremely Important,Agree Strongly,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
