"","STATEFP.x","COUNTYFP","TRACTCE","GEOID.x","NAME.x","NAMELSAD","MTFCC","FUNCSTAT","ALAND.x","AWATER.x","INTPTLAT","INTPTLON","STATEFP.y","SLDUST","AFFGEOID","GEOID.y","NAME.y","LSAD","LSY","ALAND.y","AWATER.y"
"1","55","009","940002","55009940002","9400.02","Census Tract 9400.02","G5020","S",11512825,17646,"+44.5153993","-088.1275536","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"2","55","009","001600","55009001600","16","Census Tract 16","G5020","S",3642836,25211,"+44.4885958","-087.9835008","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"2.1","55","009","001600","55009001600","16","Census Tract 16","G5020","S",3642836,25211,"+44.4885958","-087.9835008","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"3","55","009","001801","55009001801","18.01","Census Tract 18.01","G5020","S",11455286,34950,"+44.5146596","-087.9165411","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"3.1","55","009","001801","55009001801","18.01","Census Tract 18.01","G5020","S",11455286,34950,"+44.5146596","-087.9165411","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"4","55","009","001802","55009001802","18.02","Census Tract 18.02","G5020","S",19656283,20676600,"+44.5383388","-087.9846142","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"4.1","55","009","001802","55009001802","18.02","Census Tract 18.02","G5020","S",19656283,20676600,"+44.5383388","-087.9846142","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"5","55","009","002001","55009002001","20.01","Census Tract 20.01","G5020","S",6976236,13298,"+44.4981471","-087.9606188","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"6","55","009","002002","55009002002","20.02","Census Tract 20.02","G5020","S",3581037,0,"+44.4805404","-087.9563154","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"7","55","009","002003","55009002003","20.03","Census Tract 20.03","G5020","S",13565402,16425,"+44.4861617","-087.9132809","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
