,Contribution ID,Climate pollutants come from transportation and buildings that burn lots of fossil fuels etc.,Carbon dioxide can be removed by growing more trees.,Carbon dioxide can be removed by new technologies.,Gender,edu_recode,income_recode,race_recode,zip
1,101,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
2,103,Aware,Aware,NA,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
3,104,NA,NA,NA,Female,Some College or Associates Degree,"Less than $25,000",Other,53562
4,105,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
5,107,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
6,110,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
7,112,Aware,Aware,NA,Female,Bachelors Degree or Higher,"Less than $25,000",Black,53711
8,113,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Black,NA
9,114,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53713
10,117,Aware,Aware,NA,Female,Bachelors Degree or Higher,NA,Other,53713
11,119,NA,Aware,NA,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
12,122,NA,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Black,53714
13,125,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
14,126,Aware,Aware,Aware,Female,Some College or Associates Degree,"$25,000 to $34,999",Black,53711
15,127,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53714
16,129,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
17,131,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$35,000 to $49,999",White,53715
18,133,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Black,53718
19,136,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
20,139,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53719
21,142,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53703
22,144,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Black,53719
23,145,NA,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Black,NA
24,149,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
25,150,Aware,Aware,Aware,Female,NA,"$50,000 to $74,999",Black,53719
26,153,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53713
27,154,Aware,Aware,Aware,Female,Some College or Associates Degree,"Less than $25,000",Black,53704
28,155,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
29,156,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53719
30,157,NA,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Black,53713
31,158,Aware,Aware,NA,Non-binary,Bachelors Degree or Higher,"Less than $25,000",Black,53704
32,159,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$200,000 or more",White,53704
33,163,Aware,Aware,Aware,Female,NA,"Less than $25,000",NA,53713
34,164,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
35,165,NA,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53713
36,169,Aware,Aware,Aware,Non-binary,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
37,170,Aware,Aware,Aware,Female,Some College or Associates Degree,"Less than $25,000",White,53713
38,171,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
39,200,Aware,Aware,Aware,Female,NA,"Less than $25,000",NA,53711
40,103,Aware,Aware,Aware,Male,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53562
41,104,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Hispanic,53562
42,105,Aware,NA,NA,Female,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,NA
43,107,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Hispanic,53713
44,108,Aware,Aware,Aware,Female,Less than High School Diploma,"Less than $25,000",Hispanic,53593
45,109,Aware,Aware,Aware,Female,Less than High School Diploma,"Less than $25,000",Hispanic,53593
46,111,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,NA
47,112,Aware,Aware,Aware,Male,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53562
48,113,Aware,Aware,Aware,Male,Less than High School Diploma,"Less than $25,000",Hispanic,NA
49,114,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53704
50,115,Aware,Aware,Aware,Male,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53704
51,116,NA,Aware,Aware,Male,Some College or Associates Degree,"Less than $25,000",Hispanic,53562
52,118,NA,Aware,Aware,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,53713
53,119,NA,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Hispanic,53704
54,122,Aware,Aware,Aware,Female,Some College or Associates Degree,NA,Hispanic,53713
55,124,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
56,125,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
57,126,Aware,Aware,Aware,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
58,127,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53713
59,130,Aware,NA,Aware,Male,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53562
