"","GEOID","full_geoid"
"1",55033,"State Senate District 33 (2018), Wisconsin"
"2",55001,"State Senate District 1 (2018), Wisconsin"
"3",55002,"State Senate District 2 (2018), Wisconsin"
"4",55003,"State Senate District 3 (2018), Wisconsin"
"5",55004,"State Senate District 4 (2018), Wisconsin"
"6",55005,"State Senate District 5 (2018), Wisconsin"
"7",55006,"State Senate District 6 (2018), Wisconsin"
"8",55007,"State Senate District 7 (2018), Wisconsin"
"9",55008,"State Senate District 8 (2018), Wisconsin"
"10",55009,"State Senate District 9 (2018), Wisconsin"
"11",55010,"State Senate District 10 (2018), Wisconsin"
"12",55011,"State Senate District 11 (2018), Wisconsin"
"13",55012,"State Senate District 12 (2018), Wisconsin"
"14",55013,"State Senate District 13 (2018), Wisconsin"
"15",55014,"State Senate District 14 (2018), Wisconsin"
"16",55015,"State Senate District 15 (2018), Wisconsin"
"17",55016,"State Senate District 16 (2018), Wisconsin"
"18",55017,"State Senate District 17 (2018), Wisconsin"
"19",55018,"State Senate District 18 (2018), Wisconsin"
"20",55019,"State Senate District 19 (2018), Wisconsin"
"21",55020,"State Senate District 20 (2018), Wisconsin"
"22",55021,"State Senate District 21 (2018), Wisconsin"
"23",55022,"State Senate District 22 (2018), Wisconsin"
"24",55023,"State Senate District 23 (2018), Wisconsin"
"25",55024,"State Senate District 24 (2018), Wisconsin"
"26",55025,"State Senate District 25 (2018), Wisconsin"
"27",55026,"State Senate District 26 (2018), Wisconsin"
"28",55027,"State Senate District 27 (2018), Wisconsin"
"29",55028,"State Senate District 28 (2018), Wisconsin"
"30",55029,"State Senate District 29 (2018), Wisconsin"
"31",55030,"State Senate District 30 (2018), Wisconsin"
"32",55031,"State Senate District 31 (2018), Wisconsin"
"33",55032,"State Senate District 32 (2018), Wisconsin"
