  -Block: 2002,Census Tract 1, Dane County, Wisconsin
  -Block: 1001,Census Tract 2.01, Dane County, Wisconsin
  -Block: 2000,Census Tract 2.04, Dane County, Wisconsin
  -Block: 3000,Census Tract 2.04, Dane County, Wisconsin
  -Block: 4005,Census Tract 2.05, Dane County, Wisconsin
  -Block: 4013,Census Tract 2.05, Dane County, Wisconsin
  -Block: 2010,Census Tract 4.01, Dane County, Wisconsin
  -Block: 2011,Census Tract 4.01, Dane County, Wisconsin
  -Block: 2005,Census Tract 4.07, Dane County, Wisconsin
  -Block: 4003,Census Tract 4.07, Dane County, Wisconsin
  -Block: 3000,Census Tract 4.09, Dane County, Wisconsin
  -Block: 1015,Census Tract 5.01, Dane County, Wisconsin
  -Block: 1003,Census Tract 5.01, Dane County, Wisconsin
  -Block: 3006,Census Tract 5.01, Dane County, Wisconsin
  -Block: 3004,Census Tract 5.01, Dane County, Wisconsin
  -Block: 5005,Census Tract 5.04, Dane County, Wisconsin
  -Block: 1003,Census Tract 5.04, Dane County, Wisconsin
  -Block: 2004,Census Tract 7, Dane County, Wisconsin
  -Block: 3004,Census Tract 7, Dane County, Wisconsin
  -Block: 3004,Census Tract 8, Dane County, Wisconsin
  -Block: 2008,Census Tract 8, Dane County, Wisconsin
  -Block: 1004,Census Tract 9.01, Dane County, Wisconsin
  -Block: 2003,Census Tract 9.02, Dane County, Wisconsin
  -Block: 3006,Census Tract 9.02, Dane County, Wisconsin
  -Block: 2010,Census Tract 9.02, Dane County, Wisconsin
  -Block: 2009,Census Tract 11.01, Dane County, Wisconsin
  -Block: 1001,Census Tract 11.02, Dane County, Wisconsin
  -Block: 4021,Census Tract 12, Dane County, Wisconsin
  -Block: 3018,Census Tract 14.01, Dane County, Wisconsin
  -Block: 3027,Census Tract 14.01, Dane County, Wisconsin
  -Block: 3016,Census Tract 14.01, Dane County, Wisconsin
  -Block: 3019,Census Tract 14.01, Dane County, Wisconsin
  -Block: 1051,Census Tract 14.02, Dane County, Wisconsin
  -Block: 3004,Census Tract 14.02, Dane County, Wisconsin
  -Block: 3013,Census Tract 14.02, Dane County, Wisconsin
  -Block: 1071,Census Tract 14.02, Dane County, Wisconsin
  -Block: 1029,Census Tract 14.02, Dane County, Wisconsin
  -Block: 2006,Census Tract 14.02, Dane County, Wisconsin
  -Block: 3016,Census Tract 14.02, Dane County, Wisconsin
  -Block: 2002,Census Tract 14.04, Dane County, Wisconsin
  -Block: 2039,Census Tract 14.05, Dane County, Wisconsin
  -Block: 2004,Census Tract 15.01, Dane County, Wisconsin
  -Block: 2003,Census Tract 15.01, Dane County, Wisconsin
  -Block: 2002,Census Tract 15.01, Dane County, Wisconsin
  -Block: 3001,Census Tract 15.02, Dane County, Wisconsin
  -Block: 3000,Census Tract 15.02, Dane County, Wisconsin
  -Block: 2041,Census Tract 15.02, Dane County, Wisconsin
  -Block: 3002,Census Tract 16.03, Dane County, Wisconsin
  -Block: 2000,Census Tract 16.03, Dane County, Wisconsin
  -Block: 4002,Census Tract 16.04, Dane County, Wisconsin
  -Block: 2010,Census Tract 16.05, Dane County, Wisconsin
  -Block: 1000,Census Tract 17.04, Dane County, Wisconsin
  -Block: 4007,Census Tract 17.04, Dane County, Wisconsin
  -Block: 1003,Census Tract 17.04, Dane County, Wisconsin
  -Block: 2001,Census Tract 17.04, Dane County, Wisconsin
  -Block: 1002,Census Tract 17.06, Dane County, Wisconsin
  -Block: 2001,Census Tract 18.02, Dane County, Wisconsin
  -Block: 3012,Census Tract 18.04, Dane County, Wisconsin
  -Block: 4003,Census Tract 19.01, Dane County, Wisconsin
  -Block: 4004,Census Tract 19.01, Dane County, Wisconsin
  -Block: 1007,Census Tract 19.01, Dane County, Wisconsin
  -Block: 3017,Census Tract 19.01, Dane County, Wisconsin
  -Block: 3022,Census Tract 20, Dane County, Wisconsin
  -Block: 3017,Census Tract 21, Dane County, Wisconsin
  -Block: 1023,Census Tract 21, Dane County, Wisconsin
  -Block: 1009,Census Tract 23.01, Dane County, Wisconsin
  -Block: 2000,Census Tract 23.01, Dane County, Wisconsin
  -Block: 1020,Census Tract 24.02, Dane County, Wisconsin
  -Block: 1035,Census Tract 25, Dane County, Wisconsin
  -Block: 1003,Census Tract 26.01, Dane County, Wisconsin
  -Block: 1005,Census Tract 26.02, Dane County, Wisconsin
  -Block: 2016,Census Tract 26.03, Dane County, Wisconsin
  -Block: 2013,Census Tract 27, Dane County, Wisconsin
  -Block: 1026,Census Tract 28, Dane County, Wisconsin
  -Block: 1007,Census Tract 29, Dane County, Wisconsin
  -Block: 2016,Census Tract 29, Dane County, Wisconsin
  -Block: 1016,Census Tract 29, Dane County, Wisconsin
  -Block: 2019,Census Tract 29, Dane County, Wisconsin
  -Block: 4005,Census Tract 30.01, Dane County, Wisconsin
  -Block: 2012,Census Tract 30.02, Dane County, Wisconsin
