"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","UNDERREP_FEMALE","UNDERREP_MALE","UNDERREP_TOTAL","UNDERREP_18_to_24","UNDERREP_25_to_34","UNDERREP_35_to_44","UNDERREP_45_to_54","UNDERREP_55_to_64","UNDERREP_65_over"
"1","55003","Ashland County, Wisconsin",174,418,398,341,706,800,1057,820,384,99,180,384,295,321,743,761,1092,811,339,294,12,32,0,0,0,2,1,0,0,0,9,0,0,1,2,2,0,0,0,0,12,32,0,0,0,2,1,0,0,0,9,0,0,1,2,2,0,0,0,0,0,0,0,0,3,11,5,0,0,0,0,19,0,0,29,3,0,6,11,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,6,14,0,0,0,0,1,0,0,4,12,0,7,0,0,0,1,39,33,19,3,18,9,12,1,0,17,9,9,44,66,35,16,10,0,0,174,412,347,341,700,800,1054,812,374,99,180,377,293,321,715,755,1090,806,339,294,6,6,51,5,16,15,3,12,10,0,7,7,16,20,40,12,15,5,0,0,14,46,60,53,1,2,4,1,0,107,121,228,26,92,56,27,18,27,121,167,288,79,93,58,31,19,27
"2","55005","Barron County, Wisconsin",395,1087,1191,1102,2393,2640,3398,2763,1317,434,357,1028,1056,1142,2285,2565,3377,2781,1692,726,58,8,15,0,45,38,90,18,15,0,0,24,43,3,0,61,19,0,0,0,58,8,15,0,45,38,90,18,15,0,0,24,43,3,0,61,19,0,0,0,0,48,0,0,17,13,11,0,9,0,17,9,6,12,11,9,14,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,0,94,61,22,19,1,0,0,0,0,7,56,9,6,29,0,0,0,0,121,0,5,35,30,5,9,10,0,2,14,71,12,46,31,5,10,0,0,395,1083,1178,1083,2341,2638,3388,2762,1299,426,357,980,1030,1084,2261,2562,3362,2763,1688,726,22,34,13,84,113,29,34,2,18,8,0,70,35,114,33,12,44,18,4,0,131,197,328,90,61,45,99,109,33,286,323,609,126,246,146,41,78,50,417,520,937,216,307,191,140,187,83
"3","55009","Brown County, Wisconsin",2693,6707,7321,7092,13879,15162,15814,10448,4619,1616,2916,7021,6867,6983,13685,15164,16409,11501,5938,3100,117,439,525,375,602,433,262,37,13,0,103,253,158,260,351,243,144,65,23,0,117,439,525,375,602,433,262,37,13,0,103,253,158,260,351,243,144,65,23,0,130,357,527,482,557,367,221,114,84,0,77,429,570,431,621,416,235,180,35,4,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,6,178,329,346,451,855,344,167,121,41,0,126,326,331,294,601,322,261,161,12,0,287,482,157,399,512,242,143,45,10,44,125,404,532,373,775,226,359,107,1,0,2535,6285,6844,6849,13201,14469,15550,10350,4570,1604,2645,6559,6622,6745,13135,14489,16142,11418,5887,3089,436,990,924,861,1750,1133,631,249,98,12,418,910,760,722,1452,1072,618,275,63,17,1456,2541,3997,912,1318,953,676,406,138,5689,6453,12142,2754,3267,3202,2205,1249,714,7145,8994,16139,3666,4585,4155,2881,1655,852
"4","55011","Buffalo County, Wisconsin",131,317,330,358,684,850,1058,885,381,175,106,309,288,294,686,812,1009,749,491,196,0,0,12,4,2,10,20,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,4,2,10,20,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,5,23,11,1,7,0,0,0,0,6,0,19,1,0,0,0,0,0,9,0,0,6,20,2,4,2,0,0,0,10,2,0,59,14,2,2,0,128,309,329,355,662,842,1058,872,381,175,106,306,288,294,658,808,1008,749,491,196,4,11,11,8,45,20,0,20,0,0,0,3,6,0,47,12,2,0,0,0,1,32,33,0,16,3,10,21,4,68,119,187,18,25,92,32,2,20,69,151,220,18,41,95,42,23,24
"5","55015","Calumet County, Wisconsin",495,1265,1273,1335,3126,3556,3547,2177,842,432,494,1173,1093,1316,3136,3478,3427,2247,1122,550,0,5,69,0,37,5,21,1,12,0,0,17,0,0,20,32,23,0,0,0,0,5,69,0,37,5,21,1,12,0,0,17,0,0,20,32,23,0,0,0,12,94,22,107,46,53,69,0,3,0,12,17,25,25,125,124,51,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,56,4,77,0,0,0,0,0,13,11,13,28,20,0,0,0,0,17,60,3,70,14,34,4,10,0,12,10,105,34,62,13,66,8,0,0,495,1180,1200,1306,2983,3489,3530,2176,831,432,470,1148,1083,1294,2968,3439,3417,2246,1112,550,0,100,125,32,240,79,115,1,11,0,24,25,113,33,227,67,30,1,10,0,69,129,198,22,69,57,37,44,13,500,588,1088,149,303,467,146,145,23,569,717,1286,171,372,524,183,189,36
"6","55017","Chippewa County, Wisconsin",642,1640,1801,1962,4026,4217,4675,3370,1375,585,532,1387,1618,1751,3564,3794,4547,3340,1603,1055,17,48,90,56,318,187,88,0,0,0,1,1,2,0,26,6,0,0,20,9,17,48,90,56,318,187,88,0,0,0,1,1,2,0,26,6,0,0,20,9,0,19,5,114,71,5,55,13,3,0,7,44,40,54,85,44,66,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,19,13,31,27,0,0,0,1,0,37,6,0,1,0,0,0,0,4,84,126,32,102,162,54,10,2,10,8,16,14,20,12,38,22,8,1,0,619,1625,1769,1941,3972,4191,4667,3353,1375,585,515,1371,1587,1745,3466,3770,4514,3326,1601,1054,23,50,61,40,84,135,41,17,0,0,18,16,68,12,98,35,33,14,2,1,65,716,781,67,148,344,193,88,29,264,410,674,107,181,182,170,74,34,329,1126,1455,174,329,526,363,162,63
"7","55021","Columbia County, Wisconsin",572,1456,1592,1608,3424,3943,4285,3036,1226,490,522,1331,1415,1591,3174,3671,4223,2978,1504,812,17,101,119,49,120,137,76,28,0,0,9,28,11,0,38,26,12,2,1,0,17,101,119,49,120,137,76,28,0,0,9,28,11,0,38,26,12,2,1,0,0,13,4,30,31,17,28,1,0,0,24,4,2,26,40,35,20,47,10,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,8,84,79,18,8,0,0,0,14,33,3,10,102,4,4,10,0,0,11,33,43,30,97,39,22,6,4,0,0,18,42,22,44,58,19,13,13,0,547,1387,1493,1580,3377,3859,4227,3014,1217,490,477,1277,1390,1551,3136,3617,4191,2964,1489,812,25,102,107,112,181,106,74,22,9,0,59,95,32,61,143,71,37,24,15,0,115,571,686,155,179,158,163,88,31,500,664,1164,281,312,324,177,111,70,615,1235,1850,436,491,482,340,199,101
"8","55023","Crawford County, Wisconsin",171,442,409,406,830,998,1232,1082,520,215,135,343,323,387,796,911,1246,1043,515,337,12,64,79,37,27,38,12,6,0,0,0,2,9,4,1,2,5,0,0,0,12,64,79,37,27,38,12,6,0,0,0,2,9,4,1,2,5,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,15,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,13,20,4,17,12,12,11,19,1,1,0,0,7,3,15,22,46,1,13,3,171,430,396,382,818,996,1227,1082,510,215,135,332,323,377,774,903,1246,1043,503,337,0,27,13,24,12,2,8,4,11,1,0,11,0,13,22,8,1,0,12,1,18,263,281,78,129,28,40,17,6,67,94,161,38,50,34,10,9,29,85,357,442,116,179,62,50,26,35
"9","55027","Dodge County, Wisconsin",855,2369,2576,2680,5493,6004,6701,4172,1713,1066,738,1906,2081,2217,4664,5529,6338,4300,2375,1589,17,112,303,226,465,400,319,57,0,0,4,20,84,1,101,0,25,60,0,35,17,112,303,226,465,400,319,57,0,0,4,20,84,1,101,0,25,60,0,35,2,0,5,22,123,26,46,4,0,0,7,41,35,18,38,38,16,0,17,0,0,7,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,56,56,64,40,46,1,0,0,0,39,23,3,21,20,12,2,0,0,19,112,0,77,55,208,152,8,4,9,9,139,79,33,186,157,84,85,5,5,777,2227,2494,2553,5225,5870,6629,4104,1713,1038,698,1862,1985,2106,4442,5440,6262,4267,2342,1578,172,182,150,203,361,268,139,69,0,28,51,195,127,111,248,178,111,34,33,11,305,1580,1885,153,614,566,400,344,152,988,1433,2421,600,591,609,446,250,175,1293,3013,4306,753,1205,1175,846,594,327
"10","55029","Door County, Wisconsin",210,531,545,551,1410,1555,2333,2393,1147,284,194,491,558,556,1243,1520,2513,2511,1326,479,0,5,4,5,26,2,0,0,0,0,3,0,0,20,55,0,0,0,0,0,0,5,4,5,26,2,0,0,0,0,3,0,0,20,55,0,0,0,0,0,0,2,0,1,36,2,15,2,0,0,2,1,1,12,2,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,37,0,0,0,0,0,7,2,14,8,25,0,6,0,4,0,11,48,30,34,20,48,1,0,0,8,0,14,8,4,0,12,37,0,0,208,529,537,533,1287,1507,2333,2345,1147,284,192,491,503,529,1225,1511,2499,2497,1317,469,2,18,8,18,126,83,3,48,0,0,2,7,79,41,59,22,14,20,9,14,78,42,120,8,29,81,2,0,0,253,303,556,29,146,185,105,17,91,331,345,676,37,175,266,107,17,91
