"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","WHITE_FEMALE","WHITE_MALE","WHITE_TOTAL","WHITE_18_to_24","WHITE_25_to_34","WHITE_35_to_44","WHITE_45_to_54","WHITE_55_to_64","WHITE_65_over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","AI_AN_FEMALE","AI_AN_MALE","AI_AN_TOTAL","AI_AN_18_to_24","AI_AN_25_to_34","AI_AN_35_to_44","AI_AN_45_to_54","AI_AN_55_to_64","AI_AN_65_over","ASIAN_FEMALE","ASIAN_MALE","ASIAN_TOTAL","ASIAN_18_to_24","ASIAN_25_to_34","ASIAN_35_to_44","ASIAN_45_to_54","ASIAN_55_to_64","ASIAN_65_over","NHPI_FEMALE","NHPI_MALE","NHPI_TOTAL","NHPI_18_to_24","NHPI_25_to_34","NHPI_35_to_44","NHPI_45_to_54","NHPI_55_to_64","NHPI_65_over","OTHER_FEMALE","OTHER_MALE","OTHER_TOTAL","OTHER_18_to_24","OTHER_25_to_34","OTHER_35_to_44","OTHER_45_to_54","OTHER_55_to_64","OTHER_65_over","MIXED_FEMALE","MIXED_MALE","MIXED_TOTAL","MIXED_18_to_24","MIXED_25_to_34","MIXED_35_to_44","MIXED_45_to_54","MIXED_55_to_64","MIXED_65_over","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_TOTAL","W_NOTHISP_18_to_24","W_NOTHISP_25_to_34","W_NOTHISP_35_to_44","W_NOTHISP_45_to_54","W_NOTHISP_55_to_64","W_NOTHISP_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","ALL_FEMALE","ALL_MALE","ALL_TOTAL","ALL_18_to_24","ALL_25_to_34","ALL_35_to_44","ALL_45_to_54","ALL_55_to_64","ALL_65_over"
"1","55001","Adams County, Wisconsin",135,378,454,419,948,1258,1997,1883,874,269,121,294,303,331,747,1043,1843,1666,814,344,2,52,67,61,180,62,20,3,4,0,3,0,0,0,4,3,28,10,3,0,2,52,67,61,180,62,20,3,4,0,3,0,0,0,4,3,28,10,3,0,0,0,0,0,17,0,0,3,0,0,0,0,0,17,7,7,5,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,10,8,27,54,21,17,0,0,1,24,8,0,0,44,7,7,0,0,10,7,21,6,35,11,31,23,2,0,8,22,36,6,39,11,44,117,0,0,135,341,386,396,893,1129,1990,1864,859,267,121,284,303,329,742,1043,1833,1653,801,344,0,51,97,31,75,152,33,26,15,2,9,56,32,8,14,15,36,22,13,0,5663,6618,12281,928,1507,1695,2301,3840,5850,23,431,454,57,128,184,65,48,20,23,431,454,57,128,184,65,48,20,41,20,61,0,17,24,7,5,13,0,3,3,0,0,0,0,0,3,84,130,214,39,26,27,98,28,24,239,115,354,47,69,74,22,75,142,5620,6270,11890,881,1414,1635,2172,3823,5788,169,449,618,116,168,89,167,69,78,11862,14467,26329,2125,3457,3912,4897,7936,11938
"2","55003","Ashland County, Wisconsin",179,414,383,342,738,809,1100,897,353,125,193,387,306,318,797,744,1116,849,333,284,23,33,0,11,0,2,8,0,0,0,9,0,0,1,2,1,0,0,0,0,23,33,0,11,0,2,8,0,0,0,9,0,0,1,2,1,0,0,0,0,0,0,33,0,1,3,17,0,0,0,0,0,0,16,6,1,17,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,7,16,0,0,2,0,2,0,0,0,11,0,6,2,0,0,0,42,8,17,16,11,6,7,3,0,25,13,12,33,36,19,9,21,19,2,179,414,340,342,738,809,1097,887,344,125,187,380,303,318,754,739,1114,849,333,284,11,0,43,9,32,17,3,15,11,0,19,7,14,16,54,14,18,5,0,0,4211,4240,8451,1173,1349,1535,1553,2216,2841,13,69,82,65,12,2,3,8,0,13,69,82,65,12,2,3,8,0,33,37,70,0,49,7,4,34,10,1,2,3,0,2,0,0,0,1,15,35,50,2,10,18,16,6,4,180,104,284,80,70,52,30,15,52,4147,4178,8325,1160,1303,1492,1548,2211,2822,129,138,267,37,82,86,31,21,31,8742,8872,17614,2582,2889,3194,3188,4519,5761
"3","55005","Barron County, Wisconsin",415,1080,1197,1108,2482,2674,3534,2879,1299,482,370,1007,1075,1149,2381,2556,3435,2885,1615,749,25,37,19,0,56,41,92,35,0,0,0,49,98,6,0,35,5,0,0,0,25,37,19,0,56,41,92,35,0,0,0,49,98,6,0,35,5,0,0,0,0,55,2,0,12,14,12,0,9,0,27,11,6,11,11,4,21,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,0,91,81,47,18,5,0,0,0,0,5,41,28,9,38,3,13,0,5,129,11,7,55,28,37,48,18,0,4,22,77,21,46,32,36,13,3,0,415,1074,1191,1100,2455,2672,3530,2878,1278,475,370,967,1061,1084,2371,2554,3421,2871,1613,749,25,54,6,73,117,42,40,2,24,7,0,86,28,109,46,18,47,14,15,0,13787,13616,27403,2872,4529,4863,5230,6969,9909,188,213,401,111,123,56,76,97,35,188,213,401,111,123,56,76,97,35,97,92,189,93,19,23,18,33,36,0,0,0,0,0,0,0,0,0,99,302,401,78,137,109,56,56,21,218,301,519,160,116,101,60,73,82,13640,13538,27178,2826,4436,4826,5226,6951,9864,316,350,666,165,216,163,60,87,62,28533,28625,57158,6416,9699,10197,10802,14363,20044
"4","55007","Bayfield County, Wisconsin",114,251,236,257,644,856,1380,1408,593,183,93,235,221,260,628,795,1364,1303,575,202,0,0,5,42,5,5,23,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,5,42,5,5,23,0,0,0,0,31,5,0,0,0,0,0,0,0,2,2,2,13,0,4,12,0,0,0,6,2,0,0,6,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1,0,2,13,1,0,0,0,0,0,1,3,0,2,1,0,0,0,8,50,10,22,7,31,29,2,3,0,4,7,6,44,63,23,41,27,3,3,114,249,236,257,621,832,1380,1396,593,183,93,220,216,256,614,792,1355,1294,573,202,6,21,0,0,23,35,10,12,0,0,4,18,9,6,29,9,18,12,2,0,4312,4542,8854,693,974,1272,1651,2744,4264,36,57,93,31,52,5,5,23,0,36,57,93,31,52,5,5,23,0,25,23,48,12,15,6,10,25,5,0,0,0,0,0,0,0,0,0,6,34,40,18,5,2,15,2,0,180,133,313,69,82,70,54,70,38,4260,4481,8741,676,965,1235,1624,2735,4241,89,97,186,49,15,52,44,28,26,8944,9424,18368,1579,2160,2647,3408,5650,8574
"5","55009","Brown County, Wisconsin",2732,6615,7083,7189,14223,15026,16256,10926,4750,1441,3009,6936,6809,6992,13845,14733,16464,11947,5757,2961,202,361,576,263,830,462,178,29,139,0,126,263,195,292,390,259,88,89,89,0,202,361,576,263,830,462,178,29,139,0,126,263,195,292,390,259,88,89,89,0,208,272,531,498,686,384,204,124,93,0,47,448,550,437,729,424,266,147,69,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,171,319,430,367,814,294,215,43,104,0,135,382,286,256,679,257,234,141,35,32,291,709,239,528,822,512,351,196,119,47,157,527,636,532,884,484,606,170,42,14,2568,6190,6730,6905,13631,14400,16039,10908,4642,1429,2713,6511,6560,6732,13339,14122,16228,11884,5695,2961,466,1040,946,891,1840,1256,681,137,256,12,459,975,798,753,1495,1147,699,261,96,42,72989,69985,142974,19292,28073,28068,29759,32720,37782,1703,2862,4565,952,1326,1220,721,266,346,1703,2862,4565,952,1326,1220,721,266,346,2851,2796,5647,975,2016,1415,808,470,433,22,7,29,7,0,0,12,0,10,2203,2542,4745,1007,1339,1493,551,449,355,3446,3463,6909,1684,1935,1706,996,957,588,70517,67403,137920,17982,26927,26970,28522,32267,37519,6026,6844,12870,2940,3388,3335,2403,1380,804,161460,158764,320224,45791,66330,65427,64493,68775,78183
"6","55011","Buffalo County, Wisconsin",134,321,325,359,715,845,1093,948,371,177,110,303,294,299,696,799,1031,764,477,181,0,0,6,2,9,22,30,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,2,9,22,30,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,3,42,5,0,5,0,0,0,0,0,0,16,14,0,0,0,0,0,1,1,0,4,10,12,5,1,0,0,0,26,0,9,23,18,34,8,0,128,310,325,357,696,838,1091,919,370,177,110,303,294,299,673,798,1027,764,477,181,8,12,11,5,61,17,2,34,1,0,0,0,0,0,41,20,5,0,0,0,3923,4195,8118,868,1277,1411,1644,2124,2918,3,44,47,0,8,12,22,33,5,3,44,47,0,8,12,22,33,5,5,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,68,98,2,14,58,19,0,5,100,22,122,1,27,13,33,30,48,3899,4120,8019,851,1275,1369,1636,2118,2888,61,149,210,20,16,102,37,7,35,8024,8642,16666,1746,2625,2977,3414,4345,5904
"7","55013","Burnett County, Wisconsin",147,271,282,285,674,932,1498,1466,652,208,100,283,280,310,686,849,1434,1331,698,198,0,7,0,4,6,7,4,11,0,0,22,0,3,0,6,0,1,0,10,0,0,7,0,4,6,7,4,11,0,0,22,0,3,0,6,0,1,0,10,0,0,4,0,0,0,2,5,0,0,0,0,8,2,11,8,3,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,9,7,28,21,9,16,41,24,15,6,0,14,15,19,40,33,38,27,0,0,120,266,280,281,651,921,1492,1447,649,208,100,261,280,291,683,839,1425,1328,696,198,27,9,2,12,30,13,7,20,3,0,0,25,0,20,7,10,10,3,2,0,4735,4917,9652,801,1157,1360,1781,2932,4553,41,35,76,29,7,12,7,5,21,41,35,76,29,7,12,7,5,21,38,6,44,12,13,8,5,12,6,4,0,4,4,0,0,0,0,0,2,13,15,0,8,4,0,0,3,148,135,283,30,83,49,49,79,72,4676,4823,9499,747,1132,1334,1760,2917,4526,67,116,183,61,34,37,23,17,28,9752,10080,19832,1713,2441,2816,3632,5967,9230
"8","55015","Calumet County, Wisconsin",527,1252,1294,1379,3260,3613,3812,2386,921,347,513,1196,1135,1330,3217,3481,3639,2422,1164,499,0,8,84,0,30,7,36,4,12,0,5,18,0,6,21,15,21,0,0,0,0,8,84,0,30,7,36,4,12,0,5,18,0,6,21,15,21,0,0,0,33,67,10,81,52,123,69,0,3,0,20,34,13,81,101,80,59,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,5,0,54,17,44,0,0,0,0,29,10,10,38,35,5,0,0,0,3,37,73,16,146,72,34,6,32,0,9,20,103,71,72,61,57,13,0,8,519,1182,1236,1361,3118,3578,3771,2385,921,347,483,1172,1125,1312,3095,3445,3567,2421,1164,499,17,129,105,26,291,70,101,1,0,0,30,53,104,28,217,112,81,10,0,0,14957,14979,29936,3488,5138,6477,7094,7451,7739,65,145,210,31,90,51,22,57,16,65,145,210,31,90,51,22,57,16,349,369,718,154,185,153,203,128,23,0,1,1,1,0,0,0,0,0,122,130,252,83,25,92,52,49,0,357,385,742,69,263,218,133,91,59,14716,14647,29363,3356,5034,6213,7023,7338,7737,554,639,1193,229,263,508,182,182,11,31185,31440,62625,7442,11088,13763,14731,15353,15601
"9","55017","Chippewa County, Wisconsin",654,1650,1836,2000,4321,4233,4885,3561,1395,559,565,1404,1611,1758,3696,3746,4608,3472,1659,932,20,67,76,58,325,212,68,0,5,0,1,1,6,0,42,0,0,0,47,9,20,67,76,58,325,212,68,0,5,0,1,1,6,0,42,0,0,0,47,9,0,55,3,45,57,44,54,12,2,0,69,8,17,39,90,49,52,6,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,33,16,34,18,0,0,0,1,0,19,13,3,1,0,0,0,0,5,64,120,33,97,150,74,45,8,6,23,11,9,30,32,74,92,47,5,0,637,1637,1783,1945,4194,4219,4882,3552,1394,559,544,1390,1606,1751,3605,3726,4593,3467,1657,931,17,21,67,95,153,124,27,33,1,0,27,14,18,30,94,28,24,29,2,1,18843,20209,39052,4273,7205,8017,7979,9493,11578,106,763,869,89,140,367,212,68,61,106,763,869,89,140,367,212,68,61,289,218,507,132,104,147,93,106,31,0,1,1,0,0,1,0,0,0,37,98,135,9,72,19,35,18,0,231,528,759,103,192,129,224,166,111,18677,19920,38597,4208,7085,7799,7945,9475,11560,243,511,754,79,210,247,152,51,66,38532,43011,81543,8982,15148,17093,16852,19445,23468
"10","55019","Clark County, Wisconsin",400,944,848,782,1788,1958,2466,1637,706,306,374,918,777,762,1666,1841,2230,1498,864,540,0,3,11,23,16,20,5,0,0,0,0,0,1,11,3,9,13,0,0,0,0,3,11,23,16,20,5,0,0,0,0,0,1,11,3,9,13,0,0,0,1,0,0,8,2,23,2,0,0,0,0,4,20,3,14,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,5,3,15,17,0,12,0,0,9,3,10,0,44,1,2,34,0,0,4,26,38,46,88,52,16,15,4,0,8,55,27,30,55,44,24,20,7,0,395,901,816,762,1744,1912,2410,1628,706,306,365,866,752,747,1611,1815,2188,1483,864,540,20,80,57,63,127,80,56,17,0,0,18,73,44,41,137,40,50,15,0,0,9240,9369,18609,2636,3169,3454,3799,4696,5551,24,73,97,3,46,19,29,18,0,24,73,97,3,46,19,29,18,0,55,34,89,5,31,16,37,6,0,0,1,1,1,0,0,0,0,0,101,75,176,35,18,59,18,2,46,246,273,519,93,141,143,96,40,46,9043,9170,18213,2527,3077,3355,3727,4598,5527,368,444,812,191,205,264,120,106,32,19101,19512,38613,5494,6733,7329,7855,9484,11202
