,GEOID,full_geoid,male_white_total,male_white_less_hs,male_white_hs_grad,male_white_some_college,male_white_bs,female_white_total,female_white_less_hs,female_white_hs_grad,female_white_some_college,female_white_bs,male_black_total,male_black_less_hs,male_black_hs_grad,male_black_some_college,male_black_bs,female_black_total,female_black_less_hs,female_black_hs_grad,female_black_some_college,female_black_bs,male_aian_total,male_aian_less_hs,male_aian_hs_grad,male_aian_some_college,male_aian_bs,female_aian_total,female_aian_less_hs,female_aian_hs_grad,female_aian_some_college,female_aian_bs,male_asian_total,male_asian_less_hs,male_asian_hs_grad,male_asian_some_college,male_asian_bs,female_asian_total,female_asian_less_hs,female_asian_hs_grad,female_asian_some_college,female_asian_bs,male_nhpi_total,male_nhpi_less_hs,male_nhpi_hs_grad,male_nhpi_some_college,male_nhpi_bs,female_nhpi_total,female_nhpi_less_hs,female_nhpi_hs_grad,female_nhpi_some_college,female_nhpi_bs,male_other_total,male_other_less_hs,male_other_hs_grad,male_other_some_college,male_other_bs,female_other_total,female_other_less_hs,female_other_hs_grad,female_other_some_college,female_other_bs,male_mixed_total,male_mixed_less_hs,male_mixed_hs_grad,male_mixed_some_college,male_mixed_bs,female_mixed_total,female_mixed_less_hs,female_mixed_hs_grad,female_mixed_some_college,female_mixed_bs,male_w_nothisp_total,male_w_nothisp_less_hs,male_w_nothisp_hs_grad,male_w_nothisp_some_college,male_w_nothisp_bs,female_w_nothisp_total,female_w_nothisp_less_hs,female_w_nothisp_hs_grad,female_w_nothisp_some_college,female_w_nothisp_bs,male_hisp_total,male_hisp_less_hs,male_hisp_hs_grad,male_hisp_some_college,male_hisp_bs,female_hisp_total,female_hisp_less_hs,female_hisp_hs_grad,female_hisp_some_college,female_hisp_bs,BLACK_TOTAL,BLACK_FEMALE,BLACK_MALE,BLACK_LESS_HS_TOTAL,BLACK_HS_TOTAL,BLACK_SOME_COLLEGE_TOTAL,BLACK_COLLEGE_TOTAL,HISP_TOTAL,HISP_FEMALE,HISP_MALE,HISP_LESS_HS_TOTAL,HISP_HS_TOTAL,HISP_SOME_COLLEGE_TOTAL,HISP_COLLEGE_TOTAL,UNDERREP_TOTAL,UNDERREP_FEMALE,UNDERREP_MALE,UNDERREP_LESS_HS_TOTAL,UNDERREP_HS_TOTAL,UNDERREP_SOME_COLLEGE_TOTAL,UNDERREP_COLLEGE_TOTAL
1,55003,"Ashland County, Wisconsin",4605,279,1749,1708,869,4656,252,1745,1697,962,3,0,2,1,0,5,0,0,5,0,504,86,170,209,39,410,42,168,156,44,19,3,0,11,5,49,14,0,11,24,21,0,21,0,0,66,0,66,0,0,20,20,0,0,0,23,0,12,7,4,95,2,18,34,41,180,19,2,100,59,4527,260,1745,1676,846,4613,252,1738,1667,956,112,39,5,41,27,108,6,28,44,30,8,5,3,0,2,6,0,220,108,112,45,33,85,57,228,113,115,45,35,91,57
2,55005,"Barron County, Wisconsin",15238,1560,5805,4925,2948,15624,1120,5333,5610,3561,221,53,93,70,5,126,100,1,25,0,139,2,41,69,27,93,7,60,23,3,50,11,18,0,21,82,6,39,11,26,0,0,0,0,0,0,0,0,0,0,197,76,35,68,18,107,79,21,7,0,94,11,32,49,2,175,0,54,97,24,15115,1492,5789,4898,2936,15476,1083,5297,5544,3552,301,140,22,109,30,260,116,57,75,12,347,126,221,153,94,95,5,561,260,301,256,79,184,42,908,386,522,409,173,279,47
3,55009,"Brown County, Wisconsin",75951,4724,23361,25000,22866,79647,3847,23455,26208,26137,2247,426,855,533,433,1244,165,287,565,227,1978,451,682,561,284,1870,184,740,746,200,2352,241,523,543,1045,2492,484,418,309,1281,0,0,0,0,0,24,8,16,0,0,2325,1236,545,509,35,1982,962,444,440,136,1552,204,380,794,174,2373,306,928,563,576,73437,3567,22733,24462,22675,77527,3008,22953,25899,25667,5658,2602,1371,1418,267,4979,1922,1233,980,844,3491,1244,2247,591,1142,1098,660,10637,4979,5658,4524,2604,2398,1111,14128,6223,7905,5115,3746,3496,1771
4,55011,"Buffalo County, Wisconsin",4721,410,2063,1425,823,4525,290,1644,1612,979,52,25,14,12,1,2,1,1,0,0,0,0,0,0,0,32,1,11,11,9,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,57,31,26,0,0,26,18,8,0,0,34,3,23,5,3,89,0,11,66,12,4674,404,2049,1411,810,4492,288,1626,1609,969,104,38,39,14,13,67,20,29,7,11,54,2,52,26,15,12,1,171,67,104,58,68,21,24,225,69,156,84,83,33,25
5,55015,"Calumet County, Wisconsin",16288,901,5454,5457,4476,16369,555,5112,5266,5436,145,41,14,38,52,75,29,11,5,30,74,9,0,46,19,140,12,48,57,23,300,43,80,113,64,356,76,61,106,113,0,0,0,0,0,0,0,0,0,0,160,33,70,42,15,85,56,0,24,5,195,2,14,144,35,288,0,131,117,40,15947,817,5396,5331,4403,16109,509,5031,5201,5368,603,119,131,277,76,481,102,130,174,75,220,75,145,70,25,43,82,1084,481,603,221,261,451,151,1304,556,748,291,286,494,233
6,55017,"Chippewa County, Wisconsin",22011,1626,8232,7796,4357,21272,1141,6352,8318,5461,739,138,274,247,80,63,20,11,6,26,122,1,77,44,0,6,0,2,4,0,266,137,54,35,40,297,58,86,109,44,2,0,2,0,0,0,0,0,0,0,96,36,39,21,0,44,6,37,1,0,498,47,138,267,46,115,20,17,66,12,21853,1592,8192,7753,4316,21063,1121,6296,8211,5435,378,87,93,157,41,263,36,93,108,26,802,63,739,158,285,253,106,641,263,378,123,186,265,67,1443,326,1117,281,471,518,173
7,55021,"Columbia County, Wisconsin",19604,1379,6835,7035,4355,19368,926,5898,7413,5131,529,125,224,128,52,90,11,22,17,40,101,8,54,33,6,85,0,0,36,49,111,8,14,48,41,186,26,50,35,75,2,0,2,0,0,0,0,0,0,0,197,114,55,14,14,133,82,13,32,6,241,26,89,84,42,211,14,85,54,58,19257,1291,6738,6907,4321,19150,886,5839,7333,5092,611,214,186,152,59,383,136,76,122,49,619,90,529,136,246,145,92,994,383,611,350,262,274,108,1613,473,1140,486,508,419,200
8,55023,"Crawford County, Wisconsin",5692,524,2365,1861,942,5558,368,2069,1910,1211,199,64,67,68,0,21,3,3,12,3,20,0,18,0,2,6,0,3,0,3,8,0,0,0,8,51,0,11,16,24,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,1,77,2,46,12,17,110,1,27,68,14,5626,522,2343,1819,942,5506,365,2047,1890,1204,75,4,22,49,0,57,4,22,23,8,220,21,199,67,70,80,3,132,57,75,8,44,72,8,352,78,274,75,114,152,11
9,55027,"Dodge County, Wisconsin",30405,2855,13135,9616,4799,29093,2146,10695,10050,6202,1770,379,788,539,64,306,8,199,51,48,144,9,60,48,27,75,0,46,29,0,226,15,79,43,89,162,9,25,39,89,46,0,37,9,0,0,0,0,0,0,263,95,110,54,4,81,25,38,2,16,513,53,228,202,30,634,10,170,356,98,29626,2608,12866,9429,4723,28422,1891,10467,9902,6162,1218,361,513,265,79,853,280,338,154,81,2076,306,1770,387,987,590,112,2071,853,1218,641,851,419,160,4147,1159,2988,1028,1838,1009,272
10,55029,"Door County, Wisconsin",10218,400,3230,3204,3384,10706,429,3014,3309,3954,37,5,10,0,22,75,0,42,0,33,36,0,22,6,8,102,53,44,5,0,56,1,0,1,54,45,2,10,10,23,0,0,0,0,0,0,0,0,0,0,40,25,12,0,3,59,16,29,9,5,181,26,128,15,12,75,0,18,47,10,9973,367,3148,3102,3356,10550,350,2993,3262,3945,286,58,95,102,31,258,95,69,47,47,112,75,37,5,52,0,55,544,258,286,153,164,149,78,656,333,323,158,216,149,133
