"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"1","55001","Adams County, Wisconsin",8102,1113,3401,2440,1148,7091,633,2924,2285,1249,397,76,194,127,0,48,4,21,7,16,129,35,34,60,0,23,6,5,11,1,20,3,17,0,0,46,4,12,18,12,3,0,0,0,3,0,0,0,0,0,137,49,37,24,27,66,30,4,24,8,129,11,61,55,2,253,33,73,138,9,7784,1030,3225,2381,1148,7048,620,2905,2274,1249,431,151,202,78,0,140,34,63,28,15,15193,7091,8102,1746,6325,4725,2397,445,48,397,80,215,134,16,152,23,129,41,39,71,1,66,46,20,7,29,18,12,3,0,3,0,0,0,3,203,66,137,79,41,48,35,382,253,129,44,134,193,11,14832,7048,7784,1650,6130,4655,2397,571,140,431,185,265,106,15,31847,14715,17132,3832,13178,9950,4887
"2","55003","Ashland County, Wisconsin",4747,259,1903,1667,918,4747,232,1733,1755,1027,21,0,13,8,0,4,0,0,4,0,552,71,202,248,31,553,36,198,281,38,54,17,33,3,1,50,21,0,4,25,2,0,2,0,0,1,0,1,0,0,35,25,0,10,0,19,0,13,6,0,68,1,17,30,20,151,23,27,64,37,4682,237,1902,1650,893,4694,232,1731,1709,1022,130,47,22,31,30,121,9,21,61,30,9494,4747,4747,491,3636,3422,1945,25,4,21,0,13,12,0,1105,553,552,107,400,529,69,104,50,54,38,33,7,26,3,1,2,0,3,0,0,54,19,35,25,13,16,0,219,151,68,24,44,94,57,9376,4694,4682,469,3633,3359,1915,251,121,130,56,43,92,60,20631,10340,10291,1210,7818,7531,4072
"3","55005","Barron County, Wisconsin",15655,1718,5953,5155,2829,15845,989,5390,5675,3791,243,45,107,85,6,144,133,0,11,0,150,3,40,80,27,82,3,55,16,8,49,12,20,0,17,80,10,40,6,24,0,0,0,0,0,0,0,0,0,0,242,89,37,76,40,137,56,30,27,24,204,58,64,71,11,228,17,61,119,31,15579,1673,5945,5144,2817,15724,967,5365,5601,3791,311,123,31,105,52,277,93,57,95,32,31500,15845,15655,2707,11343,10830,6620,387,144,243,178,107,96,6,232,82,150,6,95,96,35,129,80,49,22,60,6,41,0,0,0,0,0,0,0,379,137,242,145,67,103,64,432,228,204,75,125,190,42,31303,15724,15579,2640,11310,10745,6608,588,277,311,216,88,200,84,64950,32517,32433,5989,23195,22266,13500
"4","55007","Bayfield County, Wisconsin",5557,244,1646,1831,1836,5348,201,1311,1800,2036,80,5,47,5,23,5,0,5,0,0,491,82,172,180,57,434,22,115,264,33,31,0,11,19,1,30,0,0,20,10,0,0,0,0,0,0,0,0,0,0,17,0,10,3,4,7,0,1,3,3,104,4,21,47,32,210,5,20,92,93,5498,241,1622,1803,1832,5302,192,1298,1780,2032,80,7,33,28,12,85,9,18,44,14,10905,5348,5557,445,2957,3631,3872,85,5,80,5,52,5,23,925,434,491,104,287,444,90,61,30,31,0,11,39,11,0,0,0,0,0,0,0,24,7,17,0,11,6,7,314,210,104,9,41,139,125,10800,5302,5498,433,2920,3583,3864,165,85,80,16,51,72,26,23279,11421,11858,1012,6330,7919,8018
"5","55009","Brown County, Wisconsin",76894,4716,23002,24784,24392,79508,3765,22927,25598,27218,2477,700,766,584,427,1402,228,350,546,278,1743,374,663,450,256,1773,136,718,653,266,2520,308,505,553,1154,2622,557,477,292,1296,0,0,0,0,0,22,10,12,0,0,2267,962,611,469,225,1920,882,492,371,175,2814,585,915,938,376,3368,446,964,1022,936,74684,3608,22400,24461,24215,77521,3055,22473,25294,26699,6019,2600,1764,1265,390,5291,1860,1253,1052,1126,156402,79508,76894,8481,45929,50382,51610,3879,1402,2477,928,1116,1130,705,3516,1773,1743,510,1381,1103,522,5142,2622,2520,865,982,845,2450,22,22,0,10,12,0,0,4187,1920,2267,1844,1103,840,400,6182,3368,2814,1031,1879,1960,1312,152205,77521,74684,6663,44873,49755,50914,11310,5291,6019,4460,3017,2317,1516,342845,173427,169418,24792,100292,108332,109429
"6","55011","Buffalo County, Wisconsin",4833,436,2129,1467,801,4541,276,1596,1597,1072,74,37,28,9,0,6,3,3,0,0,0,0,0,0,0,11,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,41,25,0,0,30,9,5,14,2,33,6,20,2,5,118,7,26,65,20,4773,400,2112,1462,799,4513,271,1584,1594,1064,131,82,42,5,2,66,15,18,20,13,9374,4541,4833,712,3725,3064,1873,80,6,74,40,31,9,0,11,11,0,5,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,96,30,66,50,30,14,2,151,118,33,13,46,67,25,9286,4513,4773,671,3696,3056,1863,197,66,131,97,60,25,15,19196,9286,9910,1588,7589,6235,3784
"7","55013","Burnett County, Wisconsin",5997,495,2319,1876,1307,5786,336,2170,2013,1267,32,10,17,5,0,20,0,1,19,0,208,21,83,83,21,152,31,45,72,4,7,0,0,5,2,37,4,11,4,18,0,0,0,0,0,0,0,0,0,0,13,0,5,0,8,2,2,0,0,0,160,13,61,60,26,172,10,71,41,50,5929,485,2311,1870,1263,5740,327,2165,2008,1240,87,15,15,6,51,52,9,5,11,27,11783,5786,5997,831,4489,3889,2574,52,20,32,10,18,24,0,360,152,208,52,128,155,25,44,37,7,4,11,9,20,0,0,0,0,0,0,0,15,2,13,2,5,0,8,332,172,160,23,132,101,76,11669,5740,5929,812,4476,3878,2503,139,52,87,24,20,17,78,24394,11961,12433,1758,9279,8073,5284
"8","55015","Calumet County, Wisconsin",17012,915,5643,5759,4695,16887,589,5274,5379,5645,173,78,7,45,43,63,25,19,5,14,23,3,0,16,4,165,13,101,43,8,338,31,85,75,147,354,70,53,97,134,0,0,0,0,0,0,0,0,0,0,120,7,57,37,19,98,44,0,50,4,379,55,22,210,92,385,46,128,132,79,16717,854,5585,5610,4668,16628,544,5210,5271,5603,594,123,122,304,45,552,127,127,238,60,33899,16887,17012,1504,10917,11138,10340,236,63,173,103,26,50,57,188,165,23,16,101,59,12,692,354,338,101,138,172,281,0,0,0,0,0,0,0,218,98,120,51,57,87,23,764,385,379,101,150,342,171,33345,16628,16717,1398,10795,10881,10271,1146,552,594,250,249,542,105,70488,35132,35356,3524,22433,23271,21260
"9","55017","Chippewa County, Wisconsin",22790,1744,8665,7635,4746,21482,1133,6337,8119,5893,744,155,262,255,72,104,47,15,0,42,129,2,72,55,0,12,0,2,10,0,217,99,54,19,45,264,71,62,91,40,1,0,1,0,0,0,0,0,0,0,108,46,37,25,0,36,13,13,10,0,533,43,135,296,59,289,48,75,139,27,22528,1692,8634,7533,4669,21336,1110,6301,8038,5887,500,115,121,187,77,226,67,49,100,10,44272,21482,22790,2877,15002,15754,10639,848,104,744,202,277,255,114,141,12,129,2,74,65,0,481,264,217,170,116,110,85,1,0,1,0,1,0,0,144,36,108,59,50,35,0,822,289,533,91,210,435,86,43864,21336,22528,2802,14935,15571,10556,726,226,500,182,170,287,87,91299,43749,47550,6385,30835,32512,21567
"10","55019","Clark County, Wisconsin",10491,2044,4528,2841,1078,10178,1438,3689,3430,1621,75,41,12,22,0,37,11,17,9,0,20,4,7,7,2,25,12,6,4,3,35,6,9,2,18,55,7,10,29,9,0,0,0,0,0,0,0,0,0,0,52,34,6,3,9,91,30,6,21,34,259,46,136,71,6,207,27,95,71,14,10284,1938,4480,2811,1055,10000,1338,3649,3408,1605,400,192,124,53,31,327,147,105,59,16,20669,10178,10491,3482,8217,6271,2699,112,37,75,52,29,31,0,45,25,20,16,13,11,5,90,55,35,13,19,31,27,0,0,0,0,0,0,0,143,91,52,64,12,24,43,466,207,259,73,231,142,20,20284,10000,10284,3276,8129,6219,2660,727,327,400,339,229,112,47,42536,20920,21616,7315,16879,12841,5501
