"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","UNDERREP_less25","UNDERREP_25_to_34","UNDERREP_35_to_49","UNDERREP_50_to_74","UNDERREP_75_to_99","UNDERREP_100_to_149","UNDERREP_150_to_199","UNDERREP_200_more","UNDERREP_TOTAL"
"1","55003","Ashland County, Wisconsin",5765,333,475,430,253,276,341,276,265,273,552,557,756,422,250,171,135,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,473,41,82,40,31,19,20,4,6,21,46,53,62,31,6,6,5,48,18,0,0,0,0,0,11,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,179,14,2,9,17,25,42,3,20,0,0,8,8,27,0,0,4,5658,333,475,418,224,276,338,276,264,273,552,525,754,394,250,171,135,157,0,0,12,45,4,9,0,1,4,0,32,2,48,0,0,0,2,0,0,0,2,0,0,0,4,57,13,5,32,2,48,0,0,157,59,13,5,32,4,48,0,0,161
"2","55005","Barron County, Wisconsin",18433,800,897,1019,1053,977,1021,1147,822,993,1505,2198,2339,1519,866,691,586,182,0,0,0,5,59,0,16,71,4,22,5,0,0,0,0,0,140,3,15,3,2,5,10,3,8,16,1,49,25,0,0,0,0,57,1,1,0,11,0,0,11,0,7,0,10,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,4,0,8,0,0,0,3,28,6,41,0,0,0,0,157,22,0,32,11,6,10,35,0,0,18,0,7,12,1,3,0,18293,777,897,1017,1053,977,1021,1120,809,993,1488,2164,2330,1513,857,691,586,247,23,0,2,2,13,0,27,22,8,45,40,50,6,9,0,0,5,59,91,27,0,0,0,0,182,27,13,57,85,50,15,0,0,247,32,72,148,112,0,15,0,0,429
"3","55009","Brown County, Wisconsin",94604,3382,3283,3636,3564,3906,4339,3825,4677,3790,8118,10131,14131,10908,6010,5753,5151,1668,286,229,173,185,83,73,53,65,14,88,196,176,21,8,11,7,2484,124,149,198,189,227,150,264,284,89,128,247,176,173,46,22,18,2420,86,39,135,38,0,24,7,128,58,106,369,515,368,217,93,237,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,240,192,64,82,292,57,173,104,260,347,241,241,177,50,0,39,2290,157,81,164,232,84,70,90,97,208,290,146,232,188,223,4,24,92115,3340,3153,3530,3497,3830,4248,3695,4512,3675,7824,9695,13809,10752,5828,5609,5118,6019,311,335,203,274,536,161,319,290,388,840,677,688,420,368,144,65,873,156,132,284,176,29,11,7,1668,1123,697,997,1517,688,788,144,65,6019,1996,853,1129,1801,352,817,155,72,7687
"4","55011","Buffalo County, Wisconsin",5607,239,237,280,295,201,275,276,294,235,594,669,868,546,235,222,141,20,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,0,5,5,0,0,0,9,6,1,0,0,0,72,2,8,1,1,0,0,0,2,2,0,0,54,2,0,0,0,5546,239,237,280,292,201,275,263,293,235,587,657,852,537,235,222,141,91,0,0,0,5,0,5,18,1,0,7,20,23,10,2,0,0,0,0,19,0,1,0,0,0,20,5,5,19,27,23,12,0,0,91,5,5,38,27,2,12,0,0,111
"5","55015","Calumet County, Wisconsin",18987,554,493,695,433,739,750,610,931,456,1358,2134,2928,2663,1928,1332,983,128,8,0,0,0,17,0,24,0,9,0,8,40,8,0,14,0,103,0,0,4,0,0,0,13,7,0,10,31,18,0,13,0,7,423,5,0,4,27,43,0,6,25,124,0,103,36,10,3,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,8,0,0,0,0,0,0,0,0,0,41,0,20,0,0,15,226,32,16,8,10,0,0,5,0,0,0,68,13,12,0,62,0,18648,554,493,683,430,721,726,610,894,433,1250,2068,2893,2652,1928,1330,983,507,40,0,12,3,18,24,0,37,23,108,165,36,39,0,2,0,8,17,33,8,40,8,14,0,128,55,42,60,273,36,39,2,0,507,63,59,93,281,80,47,16,0,635
"6","55017","Chippewa County, Wisconsin",25369,964,1107,1162,1244,1049,1153,1161,1561,985,2133,2707,3530,2714,1812,1042,1045,95,0,0,0,0,0,0,0,0,0,0,16,24,6,0,0,49,18,1,0,5,0,1,0,0,0,0,0,0,11,0,0,0,0,251,18,0,8,8,19,5,0,0,17,12,79,22,28,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,280,0,20,0,5,18,11,23,0,15,4,45,50,70,2,17,0,25196,947,1107,1159,1244,1034,1146,1155,1558,965,2120,2702,3522,2650,1812,1034,1041,268,17,0,3,0,15,7,6,3,20,13,5,29,138,0,8,4,0,0,0,16,24,6,0,49,95,20,22,29,18,29,138,8,4,268,20,22,29,34,48,144,8,53,363
"7","55021","Columbia County, Wisconsin",23624,811,651,802,945,885,1000,1021,1007,790,2137,2643,3850,2722,1592,1718,1050,143,4,29,45,0,8,0,0,0,0,0,0,0,15,6,0,36,77,6,0,0,0,0,0,0,0,0,13,21,29,0,8,0,0,116,0,0,11,0,0,0,0,0,11,21,4,14,13,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,13,0,23,32,0,16,0,55,0,3,0,20,0,2,0,212,4,0,29,0,42,10,5,1,11,10,20,36,19,18,0,7,23309,807,651,773,906,885,972,986,985,787,2123,2632,3788,2692,1572,1707,1043,500,8,13,29,62,32,28,51,22,58,14,14,73,50,28,11,7,78,8,0,0,0,21,0,36,143,112,60,131,28,73,78,11,7,500,190,68,131,28,0,99,11,43,643
"8","55023","Crawford County, Wisconsin",6542,363,281,479,416,373,312,394,298,270,545,763,896,490,248,183,231,14,0,2,3,0,3,0,0,0,5,0,0,0,1,0,0,0,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,9,16,0,7,8,13,3,19,2,10,0,0,0,10,6494,360,281,479,413,363,302,394,292,270,541,763,891,486,245,183,231,60,3,0,4,4,10,10,0,9,4,4,0,5,4,3,0,0,5,3,5,0,0,1,0,0,14,11,20,13,4,5,7,0,0,60,16,23,18,4,0,8,0,0,74
"9","55027","Dodge County, Wisconsin",33470,1078,1241,1336,1138,1487,1979,1648,1899,1487,2713,3961,5781,3670,1843,1365,844,392,45,0,23,0,94,21,76,0,11,0,57,27,0,38,0,0,95,1,0,0,0,5,0,0,7,0,1,29,32,19,1,0,0,180,0,0,8,4,12,6,0,0,0,15,14,17,33,5,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,1,0,21,16,4,0,16,8,0,33,34,29,8,0,1,0,699,14,0,0,5,6,35,37,32,11,52,176,176,81,14,58,2,32680,1028,1231,1282,1101,1472,1896,1620,1843,1430,2622,3872,5657,3628,1825,1346,827,1088,53,10,75,53,19,83,44,97,57,108,126,254,50,18,19,22,68,115,87,57,27,38,0,0,392,191,102,198,234,254,68,19,22,1088,259,217,285,291,54,106,19,22,1480
"10","55029","Door County, Wisconsin",13058,566,367,451,512,646,789,624,538,590,1147,1810,1637,1438,688,584,671,55,0,0,0,0,0,0,0,33,0,0,0,22,0,0,0,0,104,1,0,0,0,0,0,38,0,0,0,61,0,4,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,2,12,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7,12,9,6,0,3,0,0,0,3,0,0,0,16,0,0,114,0,12,25,0,0,9,0,26,0,15,3,20,0,0,4,0,12825,535,367,442,505,646,783,620,512,578,1139,1706,1621,1436,688,584,663,310,38,12,9,13,0,9,4,59,12,8,104,16,2,16,0,8,0,0,33,0,22,0,0,0,55,72,9,75,112,16,18,0,8,310,72,9,108,112,44,18,0,8,365
