"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"1","55003","Ashland County, Wisconsin",12031,219,10387,82,1433,73,9,47,555,12586
"2","55005","Barron County, Wisconsin",35603,782,34081,541,331,281,5,364,1244,36847
"3","55009","Brown County, Wisconsin",195318,16007,170734,5763,5285,5724,100,7712,10812,206130
"4","55011","Buffalo County, Wisconsin",10302,195,10101,29,33,19,12,108,252,10554
"5","55015","Calumet County, Wisconsin",38378,1675,36113,279,171,864,24,927,1334,39712
"6","55017","Chippewa County, Wisconsin",50007,823,47879,928,279,636,18,267,1529,51536
"7","55021","Columbia County, Wisconsin",44700,1351,42836,767,240,302,11,544,1437,46137
"8","55023","Crawford County, Wisconsin",12443,203,12041,256,49,41,1,55,374,12817
"9","55027","Dodge County, Wisconsin",69150,3505,64346,2519,370,428,5,1482,2458,71608
"10","55029","Door County, Wisconsin",24443,712,23786,94,111,110,0,342,862,25305
"11","55033","Dunn County, Wisconsin",35096,665,33299,306,145,1023,10,313,1095,36191
"12","55035","Eau Claire County, Wisconsin",80919,1951,75691,900,404,3057,57,810,2874,83793
"13","55039","Fond du Lac County, Wisconsin",79039,4230,73937,1602,410,891,22,2177,3020,82059
"14","55041","Forest County, Wisconsin",7056,73,6236,25,763,11,11,10,246,7302
"15","55045","Green County, Wisconsin",27919,878,27104,128,77,141,3,466,945,28864
"16","55047","Green Lake County, Wisconsin",14545,586,14037,85,50,76,8,289,468,15013
"17","55051","Iron County, Wisconsin",5149,40,5033,13,56,11,0,36,106,5255
"18","55053","Jackson County, Wisconsin",15912,446,14349,398,902,75,0,188,504,16416
"19","55057","Juneau County, Wisconsin",20721,460,19621,511,293,116,1,179,666,21387
"20","55059","Kenosha County, Wisconsin",121753,15721,104148,8450,574,2306,69,6206,9699,131452
"21","55063","La Crosse County, Wisconsin",93574,2089,87198,1406,387,3760,20,803,3037,96611
"22","55065","Lafayette County, Wisconsin",12090,657,11604,21,36,35,4,390,401,12491
"23","55069","Lincoln County, Wisconsin",22454,321,22089,51,91,95,2,126,563,23017
"24","55071","Manitowoc County, Wisconsin",62267,2380,58765,689,338,1462,10,1003,2329,64596
"25","55075","Marinette County, Wisconsin",32834,700,31983,133,203,152,7,356,1084,33918
"26","55077","Marquette County, Wisconsin",12186,277,11933,32,61,42,4,114,364,12550
"27","55079","Milwaukee County, Wisconsin",666068,99824,411689,171562,5573,32814,296,44134,54378,720446
"28","55081","Monroe County, Wisconsin",33362,1445,31573,463,407,283,44,592,1312,34674
"29","55083","Oconto County, Wisconsin",30103,491,29356,68,373,92,2,212,906,31009
"30","55087","Outagamie County, Wisconsin",140609,5740,129254,2060,2258,4404,77,2556,5577,146186
"31","55089","Ozaukee County, Wisconsin",69519,1867,65800,1112,181,1695,5,726,2324,71843
"32","55093","Pierce County, Wisconsin",32235,832,31122,315,186,249,10,353,1146,33381
"33","55095","Polk County, Wisconsin",34486,591,33704,107,282,152,7,234,1081,35567
"34","55099","Price County, Wisconsin",11248,105,11001,19,63,59,64,42,318,11566
"35","55101","Racine County, Wisconsin",142695,17456,116319,16366,853,1837,52,7268,10356,153051
"36","55105","Rock County, Wisconsin",119766,9544,106718,5741,648,1634,60,4965,6516,126282
"37","55107","Rusk County, Wisconsin",10916,164,10725,34,53,39,0,65,386,11302
"38","55111","Sauk County, Wisconsin",49217,2589,46468,448,571,300,15,1415,1980,51197
"39","55113","Sawyer County, Wisconsin",14134,223,11926,72,2001,49,0,86,590,14724
"40","55115","Shawano County, Wisconsin",31020,693,28066,84,2398,122,6,344,1137,32157
"41","55117","Sheboygan County, Wisconsin",88815,5355,79792,1808,417,4394,13,2391,3619,92434
"42","55119","Taylor County, Wisconsin",14791,331,14479,41,29,55,3,184,335,15126
"43","55121","Trempealeau County, Wisconsin",22376,2158,20634,63,220,70,0,1389,774,23150
"44","55123","Vernon County, Wisconsin",22181,300,21799,93,45,75,3,166,553,22734
"45","55125","Vilas County, Wisconsin",18869,264,17238,49,1430,48,0,104,584,19453
"46","55127","Walworth County, Wisconsin",80040,8107,74382,905,358,845,15,3535,4930,84970
"47","55129","Washburn County, Wisconsin",13115,179,12816,23,142,56,9,69,497,13612
"48","55131","Washington County, Wisconsin",103687,2966,99800,1139,270,1405,24,1049,3343,107030
"49","55133","Waukesha County, Wisconsin",304810,13630,283753,4661,929,11121,97,4249,13383,318193
"50","55135","Waupaca County, Wisconsin",40180,1140,38997,166,224,209,4,580,1188,41368
"51","55137","Waushara County, Wisconsin",19326,1085,18248,373,126,87,10,482,734,20060
"52","55139","Winnebago County, Wisconsin",131275,5265,120533,3661,879,3954,42,2206,4927,136202
"53","55141","Wood County, Wisconsin",56961,1393,54534,381,427,972,25,622,1583,58544
"54","55001","Adams County, Wisconsin",17090,553,16113,570,176,79,10,142,554,17644
"55","55007","Bayfield County, Wisconsin",12893,164,11561,35,1185,33,0,79,557,13450
"56","55013","Burnett County, Wisconsin",13132,154,12465,52,499,47,9,60,510,13642
"57","55019","Clark County, Wisconsin",24046,1214,23037,67,129,83,4,726,642,24688
"58","55025","Dane County, Wisconsin",424490,27787,360172,21138,1852,28585,197,12546,23916,448406
"59","55031","Douglas County, Wisconsin",34032,467,32569,416,623,229,10,185,1608,35640
"60","55037","Florence County, Wisconsin",3757,36,3710,7,22,5,4,9,91,3848
"61","55043","Grant County, Wisconsin",39949,856,38586,534,104,321,5,399,898,40847
"62","55049","Iowa County, Wisconsin",17940,302,17536,73,33,140,12,146,501,18441
"63","55055","Jefferson County, Wisconsin",63366,4323,59999,618,266,531,22,1930,2983,66349
"64","55061","Kewaunee County, Wisconsin",15729,490,15239,46,73,48,2,321,384,16113
"65","55067","Langlade County, Wisconsin",15183,251,14782,50,179,56,4,112,464,15647
"66","55073","Marathon County, Wisconsin",103586,2584,95750,810,478,5281,35,1232,3291,106877
"67","55078","Menominee County, Wisconsin",2819,81,479,2,2335,2,1,0,74,2893
"68","55085","Oneida County, Wisconsin",30648,365,29823,152,338,166,5,164,813,31461
"69","55091","Pepin County, Wisconsin",5524,96,5408,21,26,19,0,50,181,5705
"70","55097","Portage County, Wisconsin",54762,1715,51470,693,252,1642,16,689,1763,56525
"71","55103","Richland County, Wisconsin",12943,312,12646,46,40,71,0,140,426,13369
"72","55109","St. Croix County, Wisconsin",67849,1636,65630,457,246,744,25,747,2498,70347
