"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","WHITE_FEMALE","WHITE_MALE","WHITE_TOTAL","WHITE_18_to_24","WHITE_25_to_34","WHITE_35_to_44","WHITE_45_to_54","WHITE_55_to_64","WHITE_65_over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","AI_AN_FEMALE","AI_AN_MALE","AI_AN_TOTAL","AI_AN_18_to_24","AI_AN_25_to_34","AI_AN_35_to_44","AI_AN_45_to_54","AI_AN_55_to_64","AI_AN_65_over","ASIAN_FEMALE","ASIAN_MALE","ASIAN_TOTAL","ASIAN_18_to_24","ASIAN_25_to_34","ASIAN_35_to_44","ASIAN_45_to_54","ASIAN_55_to_64","ASIAN_65_over","NHPI_FEMALE","NHPI_MALE","NHPI_TOTAL","NHPI_18_to_24","NHPI_25_to_34","NHPI_35_to_44","NHPI_45_to_54","NHPI_55_to_64","NHPI_65_over","OTHER_FEMALE","OTHER_MALE","OTHER_TOTAL","OTHER_18_to_24","OTHER_25_to_34","OTHER_35_to_44","OTHER_45_to_54","OTHER_55_to_64","OTHER_65_over","MIXED_FEMALE","MIXED_MALE","MIXED_TOTAL","MIXED_18_to_24","MIXED_25_to_34","MIXED_35_to_44","MIXED_45_to_54","MIXED_55_to_64","MIXED_65_over","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_TOTAL","W_NOTHISP_18_to_24","W_NOTHISP_25_to_34","W_NOTHISP_35_to_44","W_NOTHISP_45_to_54","W_NOTHISP_55_to_64","W_NOTHISP_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","ALL_FEMALE","ALL_MALE","ALL_TOTAL","ALL_18_to_24","ALL_25_to_34","ALL_35_to_44","ALL_45_to_54","ALL_55_to_64","ALL_65_over"
"1","55001","Assembly District 1 (2018), Wisconsin",515,1295,1223,1339,3129,3687,4809,4041,1826,549,471,1159,1108,1355,2826,3726,4803,4123,2283,867,1,48,32,16,41,21,29,12,0,0,2,1,0,32,64,0,17,0,0,4,1,48,32,16,41,21,29,12,0,0,2,1,0,32,64,0,17,0,0,4,0,20,11,2,9,7,17,2,0,0,2,7,20,43,7,31,10,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,17,0,1,9,38,7,0,0,0,0,10,1,13,30,39,0,6,0,3,0,10,88,0,32,9,18,0,0,0,0,0,16,26,49,58,10,34,0,0,515,1256,1209,1264,2922,3634,4804,3998,1826,549,444,1146,1049,1303,2770,3699,4760,4107,2276,856,1,59,14,76,216,88,11,43,0,0,27,23,66,65,113,55,43,22,7,14,17918,17604,35522,3440,5025,5955,7413,9612,13689,103,171,274,52,80,105,21,46,16,103,171,274,52,80,105,21,46,16,129,51,180,29,76,16,38,27,21,2,0,2,0,2,0,0,0,0,102,66,168,28,15,39,77,7,9,183,139,322,10,130,81,67,28,34,17650,17173,34823,3361,4825,5692,7333,9564,13612,392,497,889,110,221,329,143,54,86,36582,35872,72454,7082,10454,12322,15113,19384,27483
"2","55035","Assembly District 35 (2018), Wisconsin",529,1362,1281,1333,2949,4032,4791,3303,1822,531,470,1239,1178,1270,2965,3826,4589,3245,2147,858,18,32,11,6,80,31,14,0,2,0,4,0,0,35,5,0,3,0,0,10,18,32,11,6,80,31,14,0,2,0,4,0,0,35,5,0,3,0,0,10,3,8,0,3,19,0,7,0,0,0,1,13,17,0,26,9,14,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,40,31,12,0,3,1,0,0,0,1,0,0,0,12,1,0,0,0,93,23,34,29,33,44,37,13,0,0,12,8,15,27,46,106,24,18,25,0,522,1361,1234,1320,2883,4010,4749,3303,1818,529,445,1187,1141,1260,2895,3758,4548,3218,2130,858,20,5,99,44,81,22,45,1,4,2,34,53,39,10,73,80,42,27,17,0,17198,17142,34340,3600,5062,5914,7858,9380,11906,54,180,234,54,52,85,31,17,12,54,180,234,54,52,85,31,17,12,85,33,118,25,20,45,9,21,19,2,0,2,0,2,0,0,2,0,13,84,97,1,71,12,12,4,1,257,269,526,136,105,79,150,61,56,16892,16980,33872,3515,4955,5778,7768,9297,11856,333,278,611,112,192,154,102,87,51,34888,35146,70034,7497,10511,12152,15961,18886,23913
"3","55067","Assembly District 67 (2018), Wisconsin",486,1367,1670,1796,3292,3915,4208,3180,1276,550,526,1454,1517,1564,3278,3772,4244,3183,1533,1004,12,26,52,8,118,57,66,0,0,0,1,0,0,12,55,8,4,0,49,8,12,26,52,8,118,57,66,0,0,0,1,0,0,12,55,8,4,0,49,8,14,45,13,67,59,8,22,12,3,0,10,65,33,34,91,32,77,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,26,13,22,0,0,0,2,0,0,0,14,3,0,2,0,0,4,13,21,38,35,28,35,5,12,13,8,19,15,11,10,22,30,6,0,5,440,1346,1655,1757,3270,3900,4187,3154,1276,550,526,1438,1476,1555,3236,3740,4193,3168,1529,1004,52,37,46,43,48,32,43,26,0,0,2,36,43,9,56,48,51,17,4,0,17831,17532,35363,3833,6547,6570,7687,8452,10726,133,273,406,39,72,173,65,70,57,133,273,406,39,72,173,65,70,57,296,221,517,134,147,150,40,99,46,0,0,0,0,0,0,0,0,0,21,69,90,2,30,40,16,22,2,96,169,265,44,85,45,50,65,41,17672,17348,35020,3750,6443,6506,7640,8380,10681,215,284,499,127,141,104,80,94,47,36397,36169,72566,7968,13537,13761,15643,17252,21657
"4","55089","Assembly District 89 (2018), Wisconsin",546,1279,1544,1675,3590,4143,4612,2851,1197,387,489,1504,1493,1632,3363,4280,4405,2972,1523,764,6,11,0,3,19,138,70,0,36,0,0,33,6,79,14,0,36,61,0,0,6,11,0,3,19,138,70,0,36,0,0,33,6,79,14,0,36,61,0,0,0,6,54,1,0,4,18,0,0,0,0,31,65,38,20,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,60,0,0,0,0,0,0,58,3,0,5,0,0,0,0,11,6,6,20,17,32,124,48,0,0,0,0,53,6,37,20,83,23,3,16,0,539,1258,1519,1644,3487,4140,4604,2848,1197,387,478,1476,1491,1610,3338,4270,4364,2928,1500,757,29,21,25,33,163,3,22,3,0,0,11,86,32,22,43,54,41,46,23,18,18020,17212,35232,3818,6344,6953,8423,9017,9694,193,213,406,50,88,33,138,106,97,193,213,406,50,88,33,138,106,97,209,65,274,37,158,20,57,18,2,0,0,0,0,0,0,0,0,0,77,68,145,64,5,65,0,0,11,218,205,423,65,80,52,207,71,19,17848,17019,34867,3751,6264,6825,8410,8968,9617,335,277,612,147,112,206,57,63,90,37093,35272,72365,7982,13139,14187,17430,18349,19627
"5","55060","Assembly District 60 (2018), Wisconsin",669,1691,1248,1416,3236,4324,4575,3014,1285,314,541,1502,1275,1648,2981,4197,4793,2931,1550,771,2,16,18,22,40,45,34,25,9,0,12,10,0,5,44,28,0,25,0,0,2,16,18,22,40,45,34,25,9,0,12,10,0,5,44,28,0,25,0,0,0,61,0,45,77,27,63,4,0,16,6,40,10,5,127,48,19,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,33,0,0,5,47,0,5,6,13,0,0,44,62,0,51,48,0,0,21,0,34,28,38,3,33,34,14,25,3,0,26,39,23,77,19,28,7,6,9,0,665,1638,1191,1402,3152,4260,4526,3014,1285,310,516,1463,1259,1624,2935,4142,4715,2928,1517,771,37,53,57,22,131,69,54,6,13,4,25,83,78,24,99,103,78,3,54,0,17396,17197,34593,4403,5587,6217,8521,9368,9865,124,177,301,40,45,84,73,34,59,124,177,301,40,45,84,73,34,59,265,230,495,107,60,204,75,82,49,47,0,47,0,47,0,0,0,0,226,104,330,77,67,98,48,5,40,227,198,425,127,141,52,62,21,43,17155,16917,34072,4282,5476,6087,8402,9241,9825,469,392,861,198,181,230,172,132,80,36033,35392,71425,9274,11649,13056,17426,18917,20020
"6","55095","Assembly District 95 (2018), Wisconsin",1561,4299,2159,1747,2812,2488,2879,1985,1058,444,2364,5408,1770,1360,2448,2454,3219,2206,1542,987,38,137,113,102,93,39,82,7,1,0,33,8,55,67,42,73,45,0,0,0,38,137,113,102,93,39,82,7,1,0,33,8,55,67,42,73,45,0,0,0,29,190,277,147,86,72,83,49,0,0,93,273,217,16,144,91,95,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,23,7,45,88,0,0,0,0,0,8,23,26,0,24,17,10,0,0,0,13,123,27,29,25,26,0,0,7,0,31,87,42,17,10,0,81,18,8,0,1526,4178,2144,1709,2746,2480,2852,1985,1049,444,2328,5347,1710,1360,2408,2446,3152,2206,1530,987,35,198,22,91,107,8,27,7,9,0,60,96,86,0,76,25,77,0,12,0,20539,18553,39092,13632,7036,5260,4942,6098,8222,278,530,808,216,337,135,112,127,8,278,530,808,216,337,135,112,127,8,862,850,1712,585,657,230,163,178,77,0,1,1,0,1,0,0,8,0,98,163,261,54,78,112,17,10,0,213,250,463,254,115,35,26,81,33,20322,18261,38583,13379,6923,5154,4926,6004,8201,355,477,832,389,199,183,33,104,28,42945,39615,82560,28725,15683,11244,10331,12737,16577
"7","55080","Assembly District 80 (2018), Wisconsin",327,1147,1304,1834,4200,4400,4275,2800,1083,367,457,1415,1384,1669,4081,4425,4738,2691,1386,589,0,126,48,95,98,254,87,13,8,0,1,35,38,30,45,65,29,4,6,0,0,126,48,95,98,254,87,13,8,0,1,35,38,30,45,65,29,4,6,0,0,30,12,2,103,4,0,12,0,0,1,23,43,24,89,16,38,20,0,0,5,5,0,0,0,6,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,10,6,0,45,5,10,4,0,0,0,3,0,10,17,16,0,8,0,0,44,54,24,0,56,25,3,5,0,7,5,13,0,8,46,31,14,11,0,1,317,1119,1239,1799,4139,4345,4229,2795,1083,367,457,1341,1330,1597,3992,4349,4690,2684,1386,589,15,38,71,35,96,64,56,9,0,0,9,94,54,82,110,97,48,13,0,0,18097,17462,35559,3346,6191,8281,8825,9013,8916,224,642,866,162,211,143,319,116,31,224,642,866,162,211,143,319,116,31,216,163,379,54,81,192,20,38,32,5,16,21,12,0,3,6,0,0,54,70,124,13,16,62,21,10,12,115,215,330,116,32,102,56,17,24,17725,17203,34928,3234,5965,8131,8694,8919,8904,459,328,787,156,242,206,161,104,22,37119,36741,73860,7255,12949,17263,18421,18333,17972
"8","55074","Assembly District 74 (2018), Wisconsin",475,1048,1075,1007,2351,3326,4784,3950,2085,498,439,1043,847,983,2311,3189,4503,3732,2016,834,13,30,4,36,22,5,51,0,3,0,0,16,3,1,3,3,69,13,0,0,13,30,4,36,22,5,51,0,3,0,0,16,3,1,3,3,69,13,0,0,3,23,3,26,12,18,15,5,0,0,7,44,20,31,35,21,15,14,14,0,0,1,1,15,28,0,0,0,0,0,0,0,56,0,19,0,0,0,0,0,2,8,0,0,8,30,3,1,0,13,2,0,4,5,43,10,17,1,0,0,5,53,20,45,25,43,48,10,3,4,23,20,17,32,97,49,42,45,4,0,475,1039,1014,972,2309,3290,4776,3929,2072,496,416,1026,819,967,2280,3153,4482,3714,2008,825,11,18,64,41,53,66,17,25,15,2,35,22,49,24,78,50,43,22,8,9,15394,15815,31209,3005,3912,4662,6515,9287,13115,39,113,152,59,44,25,8,120,16,39,113,152,59,44,25,8,120,16,186,90,276,77,80,47,39,30,33,75,45,120,1,72,47,0,0,0,65,62,127,12,9,51,40,20,15,287,208,495,101,114,122,92,90,66,15208,15596,30804,2956,3772,4589,6443,9258,13044,297,295,592,86,178,131,116,60,81,31590,32337,63927,6356,8225,9699,13261,18985,26386
"9","55030","Assembly District 30 (2018), Wisconsin",864,2251,1719,1612,3814,3949,3735,2642,908,198,1356,2949,1581,1757,3752,3815,4149,2391,1189,511,79,22,8,5,30,69,13,6,3,0,35,39,0,7,43,63,0,0,0,0,79,22,8,5,30,69,13,6,3,0,35,39,0,7,43,63,0,0,0,0,5,61,6,13,45,43,0,0,0,0,50,93,31,39,65,12,14,26,13,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,35,36,18,0,6,0,0,6,10,0,0,14,40,44,0,0,0,64,69,4,22,103,42,21,6,5,0,13,64,0,11,69,39,0,11,0,0,826,2217,1650,1535,3709,3907,3715,2642,908,198,1281,2822,1563,1709,3665,3778,4147,2391,1176,511,48,81,69,112,141,63,25,0,5,0,81,143,18,48,104,72,46,0,13,0,19301,17957,37258,7420,6669,7566,7764,7884,7839,187,222,409,175,20,73,132,13,9,187,222,409,175,20,73,132,13,9,342,173,515,209,89,110,55,14,52,0,4,4,4,0,0,0,0,0,70,109,179,30,35,50,58,44,6,207,315,522,210,37,172,81,21,22,18896,17592,36488,7146,6457,7374,7685,7862,7826,479,519,998,353,247,245,135,71,18,39669,37113,76782,15722,13574,15663,16042,15922,15781
"10","55052","Assembly District 52 (2018), Wisconsin",521,1573,1366,1606,3159,3642,3991,2604,1359,459,653,1770,1585,1470,3166,3703,4137,2897,1479,984,11,175,23,37,53,53,71,0,0,0,7,169,84,95,16,121,10,0,0,0,11,175,23,37,53,53,71,0,0,0,7,169,84,95,16,121,10,0,0,0,16,76,97,90,62,74,16,14,0,0,19,19,12,38,166,78,49,18,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,55,41,140,76,84,22,42,0,0,0,45,17,126,148,19,17,0,0,0,84,9,120,0,93,97,10,15,5,0,94,33,59,41,76,14,16,22,11,0,480,1495,1302,1567,2993,3546,3920,2604,1351,454,594,1614,1529,1456,3033,3569,4069,2856,1471,984,67,133,103,179,290,180,93,42,8,5,63,201,73,147,286,153,88,41,8,0,17707,16289,33996,4517,6027,6325,7345,8128,9782,492,352,844,362,239,69,174,81,0,492,352,844,362,239,69,174,81,0,350,429,779,130,237,228,152,65,32,6,14,20,8,0,0,12,0,0,355,438,793,100,324,224,103,39,42,350,423,773,220,220,169,111,26,53,17106,15792,32898,4183,5854,6026,7115,7989,9720,972,1007,1979,464,502,576,333,181,104,37830,35096,72926,10346,13642,13686,15519,16590,19733
