"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","UNDERREP_TOTAL","UNDERREP_FEMALE_TOTAL","UNDERREP_MALE","UNDERREP_LESS_HS_TOTAL","UNDERREP_HS_TOTAL","UNDERREP_SOME_COLLEGE_TOTAL","UNDERREP_COLLEGE_TOTAL"
"1","55001","Assembly District 1 (2018), Wisconsin",20603,1326,7315,6738,5224,21091,993,6967,7025,6106,151,14,43,10,84,117,16,69,5,27,104,28,36,21,19,159,105,37,8,9,48,1,20,1,26,130,32,16,45,37,0,0,0,0,0,2,2,0,0,0,55,24,15,7,9,92,22,29,37,4,147,3,125,6,13,193,0,43,41,109,20206,1187,7205,6628,5186,20820,876,6899,6959,6086,448,163,128,113,44,385,141,97,92,55,268,117,151,30,112,15,111,833,385,448,304,225,205,99,1101,502,599,334,337,220,210
"2","55035","Assembly District 35 (2018), Wisconsin",20042,2140,8724,5894,3284,20078,1265,7621,7536,3656,144,13,33,58,40,53,15,8,3,27,182,25,128,27,2,159,6,19,87,47,29,2,6,3,18,85,23,21,19,22,0,0,0,0,0,4,0,0,4,0,87,44,13,30,0,13,12,0,0,1,190,64,46,73,7,261,42,59,99,61,19846,2048,8663,5866,3269,19808,1190,7575,7443,3600,298,148,77,58,15,288,87,46,96,59,197,53,144,28,41,61,67,586,288,298,235,123,154,74,783,341,442,263,164,215,141
"3","55067","Assembly District 67 (2018), Wisconsin",19887,1615,7775,6381,4116,20095,1119,6450,7577,4949,301,70,68,105,58,136,49,8,20,59,41,0,22,19,0,25,0,4,21,0,184,27,39,54,64,298,77,58,99,64,0,0,0,0,0,0,0,0,0,0,91,10,64,17,0,19,0,17,2,0,187,11,36,97,43,99,8,27,51,13,19749,1563,7752,6365,4069,19901,1086,6399,7496,4920,238,62,91,33,52,228,33,77,89,29,437,136,301,119,76,125,117,466,228,238,95,168,122,81,903,364,539,214,244,247,198
"4","55089","Assembly District 89 (2018), Wisconsin",19999,1589,7483,6833,4094,20432,1046,7231,7190,4965,266,9,62,114,81,196,6,50,36,104,267,60,103,104,0,96,25,38,21,12,77,32,5,0,40,178,42,41,37,58,0,0,0,0,0,0,0,0,0,0,62,56,6,0,0,19,14,3,2,0,241,71,41,63,66,188,16,21,50,101,19826,1553,7449,6791,4033,20258,1022,7171,7123,4942,249,106,40,42,61,279,53,68,69,89,462,196,266,15,112,150,185,528,279,249,159,108,111,150,990,475,515,174,220,261,335
"5","55060","Assembly District 60 (2018), Wisconsin",19412,781,5501,6091,7039,20146,706,5359,6343,7738,193,44,35,63,51,102,5,5,52,40,76,42,0,8,26,37,2,14,16,5,232,12,26,121,73,238,0,29,125,84,0,0,0,0,0,47,0,0,47,0,76,13,23,24,16,182,34,26,58,64,150,0,29,87,34,169,0,52,44,73,19140,769,5449,5999,6923,19891,663,5326,6248,7654,356,30,75,119,132,439,79,59,153,148,295,102,193,49,40,115,91,795,439,356,109,134,272,280,1090,541,549,158,174,387,371
"6","55095","Assembly District 95 (2018), Wisconsin",15572,797,4184,5057,5534,15986,818,4184,5005,5979,437,25,165,120,127,282,42,91,72,77,133,29,0,86,18,119,0,51,66,2,714,27,88,294,305,591,94,159,178,160,1,0,0,1,0,8,0,8,0,0,140,31,56,49,4,77,24,0,53,0,114,7,40,50,17,176,23,31,65,57,15409,796,4172,4929,5512,15799,751,4166,4941,5941,271,32,24,189,26,276,91,18,129,38,719,282,437,67,256,192,204,547,276,271,123,42,318,64,1266,558,708,190,298,510,268
"7","55080","Assembly District 80 (2018), Wisconsin",20263,762,4891,6179,8431,20963,455,4543,6176,9789,603,94,202,256,51,217,7,64,98,48,22,0,12,7,3,30,0,0,15,15,133,5,42,3,83,230,22,17,47,144,6,0,6,0,0,3,0,3,0,0,70,20,23,17,10,51,0,19,17,15,120,1,25,34,60,111,5,20,21,65,19996,739,4843,6021,8393,20617,453,4502,6047,9615,331,43,71,169,48,404,2,63,150,189,820,217,603,101,266,354,99,735,404,331,45,134,319,237,1555,621,934,146,400,673,336
"8","55074","Assembly District 74 (2018), Wisconsin",19076,1341,6713,6340,4682,18415,951,6271,6709,4484,121,22,73,9,17,92,0,65,26,1,1712,301,583,692,136,1554,146,558,660,190,79,11,8,30,30,150,12,10,61,67,44,0,6,38,0,75,0,0,75,0,55,22,14,4,15,80,4,52,15,9,198,24,27,105,42,286,18,27,141,100,18858,1316,6649,6248,4645,18248,926,6229,6627,4466,283,52,82,108,41,283,40,108,100,35,213,92,121,22,138,35,18,566,283,283,92,190,208,76,779,375,404,114,328,243,94
"9","55030","Assembly District 30 (2018), Wisconsin",18577,491,3711,6649,7726,19145,597,3893,6011,8644,134,6,11,26,91,113,0,0,82,31,34,0,22,0,12,17,0,6,0,11,107,0,9,24,74,213,39,60,49,65,0,0,0,0,0,0,0,0,0,0,95,83,12,0,0,98,4,5,52,37,203,3,13,115,72,130,0,36,44,50,18264,403,3651,6572,7638,18940,525,3856,5967,8592,415,165,75,77,98,301,76,37,96,92,247,113,134,6,11,108,122,716,301,415,241,112,173,190,963,414,549,247,123,281,312
"10","55052","Assembly District 52 (2018), Wisconsin",18186,1393,6619,5809,4365,19421,1151,6257,6872,5141,237,17,70,82,68,326,60,111,89,66,128,27,42,30,29,101,0,38,49,14,353,30,11,74,238,361,26,33,49,253,6,0,0,0,6,6,0,0,0,6,405,158,105,83,59,327,174,106,17,30,340,15,212,24,89,239,60,71,56,52,17737,1256,6407,5734,4340,18967,1038,6149,6725,5055,900,310,361,158,71,796,287,221,172,116,563,326,237,77,181,171,134,1696,796,900,597,582,330,187,2259,1122,1137,674,763,501,321
