"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","WHITE_less25","WHITE_25_to_34","WHITE_35_to_49","WHITE_50_to_74","WHITE_75_to_99","WHITE_100_to_149","WHITE_150_to_199","WHITE_200_more","WHITE_TOTAL","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","AI_AN_less25","AI_AN_25_to_34","AI_AN_35_to_49","AI_AN_50_to_74","AI_AN_75_to_99","AI_AN_100_to_149","AI_AN_150_to_199","AI_AN_200_more","AI_AN_TOTAL","ASIAN_less25","ASIAN_25_to_34","ASIAN_35_to_49","ASIAN_50_to_74","ASIAN_75_to_99","ASIAN_100_to_149","ASIAN_150_to_199","ASIAN_200_more","ASIAN_TOTAL","NHPI_less25","NHPI_25_to_34","NHPI_35_to_49","NHPI_50_to_74","NHPI_75_to_99","NHPI_100_to_149","NHPI_150_to_199","NHPI_200_more","NHPI_TOTAL","OTHER_less25","OTHER_25_to_34","OTHER_35_to_49","OTHER_50_to_74","OTHER_75_to_99","OTHER_100_to_149","OTHER_150_to_199","OTHER_200_more","OTHER_TOTAL","MIXED_less25","MIXED_25_to_34","MIXED_35_to_49","MIXED_50_to_74","MIXED_75_to_99","MIXED_100_to_149","MIXED_150_to_199","MIXED_200_more","MIXED_TOTAL","W_NOTHISP_less25","W_NOTHISP_25_to_34","W_NOTHISP_35_to_49","W_NOTHISP_50_to_74","W_NOTHISP_75_to_99","W_NOTHISP_100_to_149","W_NOTHISP_150_to_199","W_NOTHISP_200_more","W_NOTHISP_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","ALL_less25","ALL_25_to_34","ALL_35_to_49","ALL_50_to_74","ALL_75_to_99","ALL_100_to_149","ALL_150_to_199","ALL_200_more","ALL_TOTAL"
"1","55001","Assembly District 1 (2018), Wisconsin",24629,936,736,843,963,1225,997,1115,1141,898,2245,3116,3782,2863,1498,1248,1023,130,0,0,0,0,4,0,0,27,17,0,82,0,0,0,0,0,186,2,0,0,2,0,16,50,0,0,15,84,5,3,3,6,0,48,0,0,0,4,0,0,0,0,2,1,3,14,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10,13,11,6,3,2,1,0,0,0,2,4,3,13,0,0,235,29,0,31,3,0,13,7,27,0,18,68,26,10,0,3,0,24268,907,736,831,931,1208,992,1107,1114,887,2150,3063,3755,2858,1472,1243,1014,442,39,13,12,38,20,7,9,54,11,95,55,31,5,39,5,9,3478,2222,3154,5361,3782,4361,1248,1023,24629,0,4,44,82,0,0,0,0,130,4,16,50,99,5,6,6,0,186,4,0,2,4,14,24,0,0,48,0,0,0,0,0,0,0,0,0,40,5,1,2,4,16,0,0,68,63,13,34,86,26,10,3,0,235,3405,2200,3108,5213,3755,4330,1243,1014,24268,102,27,74,150,31,44,5,9,442,7096,4487,6467,10997,7617,8791,2505,2046,50006
"2","55035","Assembly District 35 (2018), Wisconsin",24209,1139,1219,1109,1004,1129,1367,1343,1289,1146,2048,2855,3920,2331,1059,757,494,48,0,0,0,29,3,0,0,0,0,0,16,0,0,0,0,0,218,14,11,5,88,15,8,3,1,6,13,16,10,22,3,3,0,52,2,0,7,13,2,0,0,0,0,13,3,0,1,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,12,0,0,27,0,0,0,0,0,0,3,0,1,0,0,0,211,5,0,19,2,16,15,27,14,4,14,30,2,32,16,12,3,23990,1133,1206,1091,962,1120,1343,1343,1280,1141,2039,2833,3890,2313,1054,750,492,272,18,13,18,69,9,24,3,9,5,13,25,30,19,8,7,2,4471,2496,3778,4903,3920,3390,757,494,24209,29,3,0,16,0,0,0,0,48,118,23,10,29,10,25,3,0,218,22,2,0,16,0,1,0,11,52,0,0,0,0,2,0,0,0,2,39,0,0,3,0,1,0,0,43,26,31,45,44,2,48,12,3,211,4392,2463,3764,4872,3890,3367,750,492,23990,118,33,17,38,30,27,7,2,272,9215,5051,7614,9921,7854,6859,1529,1002,49045
"3","55067","Assembly District 67 (2018), Wisconsin",23419,808,1084,1101,1109,1212,1208,1037,1181,928,1978,2609,3768,2389,1348,939,720,87,0,0,0,0,0,0,0,0,0,0,24,0,8,0,0,55,18,0,2,0,0,0,0,0,3,3,0,3,6,1,0,0,0,222,16,0,3,10,26,0,8,0,14,10,39,13,18,7,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,7,3,0,0,0,0,7,35,0,0,0,0,145,0,25,0,6,5,18,11,0,0,9,18,33,13,3,0,4,23180,781,1057,1098,1106,1177,1203,1031,1176,925,1972,2605,3750,2310,1337,932,720,316,27,39,3,3,42,12,6,5,3,6,11,57,79,11,12,0,4102,2420,3146,4587,3768,3737,939,720,23419,0,0,0,24,0,8,0,55,87,2,0,6,3,6,1,0,0,18,29,26,22,49,13,25,14,44,222,0,0,0,0,0,0,0,0,0,0,10,0,7,35,0,0,0,52,31,23,11,27,33,16,0,4,145,4042,2380,3132,4577,3750,3647,932,720,23180,72,54,14,17,57,90,12,0,316,8278,4913,6331,9291,7662,7524,1897,1543,47439
"4","55089","Assembly District 89 (2018), Wisconsin",24194,812,1094,1127,1054,938,1112,1052,1192,975,1958,2711,3863,2482,1360,1554,910,287,33,0,36,25,36,4,0,0,0,0,26,109,12,6,0,0,180,34,0,3,27,0,0,0,33,13,21,32,12,5,0,0,0,101,15,2,0,0,2,0,0,0,0,0,0,70,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,222,0,8,5,7,0,22,15,0,0,0,25,39,67,17,0,17,23962,812,1090,1098,1031,898,1083,1049,1192,975,1905,2699,3861,2468,1337,1554,910,311,48,6,29,23,40,29,5,0,13,55,12,14,14,23,0,0,4087,2050,3219,4669,3863,3842,1554,910,24194,94,40,0,26,109,18,0,0,287,64,0,46,53,12,5,0,0,180,17,2,0,0,70,4,8,0,101,0,0,0,0,0,0,0,0,0,48,0,2,2,0,0,0,0,52,20,22,15,25,39,84,0,17,222,4031,1981,3216,4604,3861,3805,1554,910,23962,106,69,18,67,14,37,0,0,311,8467,4164,6516,9446,7968,7795,3116,1837,49309
"5","55060","Assembly District 60 (2018), Wisconsin",22733,691,506,657,804,621,922,722,966,746,1346,2263,3725,2947,2078,1977,1762,119,0,0,0,10,0,5,0,0,0,0,0,22,21,36,22,3,54,0,10,0,0,0,0,4,0,0,2,19,6,4,0,9,0,165,2,13,0,0,0,0,5,12,0,0,0,72,14,0,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,11,0,0,0,0,9,63,0,18,0,0,238,0,0,5,3,46,4,0,0,31,46,34,23,21,9,8,8,22462,691,452,657,804,604,908,717,961,723,1326,2216,3722,2947,2070,1921,1743,374,0,54,0,0,17,25,5,5,23,22,56,66,0,26,56,19,2658,1543,2434,3609,3725,5025,1977,1762,22733,10,5,0,0,22,57,22,3,119,10,0,4,21,6,4,9,0,54,15,0,17,0,72,14,10,37,165,0,0,0,0,0,0,0,0,0,0,11,0,9,63,18,0,0,101,8,50,31,80,23,30,8,8,238,2604,1512,2401,3542,3722,5017,1921,1743,22462,54,42,33,78,66,26,56,19,374,5359,3163,4920,7339,7699,10191,4003,3572,46246
"6","55095","Assembly District 95 (2018), Wisconsin",22527,1210,1514,1325,1274,1419,1489,1267,1168,1132,1844,2734,2606,1426,782,625,712,376,57,56,65,0,0,59,0,5,23,50,19,0,24,0,0,18,165,26,16,52,18,0,0,0,0,0,0,18,20,15,0,0,0,701,39,0,0,84,6,26,6,60,42,116,140,63,13,50,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,0,0,0,0,19,0,0,15,0,0,0,0,0,0,4,164,40,23,0,5,0,17,13,9,0,25,0,6,0,11,9,6,22170,1201,1497,1300,1259,1369,1421,1258,1075,1132,1827,2726,2596,1426,755,616,712,465,45,40,25,20,50,87,15,93,15,17,8,10,0,27,9,4,5323,2908,3567,4578,2606,2208,625,712,22527,178,59,28,69,0,24,0,18,376,112,0,0,18,20,15,0,0,165,123,32,108,256,63,63,46,10,701,0,0,0,0,0,0,0,0,0,17,19,15,0,0,0,0,4,55,68,17,22,25,6,11,9,6,164,5257,2790,3465,4553,2596,2181,616,712,22170,130,137,123,25,10,27,9,4,465,11208,5962,7328,9524,5301,4529,1305,1466,46623
"7","55080","Assembly District 80 (2018), Wisconsin",23348,441,410,484,602,677,745,670,861,770,1529,2479,3739,3077,2349,2251,2264,203,0,2,11,10,10,0,12,17,0,43,21,38,7,7,10,15,47,0,0,0,0,0,0,0,0,0,0,0,7,5,14,21,0,187,17,0,0,0,0,16,0,0,0,3,18,58,34,3,37,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,6,0,2,4,0,0,7,0,0,21,3,0,0,8,147,8,0,2,7,0,1,0,0,0,17,10,51,28,0,0,23,23053,441,397,478,594,649,739,670,837,767,1513,2468,3679,3062,2308,2226,2225,377,17,13,17,8,28,10,0,24,10,19,15,81,18,41,25,51,1937,1422,2301,4008,3739,5426,2251,2264,23348,23,10,29,64,38,14,10,15,203,0,0,0,0,7,19,21,0,47,17,16,0,21,58,37,37,1,187,6,0,0,0,0,0,0,0,6,6,6,7,0,21,3,0,8,51,17,1,0,27,51,28,0,23,147,1910,1388,2274,3981,3679,5370,2226,2225,23053,55,38,34,34,81,59,25,51,377,3971,2881,4645,8135,7674,10956,4570,4587,47419
"8","55074","Assembly District 74 (2018), Wisconsin",23308,1284,1426,1288,1334,1311,1388,1175,1199,1139,2090,2680,3083,1693,862,801,555,125,0,29,20,3,0,6,0,62,0,0,0,2,0,0,0,3,2157,292,255,155,187,123,77,77,97,99,204,246,192,85,43,15,10,141,7,19,5,21,7,3,19,7,20,11,2,9,4,0,0,7,82,0,0,0,0,7,0,19,0,0,56,0,0,0,0,0,0,83,13,0,0,17,0,0,24,0,0,8,3,3,2,13,0,0,358,19,17,31,34,42,20,9,26,7,9,18,38,44,13,23,8,23106,1234,1409,1285,1290,1295,1378,1172,1197,1139,2080,2645,3078,1687,861,801,555,298,63,17,6,61,24,19,27,2,4,14,38,8,12,1,0,2,5332,2699,3513,4770,3083,2555,801,555,23308,52,6,62,0,2,0,0,3,125,889,200,273,450,192,128,15,10,2157,52,10,46,13,9,4,0,7,141,0,7,19,56,0,0,0,0,82,30,0,24,11,3,15,0,0,83,101,62,42,27,38,57,23,8,358,5218,2673,3508,4725,3078,2548,801,555,23106,147,43,33,52,8,13,0,2,298,11821,5700,7520,10104,6413,5320,1640,1140,49658
"9","55030","Assembly District 30 (2018), Wisconsin",22106,579,647,320,602,693,549,847,923,700,1498,2068,3030,3038,2363,2158,2091,147,0,14,0,0,0,0,8,0,56,0,20,17,0,9,23,0,23,0,0,0,0,0,0,0,0,0,0,12,0,0,6,5,0,90,0,0,0,0,0,0,4,0,0,0,6,27,25,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,31,0,23,0,0,0,17,0,2,0,190,0,0,11,0,6,0,16,7,0,11,25,54,15,0,24,21,21880,579,647,320,602,693,535,827,854,700,1471,2051,2994,3025,2357,2134,2091,323,0,5,0,0,0,14,67,69,23,27,20,36,30,6,26,0,2148,1242,2470,3566,3030,5401,2158,2091,22106,14,0,64,20,17,9,23,0,147,0,0,0,12,0,6,5,0,23,0,0,4,6,27,37,16,0,90,0,0,0,0,0,0,0,0,0,0,0,54,0,0,17,2,0,73,11,6,23,36,54,15,24,21,190,2148,1228,2381,3522,2994,5382,2134,2091,21880,5,14,159,47,36,36,26,0,323,4326,2490,5155,7209,6158,10903,4388,4203,44832
"10","55052","Assembly District 52 (2018), Wisconsin",22231,858,915,934,1005,1000,1151,1161,1083,955,1947,2446,3460,2169,1275,1128,744,343,34,42,9,31,8,42,0,0,56,18,37,21,36,9,0,0,69,11,0,9,0,14,12,0,0,0,0,0,3,0,0,0,20,349,51,0,0,60,0,0,19,26,0,0,14,63,16,0,100,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,380,13,0,0,0,33,106,9,0,14,18,98,16,34,0,0,39,372,0,68,28,39,0,0,10,4,45,43,57,0,0,6,19,53,21749,763,915,874,973,986,1120,1161,1083,942,1819,2427,3385,2162,1275,1128,736,891,111,0,60,47,47,137,9,0,38,146,117,91,41,0,0,47,3712,2151,3199,4393,3460,3444,1128,744,22231,116,50,56,55,21,45,0,0,343,20,26,0,0,3,0,0,20,69,111,0,45,14,63,16,100,0,349,0,0,0,6,0,0,0,0,6,13,139,23,116,16,34,0,39,380,135,0,59,100,0,6,19,53,372,3525,2106,3186,4246,3385,3437,1128,736,21749,218,184,47,263,91,41,0,47,891,7850,4656,6615,9193,7039,7023,2375,1639,46390
