"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"1","55001","Assembly District 1 (2018), Wisconsin",47333,1310,46024,167,213,214,6,709,1410,59834
"2","55002","Assembly District 2 (2018), Wisconsin",47130,1299,44834,462,369,844,29,592,1482,62564
"3","55003","Assembly District 3 (2018), Wisconsin",45103,1671,42523,404,223,1107,16,830,1502,61906
"4","55004","Assembly District 4 (2018), Wisconsin",44309,1873,39384,1346,1600,1213,11,755,1961,58716
"5","55005","Assembly District 5 (2018), Wisconsin",49562,1175,45692,319,2504,602,11,434,1717,67428
"6","55006","Assembly District 6 (2018), Wisconsin",43131,1030,39933,140,2336,203,8,511,1531,57409
"7","55007","Assembly District 7 (2018), Wisconsin",40885,10197,30942,3043,619,1975,16,4290,4832,59355
"8","55008","Assembly District 8 (2018), Wisconsin",28300,24667,10334,3451,923,1198,25,12369,8390,53999
"9","55009","Assembly District 9 (2018), Wisconsin",32262,22571,14814,2907,995,2410,30,11106,7909,57339
"10","55010","Assembly District 10 (2018), Wisconsin",37197,2059,12988,22337,136,918,4,814,1860,52628
"11","55011","Assembly District 11 (2018), Wisconsin",36407,1675,8377,23961,119,3116,20,814,1624,54275
"12","55012","Assembly District 12 (2018), Wisconsin",38098,2070,10924,23226,157,2785,21,985,1849,56305
"13","55013","Assembly District 13 (2018), Wisconsin",47073,2726,41361,1706,226,2807,18,955,2471,61779
"14","55014","Assembly District 14 (2018), Wisconsin",44068,1484,38953,2008,98,2571,11,427,2010,60136
"15","55015","Assembly District 15 (2018), Wisconsin",43633,3517,38607,1814,324,1596,15,1277,2589,57145
"16","55016","Assembly District 16 (2018), Wisconsin",39082,2835,13853,22023,203,1840,18,1145,2149,53739
"17","55017","Assembly District 17 (2018), Wisconsin",38452,1820,9368,26488,156,1608,27,805,1735,55343
"18","55018","Assembly District 18 (2018), Wisconsin",36716,2808,10617,22536,246,2055,24,1238,2032,52987
"19","55019","Assembly District 19 (2018), Wisconsin",54414,3933,46603,3394,232,2469,17,1699,3300,62056
"20","55020","Assembly District 20 (2018), Wisconsin",42105,6130,36876,1465,382,1091,19,2272,3879,56812
"21","55021","Assembly District 21 (2018), Wisconsin",43620,3979,38243,1492,316,2200,8,1361,2819,59100
"22","55022","Assembly District 22 (2018), Wisconsin",45536,1104,40006,3022,148,1939,7,414,1620,60750
"23","55023","Assembly District 23 (2018), Wisconsin",45238,1309,41760,1048,89,1798,11,532,1670,60761
"24","55024","Assembly District 24 (2018), Wisconsin",45942,1608,37593,5395,146,2304,15,489,2010,60737
"25","55025","Assembly District 25 (2018), Wisconsin",43931,2195,40927,554,250,1195,18,987,1805,57986
"26","55026","Assembly District 26 (2018), Wisconsin",43753,3257,38665,840,224,2593,9,1422,2000,58710
"27","55027","Assembly District 27 (2018), Wisconsin",44583,2087,41182,468,146,1794,5,988,1653,59294
"28","55028","Assembly District 28 (2018), Wisconsin",45126,805,44025,160,393,228,12,308,1521,59274
"29","55029","Assembly District 29 (2018), Wisconsin",46299,1010,44169,451,179,1013,6,481,1622,61746
"30","55030","Assembly District 30 (2018), Wisconsin",46694,1284,44825,465,244,629,31,500,1791,62735
"31","55031","Assembly District 31 (2018), Wisconsin",44465,3818,40864,1018,176,573,18,1816,2483,59952
"32","55032","Assembly District 32 (2018), Wisconsin",43979,4629,41201,308,203,374,6,1887,2903,59397
"33","55033","Assembly District 33 (2018), Wisconsin",43873,2303,42247,271,172,302,8,873,2073,58490
"34","55034","Assembly District 34 (2018), Wisconsin",49694,624,48502,198,516,219,9,250,1362,60803
"35","55035","Assembly District 35 (2018), Wisconsin",44223,734,43169,109,411,170,8,356,1261,56431
"36","55036","Assembly District 36 (2018), Wisconsin",45160,817,41194,92,3436,95,11,332,1366,57713
"37","55037","Assembly District 37 (2018), Wisconsin",44710,2419,42606,483,139,485,15,982,1826,61182
"38","55038","Assembly District 38 (2018), Wisconsin",46172,1820,44492,343,119,413,18,787,1760,61646
"39","55039","Assembly District 39 (2018), Wisconsin",43972,2366,42103,373,143,280,3,1070,1787,58192
"40","55040","Assembly District 40 (2018), Wisconsin",44672,1357,43006,518,251,246,9,642,1324,57138
"41","55041","Assembly District 41 (2018), Wisconsin",45593,2517,42679,946,371,288,27,1282,1651,57743
"42","55042","Assembly District 42 (2018), Wisconsin",44432,1230,42553,857,181,266,12,563,1269,58322
"43","55043","Assembly District 43 (2018), Wisconsin",46260,2553,43511,709,193,542,17,1288,1857,59492
"44","55044","Assembly District 44 (2018), Wisconsin",43359,2637,39808,1396,201,709,21,1224,2234,58574
"45","55045","Assembly District 45 (2018), Wisconsin",40881,4927,33789,3462,332,490,26,2782,2656,57664
"46","55046","Assembly District 46 (2018), Wisconsin",46868,2001,41632,1982,161,2250,12,831,2111,65092
"47","55047","Assembly District 47 (2018), Wisconsin",46495,5197,38220,3312,298,1946,26,2693,3209,63646
"48","55048","Assembly District 48 (2018), Wisconsin",48475,3964,38525,4944,261,2685,34,2026,3060,63754
"49","55049","Assembly District 49 (2018), Wisconsin",44422,917,43030,537,113,328,5,409,1018,57941
"50","55050","Assembly District 50 (2018), Wisconsin",44245,1264,42281,675,482,239,3,565,1441,58713
"51","55051","Assembly District 51 (2018), Wisconsin",42653,1537,41267,161,114,248,8,855,1368,56878
"52","55052","Assembly District 52 (2018), Wisconsin",45290,2739,41576,1337,287,703,8,1379,1930,59848
"53","55053","Assembly District 53 (2018), Wisconsin",45534,1679,40896,2744,414,839,3,638,1267,58579
"54","55054","Assembly District 54 (2018), Wisconsin",44953,1689,40710,1528,328,1747,14,626,1740,57411
"55","55055","Assembly District 55 (2018), Wisconsin",46069,1953,42824,683,228,1462,31,841,1880,61992
"56","55056","Assembly District 56 (2018), Wisconsin",47693,1598,44194,573,221,1962,25,718,1698,64544
"57","55057","Assembly District 57 (2018), Wisconsin",43065,3278,37899,1246,440,1829,36,1615,2365,57937
"58","55058","Assembly District 58 (2018), Wisconsin",44710,1330,43234,447,119,432,16,462,1508,59054
"59","55059","Assembly District 59 (2018), Wisconsin",44717,1442,43075,670,171,241,10,550,1330,58158
"60","55060","Assembly District 60 (2018), Wisconsin",45037,1204,43603,425,119,469,5,416,1416,59358
"61","55061","Assembly District 61 (2018), Wisconsin",44956,2652,42576,649,137,630,17,947,2521,59972
"62","55062","Assembly District 62 (2018), Wisconsin",43206,3554,38538,2523,245,604,15,1281,2726,58422
"63","55063","Assembly District 63 (2018), Wisconsin",45476,3005,40991,2566,235,745,20,919,2360,59808
"64","55064","Assembly District 64 (2018), Wisconsin",42442,5456,34723,4034,203,1402,14,2066,3270,57845
"65","55065","Assembly District 65 (2018), Wisconsin",38521,8443,29417,4822,269,395,42,3576,4313,57248
"66","55066","Assembly District 66 (2018), Wisconsin",36504,9668,21146,10187,306,282,10,4573,4347,56026
"67","55067","Assembly District 67 (2018), Wisconsin",45500,636,44203,323,181,500,17,276,1372,60513
"68","55068","Assembly District 68 (2018), Wisconsin",45265,871,43186,798,266,679,6,330,1226,61896
"69","55069","Assembly District 69 (2018), Wisconsin",41789,1958,39792,217,199,482,13,1086,1312,57134
"70","55070","Assembly District 70 (2018), Wisconsin",43523,1440,41488,437,606,399,44,549,1466,58276
"71","55071","Assembly District 71 (2018), Wisconsin",45152,1424,42149,675,219,1547,15,547,1499,57866
"72","55072","Assembly District 72 (2018), Wisconsin",44844,1728,42913,262,278,594,17,780,1481,57669
"73","55073","Assembly District 73 (2018), Wisconsin",45565,595,43554,448,1037,272,16,238,2059,58507
"74","55074","Assembly District 74 (2018), Wisconsin",46340,594,41630,171,4058,179,73,229,1730,59010
"75","55075","Assembly District 75 (2018), Wisconsin",44929,916,43154,552,464,313,14,432,1543,58751
"76","55076","Assembly District 76 (2018), Wisconsin",61250,3726,50435,2785,264,6504,48,1214,4076,71685
"77","55077","Assembly District 77 (2018), Wisconsin",48138,4587,36572,2962,283,6060,18,2243,3525,62992
"78","55078","Assembly District 78 (2018), Wisconsin",51120,3644,40347,3006,197,5978,24,1568,2991,67142
"79","55079","Assembly District 79 (2018), Wisconsin",50471,2166,46456,976,148,1965,12,914,2318,69732
"80","55080","Assembly District 80 (2018), Wisconsin",48372,1442,46118,753,146,756,16,583,1734,65830
"81","55081","Assembly District 81 (2018), Wisconsin",45490,1858,42996,814,457,346,12,865,1763,59943
"82","55082","Assembly District 82 (2018), Wisconsin",44661,3110,38515,2104,195,2906,10,931,2377,59196
"83","55083","Assembly District 83 (2018), Wisconsin",44390,1398,43195,219,102,466,7,401,1700,58770
"84","55084","Assembly District 84 (2018), Wisconsin",44855,4547,39465,1502,298,1997,8,1585,3004,59529
"85","55085","Assembly District 85 (2018), Wisconsin",44338,1201,39548,531,294,3383,23,559,1655,58671
"86","55086","Assembly District 86 (2018), Wisconsin",45694,757,43127,231,132,1825,10,369,1223,60462
"87","55087","Assembly District 87 (2018), Wisconsin",43114,817,40341,159,2075,150,4,385,1362,57051
"88","55088","Assembly District 88 (2018), Wisconsin",45660,4479,39874,1231,606,1683,18,2248,2771,62894
"89","55089","Assembly District 89 (2018), Wisconsin",45346,970,43858,297,398,374,9,410,1521,60143
"90","55090","Assembly District 90 (2018), Wisconsin",39315,7931,29294,2592,1677,1688,34,4030,3980,57912
"91","55091","Assembly District 91 (2018), Wisconsin",46424,1297,42692,669,295,2232,48,488,1845,59397
"92","55092","Assembly District 92 (2018), Wisconsin",44168,2737,40759,482,1102,151,12,1662,1416,59334
"93","55093","Assembly District 93 (2018), Wisconsin",45709,951,44207,213,134,664,10,481,1438,60667
"94","55094","Assembly District 94 (2018), Wisconsin",45847,751,43308,274,152,1832,9,272,1299,62080
"95","55095","Assembly District 95 (2018), Wisconsin",47727,1338,43890,1132,235,1928,11,531,1738,58704
"96","55096","Assembly District 96 (2018), Wisconsin",42765,881,41654,401,128,141,12,429,1194,58372
"97","55097","Assembly District 97 (2018), Wisconsin",40986,4734,37097,1081,226,921,23,1638,3078,56590
"98","55098","Assembly District 98 (2018), Wisconsin",46301,2719,42314,902,129,2110,18,828,2305,61407
"99","55099","Assembly District 99 (2018), Wisconsin",43625,1057,42418,190,119,603,16,279,1435,57780
