"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","WHITE_FEMALE","WHITE_MALE","WHITE_TOTAL","WHITE_18_to_24","WHITE_25_to_34","WHITE_35_to_44","WHITE_45_to_54","WHITE_55_to_64","WHITE_65_over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","AI_AN_FEMALE","AI_AN_MALE","AI_AN_TOTAL","AI_AN_18_to_24","AI_AN_25_to_34","AI_AN_35_to_44","AI_AN_45_to_54","AI_AN_55_to_64","AI_AN_65_over","ASIAN_FEMALE","ASIAN_MALE","ASIAN_TOTAL","ASIAN_18_to_24","ASIAN_25_to_34","ASIAN_35_to_44","ASIAN_45_to_54","ASIAN_55_to_64","ASIAN_65_over","NHPI_FEMALE","NHPI_MALE","NHPI_TOTAL","NHPI_18_to_24","NHPI_25_to_34","NHPI_35_to_44","NHPI_45_to_54","NHPI_55_to_64","NHPI_65_over","OTHER_FEMALE","OTHER_MALE","OTHER_TOTAL","OTHER_18_to_24","OTHER_25_to_34","OTHER_35_to_44","OTHER_45_to_54","OTHER_55_to_64","OTHER_65_over","MIXED_FEMALE","MIXED_MALE","MIXED_TOTAL","MIXED_18_to_24","MIXED_25_to_34","MIXED_35_to_44","MIXED_45_to_54","MIXED_55_to_64","MIXED_65_over","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_TOTAL","W_NOTHISP_18_to_24","W_NOTHISP_25_to_34","W_NOTHISP_35_to_44","W_NOTHISP_45_to_54","W_NOTHISP_55_to_64","W_NOTHISP_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","ALL_FEMALE","ALL_MALE","ALL_TOTAL","ALL_18_to_24","ALL_25_to_34","ALL_35_to_44","ALL_45_to_54","ALL_55_to_64","ALL_65_over"
"1","55033","State Senate District 33 (2018), Wisconsin",1867,5133,4778,4684,9900,11131,12668,8063,3274,1145,2376,5380,4220,4507,9797,11589,13171,8929,4414,2292,26,305,125,120,336,174,70,18,19,0,204,92,84,96,252,158,111,22,19,0,26,305,125,120,336,174,70,18,19,0,204,92,84,96,252,158,111,22,19,0,29,137,214,262,435,261,110,85,22,0,65,157,199,234,539,200,139,90,52,22,0,24,0,0,0,0,17,0,0,0,0,38,8,0,0,8,0,8,0,0,5,148,99,104,84,183,71,54,6,0,3,100,47,64,29,196,78,38,16,5,44,173,183,86,117,38,153,18,0,0,92,164,134,86,133,112,129,15,10,0,1667,4706,4539,4289,8979,10632,12310,7889,3223,1137,2159,5004,3897,4071,8961,11146,12908,8715,4315,2273,205,637,396,515,1034,698,476,228,57,8,235,515,396,537,910,655,382,245,115,24,53504,49975,103479,14756,18189,19697,22720,25839,28117,927,1123,2050,627,425,588,332,181,78,927,1123,2050,627,425,588,332,181,78,1558,1445,3003,388,909,974,461,249,271,62,24,86,62,8,0,8,17,8,498,683,1181,256,314,113,379,149,119,746,659,1405,473,489,250,150,282,43,50541,47061,97602,13536,16796,17940,21778,25218,27552,3632,3778,7410,1592,1844,1944,1353,858,677,112395,105871,218266,32317,39399,42094,47513,52974,56943
"2","55001","State Senate District 1 (2018), Wisconsin",2155,4711,4380,5053,10284,11614,13213,8669,4094,1288,2157,4397,4077,4546,10083,12218,12977,9082,5251,2083,38,152,120,64,121,25,86,19,0,0,8,18,42,32,78,38,34,10,3,4,38,152,120,64,121,25,86,19,0,0,8,18,42,32,78,38,34,10,3,4,32,93,152,239,158,158,121,34,5,0,19,46,103,171,185,244,162,17,5,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,59,15,107,83,69,71,0,41,0,19,45,57,44,124,72,23,6,0,3,70,68,201,50,95,102,42,3,0,3,36,29,128,26,128,151,41,57,10,0,2150,4446,4289,4900,9672,11479,13147,8616,4084,1288,2037,4184,3950,4455,9730,12107,12859,9066,5208,2072,45,352,106,225,700,188,136,53,51,0,139,258,190,135,530,242,141,22,43,14,53894,52248,106142,13420,18056,20367,23832,26190,30467,233,539,772,216,258,199,63,120,36,233,539,772,216,258,199,63,120,36,796,871,1667,190,665,343,402,283,67,2,7,9,7,2,0,0,0,0,370,406,776,155,223,207,141,94,50,565,592,1157,203,405,223,253,83,73,52809,50924,103733,12817,17594,19402,23586,26006,30334,1573,1720,3293,794,656,1230,430,277,183,110475,107846,218321,28018,38117,42170,48770,53173,61246
"3","55002","State Senate District 2 (2018), Wisconsin",1702,4672,4781,4669,9578,11174,12355,8361,3772,1240,1276,4172,3992,4661,9311,11344,12462,8452,4834,2307,0,250,174,165,310,132,59,16,1,0,23,41,97,47,43,46,15,11,12,0,0,250,174,165,310,132,59,16,1,0,23,41,97,47,43,46,15,11,12,0,7,139,90,103,247,39,120,57,26,0,73,111,111,204,313,142,157,123,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,58,63,200,70,69,8,0,6,0,20,143,64,168,77,79,0,10,0,55,67,172,58,303,159,128,41,38,39,65,93,68,116,204,211,142,103,8,0,1639,4570,4646,4503,9324,11057,12333,8340,3746,1240,1246,4134,3840,4524,9063,11235,12323,8405,4817,2294,90,170,221,249,496,205,100,38,55,6,75,90,278,199,467,242,270,58,36,13,50349,49949,100298,11822,18103,18889,22518,24817,28966,320,1048,1368,314,483,353,178,74,40,320,1048,1368,314,483,353,178,74,40,1140,708,1848,330,508,560,181,277,269,7,0,7,0,0,7,0,0,0,482,420,902,35,328,368,147,148,24,868,932,1800,280,414,507,370,270,229,49558,49065,98623,11589,17513,18387,22292,24656,28842,1458,1530,2988,425,947,963,447,370,206,104502,104700,209202,25109,38779,40387,46311,50686,58616
"4","55003","State Senate District 3 (2018), Wisconsin",1265,2626,3793,4288,7534,6647,6301,3796,1643,621,1243,2758,3958,4242,7668,6417,7147,4536,2213,1730,265,727,834,599,983,879,598,170,58,0,148,697,593,634,694,741,547,303,63,18,265,727,834,599,983,879,598,170,58,0,148,697,593,634,694,741,547,303,63,18,132,147,263,261,543,303,309,56,106,3,54,257,243,364,490,439,217,114,79,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,702,1367,1439,1678,3354,2093,1179,522,89,60,557,1404,1479,1323,2953,2109,881,417,169,81,136,231,279,104,255,218,160,70,0,0,86,163,225,262,268,243,146,70,6,7,520,1140,2514,2774,4391,4370,5013,3126,1260,574,447,1171,2336,2655,4395,4397,5556,3795,1911,1508,1522,3009,2944,3339,6663,4491,2583,1218,480,107,1370,3162,3271,3075,6468,4229,2603,1195,477,303,34765,32213,66978,7892,16281,15202,13064,13448,14539,3891,4515,8406,1837,2660,1677,1620,1145,612,3891,4515,8406,1837,2660,1677,1620,1145,612,2040,1814,3854,590,1131,1033,742,526,358,13,13,26,0,0,26,0,0,0,10492,11304,21796,4030,5919,6307,4202,2060,1338,1330,1293,2623,616,870,523,461,306,153,22615,20669,43284,3278,10279,8786,8767,10569,12174,23550,23773,47323,9063,12629,13131,8720,5186,3780,102587,100109,202696,29143,52429,48362,39196,34385,33566
"5","55004","State Senate District 4 (2018), Wisconsin",455,730,1532,1803,2806,3162,3547,2584,1094,486,336,1097,1836,1728,2813,2975,3345,2667,1908,1480,1572,3323,3596,2893,4730,5485,4428,2382,1076,256,1721,4345,5278,4126,7865,6926,5912,3555,1592,814,1572,3323,3596,2893,4730,5485,4428,2382,1076,256,1721,4345,5278,4126,7865,6926,5912,3555,1592,814,114,399,531,336,799,439,110,124,12,10,113,470,579,389,567,383,249,218,30,14,0,9,0,0,0,10,0,0,0,0,0,0,0,0,16,0,9,0,0,23,21,139,116,76,345,211,213,22,58,0,19,187,113,191,256,440,119,94,46,32,43,371,224,303,149,127,124,54,0,11,36,148,158,187,311,207,123,33,31,2,435,649,1410,1564,2567,2892,3426,2528,1094,478,224,873,1727,1540,2528,2805,3244,2621,1863,1477,56,332,275,420,603,536,385,102,81,8,141,388,274,507,666,557,272,146,96,59,16840,14652,31492,2618,6899,5619,6137,6892,10219,36222,25313,61535,10961,15893,12595,12411,10340,9675,36222,25313,61535,10961,15893,12595,12411,10340,9675,2763,2764,5527,1096,1835,1366,822,359,408,39,19,58,9,0,16,10,9,23,1378,988,2366,366,496,601,651,332,252,1113,1282,2395,598,872,460,334,247,131,15658,13617,29275,2181,6241,5095,5697,6670,10061,2834,2413,5247,917,1476,1269,1093,657,492,113069,86361,199430,29707,49605,39616,39566,35846,40936
"6","55005","State Senate District 5 (2018), Wisconsin",1526,3006,5374,5316,9193,9209,11010,7327,3614,1971,1344,3098,5195,5939,9116,9807,11877,8535,5197,4079,174,166,415,297,546,248,297,311,63,1,102,481,402,283,442,561,234,205,111,26,174,166,415,297,546,248,297,311,63,1,102,481,402,283,442,561,234,205,111,26,82,297,406,480,1061,502,306,276,172,0,57,222,382,734,883,552,414,298,118,70,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,4,78,131,188,335,125,25,33,0,0,86,19,198,235,143,46,115,7,12,9,54,77,162,158,292,113,63,8,10,0,81,135,200,120,213,362,111,29,32,20,1435,2785,4990,5057,8828,8799,10758,7220,3558,1944,1200,2865,4952,5686,8682,9513,11643,8378,5197,4023,106,330,544,537,674,527,310,140,56,27,230,303,462,497,578,374,378,187,12,65,52310,46536,98846,8974,21824,18309,19016,22887,30723,2613,2221,4834,923,1397,988,809,531,717,2613,2221,4834,923,1397,988,809,531,717,3316,3276,6592,658,2002,1944,1054,720,934,17,0,17,9,0,0,0,0,8,755,894,1649,187,752,478,171,140,61,1192,874,2066,347,640,505,475,174,99,50496,44616,95112,8285,20685,17510,18312,22401,30320,2708,2941,5649,969,2040,1252,901,688,487,116020,103579,219599,21275,50737,41974,41547,48072,64066
"7","55006","State Senate District 6 (2018), Wisconsin",1357,2707,2697,2097,2719,2359,2662,1758,535,186,1564,2749,2439,1807,2644,2551,2492,1762,569,468,1573,4100,3656,2383,5243,5125,5251,2584,888,283,1439,4257,4584,4140,7256,6718,7005,3456,1473,414,1573,4100,3656,2383,5243,5125,5251,2584,888,283,1439,4257,4584,4140,7256,6718,7005,3456,1473,414,117,526,418,335,282,269,348,80,21,0,206,465,484,284,471,360,268,72,31,95,0,0,0,0,0,10,8,15,0,0,0,0,0,6,0,0,0,0,0,0,43,184,175,91,320,197,71,84,1,0,43,184,168,71,267,234,113,68,18,5,219,387,297,227,251,126,78,26,12,0,210,318,332,122,329,235,112,64,23,15,1253,2409,2430,1903,2432,2123,2465,1688,504,181,1446,2439,2175,1643,2292,2354,2384,1659,551,455,226,624,506,335,738,469,294,160,32,5,287,623,460,292,691,477,246,189,41,18,16553,16415,32968,8377,9040,5363,4910,5154,5278,33737,25835,59572,11369,14763,12499,11843,12256,9098,33737,25835,59572,11369,14763,12499,11843,12256,9098,2468,2048,4516,1314,1521,753,629,616,299,6,25,31,0,6,0,10,8,15,1058,1095,2153,454,505,587,431,184,176,1648,1545,3193,1134,978,580,361,190,140,15014,14923,29937,7547,8151,4724,4477,4849,5038,3078,3095,6173,1760,1593,1429,946,540,445,107299,90816,198115,43324,51320,38434,35450,36053,29587
"8","55007","State Senate District 7 (2018), Wisconsin",2399,7127,8270,6333,9709,9502,10118,6916,2853,1473,2327,6118,8155,5951,9455,8363,11196,7269,3975,2794,140,809,431,360,343,457,328,198,65,18,129,722,609,280,198,219,460,187,143,137,140,809,431,360,343,457,328,198,65,18,129,722,609,280,198,219,460,187,143,137,53,498,812,680,365,231,103,147,81,0,169,280,475,344,418,159,222,178,77,19,0,0,0,0,0,11,7,0,0,0,0,0,0,0,19,7,36,3,0,0,78,227,238,418,393,265,249,81,0,0,23,268,172,127,235,207,326,13,34,18,202,484,252,202,189,127,195,64,0,27,118,336,580,224,253,95,129,37,0,5,2104,6407,7560,5961,8717,8823,9662,6748,2800,1461,2139,5587,7471,5404,8731,7825,10804,7022,3854,2707,463,1125,987,840,1373,982,768,280,59,12,245,843,954,689,1082,775,766,273,136,105,54407,54582,108989,17971,28709,19164,17865,21314,25280,2624,2821,5445,1800,1680,541,676,788,748,2624,2821,5445,1800,1680,541,676,788,748,2119,2867,4986,1000,2311,783,390,325,502,29,11,40,0,0,19,18,43,3,1097,1700,2797,596,955,628,472,575,146,1648,1547,3195,1140,1258,442,222,324,133,50740,50581,101321,16237,26396,17448,16648,20466,24592,5102,6121,11223,2676,3470,2455,1757,1534,865,120390,123051,243441,43220,66459,42021,38724,46157,53017
"9","55008","State Senate District 8 (2018), Wisconsin",1650,3554,3240,4106,8638,10757,12735,7839,3961,1867,1603,3019,3039,4067,8682,11506,13230,8928,5179,2902,123,282,364,452,510,618,398,543,225,96,74,319,356,303,864,748,642,588,421,82,123,282,364,452,510,618,398,543,225,96,74,319,356,303,864,748,642,588,421,82,76,201,134,257,707,504,220,138,41,23,76,212,262,322,648,571,296,194,99,8,0,6,0,17,0,0,0,0,0,19,0,0,0,0,0,0,11,0,0,0,44,34,0,41,117,68,0,6,6,18,44,62,82,0,114,125,0,4,0,0,152,133,92,220,156,150,102,34,5,0,81,102,76,166,142,177,73,62,5,0,1581,3411,3122,3942,8224,10562,12551,7719,3925,1855,1575,2858,2924,3950,8395,11226,12951,8855,5155,2902,146,189,121,205,546,314,186,138,42,30,101,256,197,117,440,428,290,84,24,0,48925,45612,94537,9826,14452,17320,22263,25965,30676,3755,3213,6968,798,1475,1374,1366,1040,1955,3755,3213,6968,798,1475,1374,1366,1040,1955,2392,2081,4473,565,975,1355,1075,516,503,0,42,42,6,17,0,0,11,19,431,334,765,184,123,231,193,0,34,811,942,1753,468,554,298,327,175,106,47840,44341,92181,9425,13938,16619,21788,25502,30411,1647,1731,3378,692,640,986,742,476,318,109556,101509,211065,22762,33649,39557,49120,54725,65977
"10","55009","State Senate District 9 (2018), Wisconsin",1564,4285,4062,4293,9037,11045,12356,8233,4231,1370,1486,4117,3953,4144,8899,10661,12285,8833,5113,3015,74,172,133,181,290,53,129,31,13,0,64,121,42,38,186,144,35,47,0,6,74,172,133,181,290,53,129,31,13,0,64,121,42,38,186,144,35,47,0,6,121,438,508,426,550,357,182,94,64,0,194,328,494,341,546,335,269,89,56,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,33,73,63,47,137,89,16,21,0,14,35,75,56,106,73,81,98,19,0,27,22,90,27,78,215,98,39,23,0,13,7,87,123,69,80,71,75,7,0,0,1469,4025,3761,3984,8417,10789,12109,8138,4185,1344,1382,3958,3562,3894,8416,10379,12159,8763,5071,3015,131,393,364,363,835,369,274,116,46,40,160,240,466,360,590,405,224,89,59,27,50221,48120,98341,11452,16452,17936,21706,24641,30795,648,947,1595,431,394,476,197,164,97,648,947,1595,431,394,476,197,164,97,2452,2558,5010,1081,1769,1096,692,451,372,3,0,3,0,0,0,3,0,0,472,477,949,216,272,210,170,114,81,444,566,1010,206,297,295,169,114,43,48440,46112,94552,10834,15201,16833,21168,24268,30516,2396,2657,5053,924,1553,1425,774,498,377,105724,102384,208108,25575,36332,38747,45076,50414,62378
