"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","UNDERREP_TOTAL","UNDERREP_FEMALE_TOTAL","UNDERREP_MALE","UNDERREP_LESS_HS_TOTAL","UNDERREP_HS_TOTAL","UNDERREP_SOME_COLLEGE_TOTAL","UNDERREP_COLLEGE_TOTAL"
"1","55033","State Senate District 33 (2018), Wisconsin",55643,2585,12110,16911,24037,58919,2052,13374,17884,25609,862,132,195,331,204,742,233,146,176,187,191,0,31,93,67,72,18,5,17,32,1389,14,105,168,1102,1475,100,109,274,992,17,9,0,0,8,24,0,0,8,16,601,243,258,67,33,473,245,103,72,53,595,16,137,138,304,619,32,68,258,261,52998,1718,11476,16107,23697,56286,1596,12734,17005,24951,3412,1110,936,951,415,3264,726,743,1032,763,1604,742,862,365,341,507,391,6676,3264,3412,1836,1679,1983,1178,8280,4006,4274,2201,2020,2490,1569
"2","55001","State Senate District 1 (2018), Wisconsin",58595,3346,19988,19503,15758,60317,2682,19103,20048,18484,435,70,142,103,120,241,38,92,52,59,335,121,64,54,96,409,131,81,147,50,867,77,237,177,376,893,229,192,194,278,0,0,0,0,0,2,2,0,0,0,386,163,103,72,48,329,181,61,83,4,496,35,202,111,148,541,25,109,184,223,57475,3008,19755,19220,15492,59447,2414,18906,19796,18331,1459,501,316,365,277,1317,461,258,381,217,676,241,435,108,234,155,179,2776,1317,1459,962,574,746,494,3452,1558,1894,1070,808,901,673
"3","55002","State Senate District 2 (2018), Wisconsin",55930,3323,20911,17779,13917,57363,2791,20159,18354,16059,857,221,385,135,116,271,14,88,148,21,2427,342,837,773,475,2794,198,1098,1054,444,682,54,107,104,417,1113,182,200,86,645,0,0,0,0,0,7,0,7,0,0,474,175,101,153,45,541,196,121,134,90,938,148,202,428,160,852,45,260,350,197,55189,3101,20710,17546,13832,56501,2638,20043,18048,15772,1370,426,352,450,142,1563,358,254,538,413,1128,271,857,235,473,283,137,2933,1563,1370,784,606,988,555,4061,1834,2227,1019,1079,1271,692
"4","55003","State Senate District 3 (2018), Wisconsin",34623,7119,12810,8741,5953,37911,6389,12997,10847,7678,4121,807,1665,1348,301,3593,750,1116,1300,427,499,123,185,164,27,616,109,216,236,55,1844,830,406,295,313,1946,637,504,491,314,13,0,0,0,13,13,0,0,13,0,10414,5076,3446,1519,373,9412,4229,2765,1934,484,1086,165,364,362,195,1227,262,228,420,317,24022,2359,8884,7184,5595,26553,2318,9385,8287,6563,21825,10021,7671,3277,856,21621,8560,6581,4745,1735,7714,3593,4121,1557,2781,2648,728,43446,21621,21825,18581,14252,8022,2591,51160,25214,25946,20138,17033,10670,3319
"5","55004","State Senate District 4 (2018), Wisconsin",17014,1325,4256,4490,6943,18752,989,4679,4891,8193,24846,4700,9758,8212,2176,36068,4861,12587,12927,5693,176,30,71,67,8,291,14,48,87,142,2361,389,697,557,718,2429,731,483,522,693,10,0,0,0,10,48,9,23,0,16,1041,308,477,209,47,1291,278,498,402,113,992,88,338,376,190,1052,160,234,402,256,15959,997,3981,4184,6797,17805,772,4389,4609,8035,2410,654,943,539,274,2577,632,762,812,371,60914,36068,24846,9561,22345,21139,7869,4987,2577,2410,1286,1705,1351,645,65901,38645,27256,10847,24050,22490,8514
"6","55005","State Senate District 5 (2018), Wisconsin",53014,2128,11229,15237,24420,59745,2229,13512,15603,28401,2178,117,555,814,692,2264,181,402,1126,555,142,8,31,59,44,254,24,61,116,53,3203,152,332,157,2562,3451,271,364,301,2515,0,0,0,0,0,8,0,0,0,8,837,63,352,299,123,765,80,347,201,137,806,34,272,169,331,1087,41,235,337,474,51154,1850,10587,14854,23863,58074,1960,13115,15119,27880,2815,356,1056,706,697,2553,372,760,713,708,4442,2264,2178,298,957,1940,1247,5368,2553,2815,728,1816,1419,1405,9810,4817,4993,1026,2773,3359,2652
"7","55006","State Senate District 6 (2018), Wisconsin",15013,991,3276,4203,6543,14732,748,2782,4441,6761,25413,5145,10687,7442,2139,35046,5766,11162,12983,5135,96,0,36,55,5,188,33,55,43,57,1753,592,486,289,386,2065,930,379,423,333,33,8,0,25,0,6,0,0,0,6,939,321,219,317,82,944,235,276,292,141,1017,103,322,423,169,1232,76,209,440,507,13726,682,2728,3956,6360,13513,549,2481,4016,6467,2539,673,891,701,274,2414,464,609,801,540,60459,35046,25413,10911,21849,20425,7274,4953,2414,2539,1137,1500,1502,814,65412,37460,27952,12048,23349,21927,8088
"8","55007","State Senate District 7 (2018), Wisconsin",55174,2990,14103,17546,20535,57158,3126,14854,14837,24341,2200,224,562,870,544,2233,252,690,611,680,588,129,275,174,10,343,14,184,95,50,2419,198,371,373,1477,1892,323,354,183,1032,18,0,11,0,7,65,18,19,11,17,1644,378,443,502,321,1132,315,354,208,255,1056,76,273,307,400,1323,53,259,388,623,51732,2475,13178,16344,19735,53818,2595,14003,13823,23397,5301,942,1472,1740,1147,4780,897,1285,1367,1231,4433,2233,2200,476,1252,1481,1224,10081,4780,5301,1839,2757,3107,2378,14514,7013,7501,2315,4009,4588,3602
"9","55008","State Senate District 8 (2018), Wisconsin",53143,1611,9879,14087,27566,57533,1498,11808,15258,28969,3206,311,769,1359,767,4004,287,883,1451,1383,89,18,15,38,18,200,0,24,38,138,2024,137,211,460,1216,2400,91,217,413,1679,36,7,0,17,12,11,0,11,0,0,256,43,130,26,57,325,24,23,70,208,759,17,183,175,384,701,55,23,243,380,51900,1458,9607,13782,27053,56358,1446,11496,15015,28401,1582,201,425,343,613,1580,98,335,341,806,7210,4004,3206,598,1652,2810,2150,3162,1580,1582,299,760,684,1419,10372,5584,4788,897,2412,3494,3569
"10","55009","State Senate District 9 (2018), Wisconsin",54627,4042,20452,17440,12693,56903,3168,20639,18828,14268,830,139,267,261,163,498,155,138,190,15,144,9,14,98,23,289,0,81,148,60,2181,428,680,610,463,2199,607,526,598,468,0,0,0,0,0,3,0,0,3,0,387,122,125,132,8,460,55,204,135,66,493,8,224,136,125,425,5,169,127,124,52727,3413,19735,17038,12541,55259,2785,20209,18199,14066,2407,754,903,583,167,2220,474,649,801,296,1328,498,830,294,405,451,178,4627,2220,2407,1228,1552,1384,463,5955,2718,3237,1522,1957,1835,641
"11","55010","State Senate District 10 (2018), Wisconsin",55485,2852,16974,19835,15824,56584,2491,15849,19798,18446,403,37,113,95,158,198,5,6,126,61,225,19,122,48,36,239,28,63,76,72,363,13,62,114,174,622,132,127,151,212,4,0,4,0,0,41,0,7,0,34,166,88,40,17,21,193,50,16,78,49,689,27,216,321,125,569,28,165,214,162,54790,2733,16800,19544,15713,55925,2358,15699,19561,18307,886,214,233,305,134,853,181,165,328,179,601,198,403,42,119,221,219,1739,853,886,395,398,633,313,2340,1051,1289,437,517,854,532
"12","55011","State Senate District 11 (2018), Wisconsin",57121,4868,19561,17640,15052,59053,3742,18041,19411,17859,751,81,344,191,135,520,35,134,214,137,244,41,71,86,46,175,34,51,54,36,394,64,47,64,219,708,72,201,125,310,0,0,0,0,0,0,0,0,0,0,1231,417,523,240,51,1057,396,344,210,107,752,92,250,236,174,627,82,171,245,129,54552,3676,18860,17257,14759,56732,2775,17570,18850,17537,4116,1682,1357,688,389,3605,1440,872,801,492,1271,520,751,116,478,405,272,7721,3605,4116,3122,2229,1489,881,8992,4125,4867,3238,2707,1894,1153
"13","55012","State Senate District 12 (2018), Wisconsin",60213,5757,24281,18735,11440,60316,4011,22206,21254,12845,326,28,105,128,65,162,75,19,23,45,1847,237,855,636,119,2018,224,725,695,374,125,20,18,15,72,337,61,119,60,97,1,0,0,1,0,33,4,14,4,11,150,62,41,34,13,50,18,4,16,12,515,114,177,171,53,714,65,129,352,168,59584,5609,24106,18509,11360,59555,3853,22021,21005,12676,833,219,243,285,86,864,184,211,278,191,488,162,326,103,124,151,110,1697,864,833,403,454,563,277,2185,1026,1159,506,578,714,387
"14","55013","State Senate District 13 (2018), Wisconsin",58710,4226,20666,18010,15808,59588,3453,18128,20262,17745,728,45,366,244,73,526,68,187,159,112,154,5,73,28,48,152,0,53,32,67,299,21,81,64,133,428,83,148,79,118,8,0,3,5,0,1,0,0,0,1,461,178,184,75,24,188,106,32,19,31,403,48,104,160,91,649,33,213,305,98,57153,3774,20017,17800,15562,58257,3085,17646,19989,17537,2061,640,848,304,269,1626,489,597,292,248,1254,526,728,113,553,403,185,3687,1626,2061,1129,1445,596,517,4941,2152,2789,1242,1998,999,702
"15","55014","State Senate District 14 (2018), Wisconsin",60216,6244,24383,19118,10471,58139,4452,21813,19368,12506,1628,337,706,491,94,191,34,46,58,53,508,59,181,176,92,149,46,40,40,23,332,5,91,63,173,440,42,80,138,180,32,0,14,10,8,4,0,4,0,0,580,248,225,84,23,282,120,57,71,34,632,72,260,192,108,398,21,118,172,87,58630,5679,23859,18745,10347,57226,4134,21508,19143,12441,2261,836,814,445,166,1240,454,398,291,97,1819,191,1628,371,752,549,147,3501,1240,2261,1290,1212,736,263,5320,1431,3889,1661,1964,1285,410
