"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"1","55033","State Senate District 33 (2018), Wisconsin",55643,2585,12110,16911,24037,58919,2052,13374,17884,25609,862,132,195,331,204,742,233,146,176,187,191,0,31,93,67,72,18,5,17,32,1389,14,105,168,1102,1475,100,109,274,992,17,9,0,0,8,24,0,0,8,16,601,243,258,67,33,473,245,103,72,53,595,16,137,138,304,619,32,68,258,261,52998,1718,11476,16107,23697,56286,1596,12734,17005,24951,3412,1110,936,951,415,3264,726,743,1032,763,114562,58919,55643,4637,25484,34795,49646,1604,742,862,365,341,507,391,263,72,191,18,36,110,99,2864,1475,1389,114,214,442,2094,41,24,17,9,0,8,24,1074,473,601,488,361,139,86,1214,619,595,48,205,396,565,109284,56286,52998,3314,24210,33112,48648,6676,3264,3412,1836,1679,1983,1178,237582,121874,115708,10829,52530,71492,102731
"2","55001","State Senate District 1 (2018), Wisconsin",58595,3346,19988,19503,15758,60317,2682,19103,20048,18484,435,70,142,103,120,241,38,92,52,59,335,121,64,54,96,409,131,81,147,50,867,77,237,177,376,893,229,192,194,278,0,0,0,0,0,2,2,0,0,0,386,163,103,72,48,329,181,61,83,4,496,35,202,111,148,541,25,109,184,223,57475,3008,19755,19220,15492,59447,2414,18906,19796,18331,1459,501,316,365,277,1317,461,258,381,217,118912,60317,58595,6028,39091,39551,34242,676,241,435,108,234,155,179,744,409,335,252,145,201,146,1760,893,867,306,429,371,654,2,2,0,2,0,0,0,715,329,386,344,164,155,52,1037,541,496,60,311,295,371,116922,59447,57475,5422,38661,39016,33823,2776,1317,1459,962,574,746,494,243544,123496,120048,13484,79609,80490,69961
"3","55002","State Senate District 2 (2018), Wisconsin",55930,3323,20911,17779,13917,57363,2791,20159,18354,16059,857,221,385,135,116,271,14,88,148,21,2427,342,837,773,475,2794,198,1098,1054,444,682,54,107,104,417,1113,182,200,86,645,0,0,0,0,0,7,0,7,0,0,474,175,101,153,45,541,196,121,134,90,938,148,202,428,160,852,45,260,350,197,55189,3101,20710,17546,13832,56501,2638,20043,18048,15772,1370,426,352,450,142,1563,358,254,538,413,113293,57363,55930,6114,41070,36133,29976,1128,271,857,235,473,283,137,5221,2794,2427,540,1935,1827,919,1795,1113,682,236,307,190,1062,7,7,0,0,7,0,0,1015,541,474,371,222,287,135,1790,852,938,193,462,778,357,111690,56501,55189,5739,40753,35594,29604,2933,1563,1370,784,606,988,555,238872,121005,117867,14212,85835,76080,62745
"4","55003","State Senate District 3 (2018), Wisconsin",34623,7119,12810,8741,5953,37911,6389,12997,10847,7678,4121,807,1665,1348,301,3593,750,1116,1300,427,499,123,185,164,27,616,109,216,236,55,1844,830,406,295,313,1946,637,504,491,314,13,0,0,0,13,13,0,0,13,0,10414,5076,3446,1519,373,9412,4229,2765,1934,484,1086,165,364,362,195,1227,262,228,420,317,24022,2359,8884,7184,5595,26553,2318,9385,8287,6563,21825,10021,7671,3277,856,21621,8560,6581,4745,1735,72534,37911,34623,13508,25807,19588,13631,7714,3593,4121,1557,2781,2648,728,1115,616,499,232,401,400,82,3790,1946,1844,1467,910,786,627,26,13,13,0,0,13,13,19826,9412,10414,9305,6211,3453,857,2313,1227,1086,427,592,782,512,50575,26553,24022,4677,18269,15471,12158,43446,21621,21825,18581,14252,8022,2591,201339,102892,98447,49754,69223,51163,31199
"5","55004","State Senate District 4 (2018), Wisconsin",17014,1325,4256,4490,6943,18752,989,4679,4891,8193,24846,4700,9758,8212,2176,36068,4861,12587,12927,5693,176,30,71,67,8,291,14,48,87,142,2361,389,697,557,718,2429,731,483,522,693,10,0,0,0,10,48,9,23,0,16,1041,308,477,209,47,1291,278,498,402,113,992,88,338,376,190,1052,160,234,402,256,15959,997,3981,4184,6797,17805,772,4389,4609,8035,2410,654,943,539,274,2577,632,762,812,371,35766,18752,17014,2314,8935,9381,15136,60914,36068,24846,9561,22345,21139,7869,467,291,176,44,119,154,150,4790,2429,2361,1120,1180,1079,1411,58,48,10,9,23,0,26,2332,1291,1041,586,975,611,160,2044,1052,992,248,572,778,446,33764,17805,15959,1769,8370,8793,14832,4987,2577,2410,1286,1705,1351,645,145122,80313,64809,16937,44224,43286,40675
"6","55005","State Senate District 5 (2018), Wisconsin",53014,2128,11229,15237,24420,59745,2229,13512,15603,28401,2178,117,555,814,692,2264,181,402,1126,555,142,8,31,59,44,254,24,61,116,53,3203,152,332,157,2562,3451,271,364,301,2515,0,0,0,0,0,8,0,0,0,8,837,63,352,299,123,765,80,347,201,137,806,34,272,169,331,1087,41,235,337,474,51154,1850,10587,14854,23863,58074,1960,13115,15119,27880,2815,356,1056,706,697,2553,372,760,713,708,112759,59745,53014,4357,24741,30840,52821,4442,2264,2178,298,957,1940,1247,396,254,142,32,92,175,97,6654,3451,3203,423,696,458,5077,8,8,0,0,0,0,8,1602,765,837,143,699,500,260,1893,1087,806,75,507,506,805,109228,58074,51154,3810,23702,29973,51743,5368,2553,2815,728,1816,1419,1405,242350,128201,114149,9866,53210,65811,113463
"7","55006","State Senate District 6 (2018), Wisconsin",15013,991,3276,4203,6543,14732,748,2782,4441,6761,25413,5145,10687,7442,2139,35046,5766,11162,12983,5135,96,0,36,55,5,188,33,55,43,57,1753,592,486,289,386,2065,930,379,423,333,33,8,0,25,0,6,0,0,0,6,939,321,219,317,82,944,235,276,292,141,1017,103,322,423,169,1232,76,209,440,507,13726,682,2728,3956,6360,13513,549,2481,4016,6467,2539,673,891,701,274,2414,464,609,801,540,29745,14732,15013,1739,6058,8644,13304,60459,35046,25413,10911,21849,20425,7274,284,188,96,33,91,98,62,3818,2065,1753,1522,865,712,719,39,6,33,8,0,25,6,1883,944,939,556,495,609,223,2249,1232,1017,179,531,863,676,27239,13513,13726,1231,5209,7972,12827,4953,2414,2539,1137,1500,1502,814,130669,70140,60529,17316,36598,40850,35905
"8","55007","State Senate District 7 (2018), Wisconsin",55174,2990,14103,17546,20535,57158,3126,14854,14837,24341,2200,224,562,870,544,2233,252,690,611,680,588,129,275,174,10,343,14,184,95,50,2419,198,371,373,1477,1892,323,354,183,1032,18,0,11,0,7,65,18,19,11,17,1644,378,443,502,321,1132,315,354,208,255,1056,76,273,307,400,1323,53,259,388,623,51732,2475,13178,16344,19735,53818,2595,14003,13823,23397,5301,942,1472,1740,1147,4780,897,1285,1367,1231,112332,57158,55174,6116,28957,32383,44876,4433,2233,2200,476,1252,1481,1224,931,343,588,143,459,269,60,4311,1892,2419,521,725,556,2509,83,65,18,18,30,11,24,2776,1132,1644,693,797,710,576,2379,1323,1056,129,532,695,1023,105550,53818,51732,5070,27181,30167,43132,10081,4780,5301,1839,2757,3107,2378,242876,122744,120132,15005,62690,69379,95802
"9","55008","State Senate District 8 (2018), Wisconsin",53143,1611,9879,14087,27566,57533,1498,11808,15258,28969,3206,311,769,1359,767,4004,287,883,1451,1383,89,18,15,38,18,200,0,24,38,138,2024,137,211,460,1216,2400,91,217,413,1679,36,7,0,17,12,11,0,11,0,0,256,43,130,26,57,325,24,23,70,208,759,17,183,175,384,701,55,23,243,380,51900,1458,9607,13782,27053,56358,1446,11496,15015,28401,1582,201,425,343,613,1580,98,335,341,806,110676,57533,53143,3109,21687,29345,56535,7210,4004,3206,598,1652,2810,2150,289,200,89,18,39,76,156,4424,2400,2024,228,428,873,2895,47,11,36,7,11,17,12,581,325,256,67,153,96,265,1460,701,759,72,206,418,764,108258,56358,51900,2904,21103,28797,55454,3162,1580,1582,299,760,684,1419,236107,123112,112995,7302,46039,63116,119650
"10","55009","State Senate District 9 (2018), Wisconsin",54627,4042,20452,17440,12693,56903,3168,20639,18828,14268,830,139,267,261,163,498,155,138,190,15,144,9,14,98,23,289,0,81,148,60,2181,428,680,610,463,2199,607,526,598,468,0,0,0,0,0,3,0,0,3,0,387,122,125,132,8,460,55,204,135,66,493,8,224,136,125,425,5,169,127,124,52727,3413,19735,17038,12541,55259,2785,20209,18199,14066,2407,754,903,583,167,2220,474,649,801,296,111530,56903,54627,7210,41091,36268,26961,1328,498,830,294,405,451,178,433,289,144,9,95,246,83,4380,2199,2181,1035,1206,1208,931,3,3,0,0,0,3,0,847,460,387,177,329,267,74,918,425,493,13,393,263,249,107986,55259,52727,6198,39944,35237,26607,4627,2220,2407,1228,1552,1384,463,232052,118256,113796,16164,85015,75327,55546
