"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","WHITE_less25","WHITE_25_to_34","WHITE_35_to_49","WHITE_50_to_74","WHITE_75_to_99","WHITE_100_to_149","WHITE_150_to_199","WHITE_200_more","WHITE_TOTAL","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","AI_AN_less25","AI_AN_25_to_34","AI_AN_35_to_49","AI_AN_50_to_74","AI_AN_75_to_99","AI_AN_100_to_149","AI_AN_150_to_199","AI_AN_200_more","AI_AN_TOTAL","ASIAN_less25","ASIAN_25_to_34","ASIAN_35_to_49","ASIAN_50_to_74","ASIAN_75_to_99","ASIAN_100_to_149","ASIAN_150_to_199","ASIAN_200_more","ASIAN_TOTAL","NHPI_less25","NHPI_25_to_34","NHPI_35_to_49","NHPI_50_to_74","NHPI_75_to_99","NHPI_100_to_149","NHPI_150_to_199","NHPI_200_more","NHPI_TOTAL","OTHER_less25","OTHER_25_to_34","OTHER_35_to_49","OTHER_50_to_74","OTHER_75_to_99","OTHER_100_to_149","OTHER_150_to_199","OTHER_200_more","OTHER_TOTAL","MIXED_less25","MIXED_25_to_34","MIXED_35_to_49","MIXED_50_to_74","MIXED_75_to_99","MIXED_100_to_149","MIXED_150_to_199","MIXED_200_more","MIXED_TOTAL","W_NOTHISP_less25","W_NOTHISP_25_to_34","W_NOTHISP_35_to_49","W_NOTHISP_50_to_74","W_NOTHISP_75_to_99","W_NOTHISP_100_to_149","W_NOTHISP_150_to_199","W_NOTHISP_200_more","W_NOTHISP_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","ALL_less25","ALL_25_to_34","ALL_35_to_49","ALL_50_to_74","ALL_75_to_99","ALL_100_to_149","ALL_150_to_199","ALL_200_more","ALL_TOTAL"
"1","55033","State Senate District 33 (2018), Wisconsin",66373,2075,1713,1969,2232,2091,2028,2327,2416,2177,4871,6370,9178,8088,5356,6447,7035,925,90,146,91,117,19,38,81,0,69,30,70,64,32,12,53,13,114,0,6,5,0,5,0,0,5,16,33,10,5,23,0,0,6,1438,34,19,0,8,36,0,10,37,0,41,160,224,258,192,232,187,54,0,0,0,0,0,38,0,0,0,0,0,0,0,8,8,0,457,10,0,0,0,8,25,4,9,0,80,150,72,58,41,0,0,625,0,25,30,23,7,26,14,26,0,45,114,93,89,6,112,15,63530,1921,1632,1875,2080,1890,1966,2187,2206,2061,4545,6118,8755,7774,5225,6341,6954,3468,187,91,94,162,209,87,158,224,116,468,399,516,382,164,130,81,7989,4119,6920,11241,9178,13444,6447,7035,66373,444,57,150,100,64,44,53,13,925,11,5,21,43,5,23,0,6,114,61,36,47,201,224,450,232,187,1438,0,38,0,0,0,8,8,0,54,10,33,13,230,72,99,0,0,457,78,33,40,159,93,95,112,15,625,7508,3856,6454,10663,8755,12999,6341,6954,63530,534,296,498,867,516,546,130,81,3468,16635,8473,14143,23504,18907,27708,13323,14291,136984
"2","55001","State Senate District 1 (2018), Wisconsin",70363,2331,2076,2686,2511,2942,2870,3060,3168,2531,5573,8317,10855,8397,5051,4684,3311,369,38,6,0,0,52,0,43,27,47,28,94,10,6,4,14,0,457,2,8,0,18,62,16,58,74,0,28,111,13,52,5,6,4,827,23,0,6,57,48,13,36,33,68,55,119,253,30,29,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,16,26,11,32,25,2,78,3,0,20,39,43,37,13,0,5,617,38,6,39,53,24,26,7,27,4,71,111,133,37,25,16,0,69187,2302,2073,2641,2409,2840,2819,2965,3089,2441,5432,8169,10694,8367,5008,4663,3275,1555,45,29,45,163,137,53,173,109,90,178,187,165,63,56,21,41,9604,5812,8759,13890,10855,13448,4684,3311,70363,44,52,117,122,10,10,14,0,369,28,78,132,139,13,57,6,4,457,86,61,137,174,253,59,31,26,827,0,0,0,0,0,0,0,0,0,85,27,81,59,43,50,0,5,350,136,50,38,182,133,62,16,0,617,9425,5659,8495,13601,10694,13375,4663,3275,69187,282,190,372,365,165,119,21,41,1555,19690,11929,18131,28532,22166,27180,9435,6662,143725
"3","55002","State Senate District 2 (2018), Wisconsin",66471,2089,2255,2930,2605,2897,2757,2836,2837,2698,5756,7402,10101,7563,4461,4327,2957,272,8,13,47,26,50,55,18,7,8,0,23,9,6,0,0,2,3240,351,212,143,252,146,254,144,212,86,346,393,330,206,41,44,80,818,0,0,17,18,61,19,11,27,32,48,87,128,154,68,5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,29,17,6,0,36,6,29,91,26,41,20,32,30,77,0,22,989,61,156,58,23,61,41,22,35,34,86,92,134,133,42,2,9,65744,2084,2231,2829,2600,2839,2711,2800,2834,2627,5691,7387,10015,7498,4372,4273,2953,1347,34,43,107,5,102,88,79,94,128,125,35,147,125,166,54,15,9879,5654,8371,13158,10101,12024,4327,2957,66471,94,105,33,23,9,6,0,2,272,958,400,442,739,330,247,44,80,3240,35,80,70,135,128,222,5,143,818,0,0,0,0,0,0,0,0,0,52,42,146,61,32,107,0,22,462,298,102,91,178,134,175,2,9,989,9744,5550,8261,13078,10015,11870,4273,2953,65744,189,190,301,160,147,291,54,15,1347,21249,12123,17715,27532,20896,24942,8705,6181,139343
"4","55003","State Senate District 3 (2018), Wisconsin",41687,2756,2551,2252,2297,2353,2724,2367,2047,1860,3622,4574,5677,2947,1629,1270,761,5399,1060,920,319,498,456,583,257,134,209,262,265,278,74,64,6,14,804,105,96,134,107,55,28,0,45,47,25,66,71,12,6,0,7,1591,99,85,109,173,74,215,44,146,79,60,124,118,66,74,69,56,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10727,1329,704,720,796,572,875,740,754,442,1190,1154,771,480,101,78,21,1407,113,86,187,81,35,59,93,95,67,150,146,113,78,41,38,25,29499,1689,1677,1482,1401,1556,1803,1312,1402,1322,2713,3354,4290,2438,1349,1086,625,24186,2550,1686,1668,1786,1417,1865,1912,1507,1016,2191,2476,2211,1056,385,290,170,9856,5077,6274,8196,5677,4576,1270,761,41687,2797,1039,600,527,278,138,6,14,5399,442,83,92,91,71,18,0,7,804,466,289,269,184,118,140,69,56,1591,0,0,13,0,0,0,0,0,13,3549,1447,1936,2344,771,581,78,21,10727,467,94,255,296,113,119,38,25,1407,6249,3359,4036,6067,4290,3787,1086,625,29499,7690,3282,4435,4667,2211,1441,290,170,24186,31516,14670,17910,22372,13529,10800,2837,1679,115313
"5","55004","State Senate District 4 (2018), Wisconsin",21659,1078,1174,1123,956,1002,1205,889,1262,919,1908,2476,2589,1700,1315,939,1124,39386,4523,4620,3117,2818,2748,2463,2670,2161,2268,2802,3258,2659,1670,869,531,209,269,26,11,0,32,0,14,11,14,0,6,0,45,8,0,102,0,2262,110,83,37,111,33,132,124,105,92,335,396,221,149,80,170,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1393,59,159,197,108,124,89,26,32,105,89,158,130,66,37,0,14,1270,135,144,43,28,57,215,0,117,43,124,89,90,51,11,39,84,20510,995,1091,1111,836,959,1109,796,1163,900,1789,2363,2505,1643,1245,888,1117,2790,167,262,172,261,190,273,119,193,132,208,295,182,130,119,62,25,4331,2207,3070,4384,2589,3015,939,1124,21659,15078,5211,7099,6060,2659,2539,531,209,39386,69,14,25,6,45,8,102,0,269,341,165,321,731,221,229,170,84,2262,0,0,0,0,0,0,10,0,10,523,213,163,247,130,103,0,14,1393,350,272,160,213,90,62,39,84,1270,4033,2068,2859,4152,2505,2888,888,1117,20510,862,463,444,503,182,249,62,25,2790,25587,10613,14141,16296,8421,9093,2741,2657,89549
"6","55005","State Senate District 5 (2018), Wisconsin",65835,2494,1617,2372,2644,2271,2284,2706,2560,2633,4550,6474,9357,7480,4780,5458,6155,2694,304,100,174,48,227,152,203,208,152,219,309,182,174,137,73,32,227,15,14,0,5,0,33,1,0,0,66,47,8,6,15,5,12,3288,145,87,77,42,37,58,96,51,61,225,199,457,303,315,441,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,84,51,39,14,84,60,44,30,86,44,138,164,9,0,59,0,1133,23,61,71,11,36,116,51,40,63,58,178,155,63,79,58,70,64146,2372,1590,2357,2463,2232,2237,2573,2440,2545,4498,6352,9149,7221,4711,5366,6040,2713,232,107,54,203,121,107,177,150,174,91,275,372,279,76,168,127,9127,4555,7899,11024,9357,12260,5458,6155,65835,626,379,563,528,182,311,73,32,2694,34,33,1,113,8,21,5,12,227,351,95,208,424,457,618,441,694,3288,0,0,0,0,0,0,0,0,0,188,144,160,182,164,9,59,0,906,166,152,154,236,155,142,58,70,1133,8782,4469,7558,10850,9149,11932,5366,6040,64146,596,228,501,366,372,355,168,127,2713,19870,10055,17044,23723,19844,25648,11628,13130,140942
"7","55006","State Senate District 6 (2018), Wisconsin",18973,1595,911,1062,933,1037,1111,954,713,743,1465,2027,2561,1638,900,908,415,39936,6839,4340,3718,3489,2624,2259,2397,2297,1483,2145,2974,2820,1355,538,385,273,117,18,6,0,1,0,0,12,3,10,18,24,10,11,0,4,0,1927,324,169,208,83,64,106,72,119,55,139,117,243,84,81,51,12,32,8,0,0,0,0,0,0,3,0,0,0,6,15,0,0,0,1141,112,68,124,96,63,64,81,88,34,107,92,123,38,6,0,45,1434,247,90,19,146,112,93,115,92,40,67,108,81,101,49,55,19,17406,1446,812,891,733,893,1038,840,657,709,1406,1832,2465,1549,863,888,384,3054,287,171,319,319,230,185,225,171,68,153,349,235,161,72,25,84,4501,2148,2410,3492,2561,2538,908,415,18973,18386,4883,6177,5119,2820,1893,385,273,39936,25,0,25,42,10,11,4,0,117,784,170,246,256,243,165,51,12,1927,8,0,3,0,6,15,0,0,32,400,127,203,199,123,44,0,45,1141,502,205,247,175,81,150,55,19,1434,3882,1931,2206,3238,2465,2412,888,384,17406,1096,415,464,502,235,233,25,84,3054,29584,9879,11981,13023,8544,7461,2316,1232,84020
"8","55007","State Senate District 7 (2018), Wisconsin",70691,3869,2864,3251,3336,2724,2960,2880,3495,2869,6005,7659,10289,7147,4279,3927,3137,3316,371,571,345,331,200,64,302,104,184,101,192,257,132,52,36,74,425,9,21,0,40,49,48,26,31,8,58,47,58,0,11,11,8,2410,203,120,118,25,36,80,103,195,77,176,286,353,302,122,138,76,43,0,11,14,0,0,7,0,0,0,0,0,11,0,0,0,0,1577,168,51,68,48,123,61,130,29,53,174,162,294,101,31,50,34,1665,129,49,155,133,13,122,60,78,118,131,272,213,107,54,22,9,66791,3578,2674,3043,3229,2528,2667,2641,3321,2747,5592,7365,9562,6860,4134,3749,3101,5835,461,330,314,235,260,412,338,209,226,635,456,1092,397,183,236,51,13320,5684,9244,13664,10289,11426,3927,3137,70691,1618,264,590,293,257,184,36,74,3316,70,97,65,105,58,11,11,8,425,466,116,375,462,353,424,138,76,2410,25,7,0,0,11,0,0,0,43,335,184,212,336,294,132,50,34,1577,466,135,256,403,213,161,22,9,1665,12524,5195,8709,12957,9562,10994,3749,3101,66791,1340,672,773,1091,1092,580,236,51,5835,30164,12354,20224,29311,22129,23912,8169,6490,152753
"9","55008","State Senate District 8 (2018), Wisconsin",63567,1594,1270,1771,1736,2235,2055,1890,2165,1971,3812,5478,9181,7229,5214,7103,8863,4773,345,345,312,283,279,186,262,246,203,417,494,321,371,222,263,224,199,0,0,40,6,7,7,0,0,21,6,21,14,59,7,6,5,2005,32,0,31,34,45,21,20,50,36,82,196,250,326,220,241,421,40,0,0,0,12,0,0,0,0,11,0,0,17,0,0,0,0,215,13,10,0,0,0,0,0,0,12,54,22,39,11,43,0,11,842,57,3,33,29,10,5,16,2,44,71,75,181,86,89,36,105,62481,1570,1268,1771,1694,2181,2022,1874,2104,1877,3759,5364,9021,7128,5161,6961,8726,1423,48,12,33,42,54,33,16,94,129,107,136,199,124,70,154,172,6371,4290,6026,9290,9181,12443,7103,8863,63567,1285,465,711,911,321,593,263,224,4773,46,14,21,27,14,66,6,5,199,97,66,106,278,250,546,241,421,2005,12,0,11,0,17,0,0,0,40,23,0,12,76,39,54,0,11,215,122,15,62,146,181,175,36,105,842,6303,4203,5855,9123,9021,12289,6961,8726,62481,135,87,239,243,199,194,154,172,1423,14394,9140,13043,20094,19223,26360,14764,18527,135545
"10","55009","State Senate District 9 (2018), Wisconsin",68291,2166,3047,2933,3775,3262,3402,3313,3703,3149,5896,8302,10080,6782,3384,3026,2071,842,47,57,124,80,148,20,90,75,0,83,30,81,0,0,0,7,234,24,0,11,0,25,6,0,4,5,14,41,24,10,57,0,13,2102,21,196,72,4,137,115,145,31,76,87,249,529,286,33,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,20,19,9,0,65,38,33,0,7,34,87,31,31,0,5,619,7,55,3,20,10,86,45,37,0,62,65,76,113,4,22,14,66180,2146,2928,2889,3609,3079,3303,3126,3502,3038,5559,8125,9863,6610,3342,3003,2058,2704,36,139,110,175,199,164,225,234,111,399,239,321,238,73,23,18,11921,6664,10165,14198,10080,10166,3026,2071,68291,308,168,165,113,81,0,0,7,842,35,31,9,55,24,67,0,13,234,293,252,252,336,529,319,118,3,2102,0,0,0,0,0,0,0,0,0,48,65,71,41,87,62,0,5,379,85,96,82,127,76,117,22,14,619,11572,6382,9666,13684,9863,9952,3003,2058,66180,460,363,570,638,321,311,23,18,2704,24722,14021,20980,29192,21061,20994,6192,4189,141351
