"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"1","55001","State Senate District 1 (2018), Wisconsin",139566,4280,133381,1033,805,2165,51,2131,4394,184304
"2","55002","State Senate District 2 (2018), Wisconsin",137002,4078,125009,1805,6440,2018,30,1700,5209,183553
"3","55003","State Senate District 3 (2018), Wisconsin",101447,57435,56090,9401,2537,5583,71,27765,21131,170693
"4","55004","State Senate District 4 (2018), Wisconsin",111702,5804,32289,69524,412,6819,45,2613,5333,163208
"5","55005","State Senate District 5 (2018), Wisconsin",134774,7727,118921,5528,648,6974,44,2659,7070,179060
"6","55006","State Senate District 6 (2018), Wisconsin",114250,7463,33838,71047,605,5503,69,3188,5916,162069
"7","55007","State Senate District 7 (2018), Wisconsin",140139,14042,121722,6351,930,5760,44,5332,9998,177968
"8","55008","State Senate District 8 (2018), Wisconsin",136716,4021,119359,9465,383,6041,33,1435,5300,182248
"9","55009","State Senate District 9 (2018), Wisconsin",132267,7539,120774,1862,620,5582,32,3397,5458,175990
"10","55010","State Senate District 10 (2018), Wisconsin",138119,3099,133019,1076,816,1870,49,1289,4934,183755
"11","55011","State Senate District 11 (2018), Wisconsin",132317,10750,124312,1597,551,1249,32,4576,7459,177839
"12","55012","State Senate District 12 (2018), Wisconsin",139077,2175,132865,399,4363,484,28,938,3989,174947
"13","55013","State Senate District 13 (2018), Wisconsin",134854,6605,129201,1199,401,1178,36,2839,5373,181020
"14","55014","State Senate District 14 (2018), Wisconsin",134697,5104,128238,2321,803,800,48,2487,4244,173203
"15","55015","State Senate District 15 (2018), Wisconsin",130500,10117,117108,5567,726,1741,64,5294,6747,175730
"16","55016","State Senate District 16 (2018), Wisconsin",141838,11162,118377,10238,720,6881,72,5550,8380,192492
"17","55017","State Senate District 17 (2018), Wisconsin",131320,3718,126578,1373,709,815,16,1829,3827,173532
"18","55018","State Senate District 18 (2018), Wisconsin",135777,6107,123182,5609,1029,3289,25,2643,4937,175838
"19","55019","State Senate District 19 (2018), Wisconsin",136827,6829,124917,2502,889,5253,92,3174,5943,184473
"20","55020","State Senate District 20 (2018), Wisconsin",134464,3976,129912,1542,409,1142,31,1428,4254,176570
"21","55021","State Senate District 21 (2018), Wisconsin",133638,9211,122105,5738,617,1979,52,3147,7607,178202
"22","55022","State Senate District 22 (2018), Wisconsin",117467,23567,85286,19043,778,2079,66,10215,11930,171119
"23","55023","State Senate District 23 (2018), Wisconsin",132554,3465,127181,1338,646,1661,36,1692,3910,179543
"24","55024","State Senate District 24 (2018), Wisconsin",133519,4592,126550,1374,1103,2540,76,1876,4446,173811
"25","55025","State Senate District 25 (2018), Wisconsin",136834,2105,128338,1171,5559,764,103,899,5332,176268
"26","55026","State Senate District 26 (2018), Wisconsin",160508,11957,127354,8753,744,18542,90,5025,10592,201819
"27","55027","State Senate District 27 (2018), Wisconsin",144333,5466,135570,2543,751,3067,40,2362,5815,195505
"28","55028","State Senate District 28 (2018), Wisconsin",133906,9055,121175,3825,595,5369,25,2917,7081,177495
"29","55029","State Senate District 29 (2018), Wisconsin",133146,2775,123016,921,2501,5358,37,1313,4240,176184
"30","55030","State Senate District 30 (2018), Wisconsin",130321,13380,113026,4120,2681,3745,61,6688,8272,180949
"31","55031","State Senate District 31 (2018), Wisconsin",136301,4985,127658,1364,1531,3047,70,2631,4699,179398
"32","55032","State Senate District 32 (2018), Wisconsin",136339,2970,128852,1807,515,3901,32,1232,4231,179156
"33","55033","State Senate District 33 (2018), Wisconsin",130912,8510,121829,2173,474,3634,57,2745,6818,175777
