,GEOID,full_geoid,male_white_total,male_white_less_hs,male_white_hs_grad,male_white_some_college,male_white_bs,female_white_total,female_white_less_hs,female_white_hs_grad,female_white_some_college,female_white_bs,male_black_total,male_black_less_hs,male_black_hs_grad,male_black_some_college,male_black_bs,female_black_total,female_black_less_hs,female_black_hs_grad,female_black_some_college,female_black_bs,male_aian_total,male_aian_less_hs,male_aian_hs_grad,male_aian_some_college,male_aian_bs,female_aian_total,female_aian_less_hs,female_aian_hs_grad,female_aian_some_college,female_aian_bs,male_asian_total,male_asian_less_hs,male_asian_hs_grad,male_asian_some_college,male_asian_bs,female_asian_total,female_asian_less_hs,female_asian_hs_grad,female_asian_some_college,female_asian_bs,male_nhpi_total,male_nhpi_less_hs,male_nhpi_hs_grad,male_nhpi_some_college,male_nhpi_bs,female_nhpi_total,female_nhpi_less_hs,female_nhpi_hs_grad,female_nhpi_some_college,female_nhpi_bs,male_other_total,male_other_less_hs,male_other_hs_grad,male_other_some_college,male_other_bs,female_other_total,female_other_less_hs,female_other_hs_grad,female_other_some_college,female_other_bs,male_mixed_total,male_mixed_less_hs,male_mixed_hs_grad,male_mixed_some_college,male_mixed_bs,female_mixed_total,female_mixed_less_hs,female_mixed_hs_grad,female_mixed_some_college,female_mixed_bs,male_w_nothisp_total,male_w_nothisp_less_hs,male_w_nothisp_hs_grad,male_w_nothisp_some_college,male_w_nothisp_bs,female_w_nothisp_total,female_w_nothisp_less_hs,female_w_nothisp_hs_grad,female_w_nothisp_some_college,female_w_nothisp_bs,male_hisp_total,male_hisp_less_hs,male_hisp_hs_grad,male_hisp_some_college,male_hisp_bs,female_hisp_total,female_hisp_less_hs,female_hisp_hs_grad,female_hisp_some_college,female_hisp_bs,BLACK_TOTAL,BLACK_FEMALE,BLACK_MALE,BLACK_LESS_HS_TOTAL,BLACK_HS_TOTAL,BLACK_SOME_COLLEGE_TOTAL,BLACK_COLLEGE_TOTAL,HISP_TOTAL,HISP_FEMALE,HISP_MALE,HISP_LESS_HS_TOTAL,HISP_HS_TOTAL,HISP_SOME_COLLEGE_TOTAL,HISP_COLLEGE_TOTAL,UNDERREP_TOTAL,UNDERREP_FEMALE,UNDERREP_MALE,UNDERREP_LESS_HS_TOTAL,UNDERREP_HS_TOTAL,UNDERREP_SOME_COLLEGE_TOTAL,UNDERREP_COLLEGE_TOTAL
1,55089610101,"Census Tract 6101.01, Ozaukee County, Wisconsin",1349,73,619,410,247,1319,35,573,334,377,31,0,7,2,22,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,24,5,0,40,21,19,0,0,22,0,12,10,0,62,62,0,0,0,1349,73,619,410,247,1314,34,569,334,377,29,0,24,5,0,107,84,23,0,0,41,10,31,0,7,2,32,136,107,29,84,47,5,0,177,117,60,84,54,7,32
2,55089610102,"Census Tract 6101.02, Ozaukee County, Wisconsin",1326,64,471,395,396,1385,55,428,515,387,12,0,8,0,4,8,0,0,8,0,0,0,0,0,0,10,0,5,0,5,41,9,7,7,18,42,13,0,8,21,0,0,0,0,0,0,0,0,0,0,33,14,7,12,0,25,16,0,9,0,32,0,3,23,6,27,0,7,0,20,1313,64,471,390,388,1365,48,428,509,380,48,14,7,19,8,58,23,0,15,20,20,8,12,0,8,8,4,106,58,48,37,7,34,28,126,66,60,37,15,42,32
3,55089620100,"Census Tract 6201, Ozaukee County, Wisconsin",1742,142,681,500,419,2163,54,697,782,630,57,34,0,0,23,18,0,0,18,0,3,0,0,3,0,6,0,0,6,0,33,0,4,22,7,31,0,15,12,4,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,42,0,5,37,0,0,0,0,0,0,1714,116,679,500,419,2157,50,697,780,630,28,26,2,0,0,6,4,0,2,0,75,18,57,34,0,18,23,34,6,28,30,2,2,0,109,24,85,64,2,20,23
4,55089630100,"Census Tract 6301, Ozaukee County, Wisconsin",1111,48,479,357,227,814,22,286,308,198,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,22,0,0,22,0,18,0,0,10,8,8,0,8,0,0,1111,48,479,357,227,792,0,286,308,198,5,0,0,5,0,44,22,0,22,0,0,0,0,0,0,0,0,49,44,5,22,0,27,0,49,44,5,22,0,27,0
5,55089630201,"Census Tract 6302.01, Ozaukee County, Wisconsin",1607,66,461,458,622,1731,85,528,530,588,0,0,0,0,0,20,0,11,9,0,2,0,0,2,0,10,0,0,8,2,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,22,0,0,5,17,1524,66,433,414,611,1725,85,528,530,582,83,0,28,44,11,15,0,9,0,6,20,20,0,0,11,9,0,98,15,83,0,37,44,17,118,35,83,0,48,53,17
6,55089630202,"Census Tract 6302.02, Ozaukee County, Wisconsin",1647,69,525,466,587,1727,76,511,489,651,86,10,7,69,0,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,50,0,0,30,20,43,0,9,18,16,10,0,10,0,0,32,1,31,0,0,1637,69,525,456,587,1706,76,511,489,630,30,0,0,10,20,65,1,9,18,37,95,9,86,15,7,73,0,95,65,30,1,9,28,57,190,74,116,16,16,101,57
7,55089640101,"Census Tract 6401.01, Ozaukee County, Wisconsin",891,0,169,270,452,1205,49,330,634,192,19,0,0,19,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,35,17,93,0,0,22,71,891,0,169,270,452,1205,49,330,634,192,17,0,0,0,17,48,0,0,0,48,48,29,19,0,0,48,0,65,48,17,0,0,0,65,113,77,36,0,0,48,65
8,55089640102,"Census Tract 6401.02, Ozaukee County, Wisconsin",920,25,255,357,283,973,25,217,325,406,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,0,39,16,0,0,23,863,25,231,338,269,973,25,217,325,406,86,0,53,19,14,16,16,0,0,0,8,0,8,0,0,8,0,102,16,86,16,53,19,14,110,16,94,16,53,27,14
9,55089640201,"Census Tract 6402.01, Ozaukee County, Wisconsin",998,0,328,172,498,817,0,81,274,462,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,328,172,486,808,0,81,274,453,12,0,0,0,12,9,0,0,0,9,0,0,0,0,0,0,0,21,9,12,0,0,0,21,21,9,12,0,0,0,21
10,55089640202,"Census Tract 6402.02, Ozaukee County, Wisconsin",2300,50,230,808,1212,2146,35,287,558,1266,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,51,0,0,0,51,84,0,0,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,29,0,0,0,29,2242,50,230,788,1174,2116,35,287,528,1266,58,0,0,20,38,30,0,0,30,0,0,0,0,0,0,0,0,88,30,58,0,0,50,38,88,30,58,0,0,50,38
