"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"1","55001950100","Census Tract 9501, Adams County, Wisconsin",1368,80,335,488,465,1260,61,370,393,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,30,30,0,0,0,10,0,2,8,0,94,0,8,86,0,1368,80,335,488,465,1260,61,370,393,436,8,0,0,8,0,0,0,0,0,0,2628,1260,1368,141,705,881,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,57,30,27,30,0,0,27,104,94,10,0,10,94,0,2628,1260,1368,141,705,881,901,8,0,8,0,0,8,0,5427,2646,2781,312,1420,1864,1831
"2","55001950201","Census Tract 9502.01, Adams County, Wisconsin",498,49,227,137,85,457,23,193,177,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,0,0,10,3,0,6,1,498,49,227,137,85,457,23,193,177,64,2,0,2,0,0,5,1,0,4,0,955,457,498,72,420,314,149,0,0,0,0,0,0,0,11,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,13,12,4,6,1,955,457,498,72,420,314,149,7,5,2,1,2,4,0,1951,940,1011,157,846,649,299
"3","55001950203","Census Tract 9502.03, Adams County, Wisconsin",445,94,132,188,31,283,35,89,111,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,8,0,0,8,0,9,0,9,0,0,0,0,0,0,0,440,92,129,188,31,283,35,89,111,48,5,2,3,0,0,6,6,0,0,0,728,283,445,129,221,299,79,0,0,0,0,0,0,0,6,6,0,6,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,16,8,8,0,8,8,0,9,0,9,0,9,0,0,723,283,440,127,218,299,79,11,6,5,8,3,0,0,1496,589,907,270,459,606,161
"4","55001950204","Census Tract 9502.04, Adams County, Wisconsin",803,131,448,160,64,595,52,268,133,142,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,3,0,0,3,0,6,0,6,0,0,6,0,6,0,0,766,103,439,160,64,595,52,268,133,142,45,28,17,0,0,3,0,0,3,0,1398,595,803,183,716,293,206,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,0,8,3,0,12,6,6,0,12,0,0,1361,595,766,155,707,293,206,48,3,45,28,17,3,0,2832,1202,1630,367,1460,593,412
"5","55001950400","Census Tract 9504, Adams County, Wisconsin",1518,251,612,479,176,1692,157,751,563,221,36,0,17,19,0,12,0,12,0,0,1,1,0,0,0,5,0,5,0,0,17,0,17,0,0,35,4,12,18,1,0,0,0,0,0,0,0,0,0,0,43,39,0,4,0,17,0,4,13,0,23,2,11,8,2,72,21,12,38,1,1491,239,603,473,176,1650,144,733,552,221,66,51,9,6,0,69,18,30,21,0,3210,1692,1518,408,1363,1042,397,48,12,36,0,29,19,0,6,5,1,1,5,0,0,52,35,17,4,29,18,1,0,0,0,0,0,0,0,60,17,43,39,4,17,0,95,72,23,23,23,46,3,3141,1650,1491,383,1336,1025,397,135,69,66,69,39,27,0,6747,3552,3195,927,2828,2194,798
"6","55001950501","Census Tract 9505.01, Adams County, Wisconsin",685,158,309,168,50,564,55,305,135,69,0,0,0,0,0,0,0,0,0,0,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,18,7,0,4,7,643,158,267,168,50,564,55,305,135,69,47,0,47,0,0,14,7,0,0,7,1249,564,685,213,614,303,119,0,0,0,0,0,0,0,15,0,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,10,7,10,4,7,1207,564,643,213,572,303,119,61,14,47,7,47,0,7,2560,1160,1400,440,1253,615,252
"7","55001950502","Census Tract 9505.02, Adams County, Wisconsin",1497,251,804,356,86,973,142,454,288,89,347,76,173,98,0,14,0,0,4,10,103,30,24,49,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,10,11,19,0,7,0,0,0,7,25,0,19,6,0,9,0,5,4,0,1331,210,721,314,86,972,142,453,288,89,216,70,94,52,0,8,0,1,0,7,2470,973,1497,393,1258,644,175,361,14,347,76,173,102,10,104,1,103,30,24,49,1,6,6,0,0,0,0,6,0,0,0,0,0,0,0,47,7,40,10,11,19,7,34,9,25,0,24,10,0,2303,972,1331,352,1174,602,175,224,8,216,70,95,52,7,5549,1990,3559,931,2759,1478,381
"8","55001950700","Census Tract 9507, Adams County, Wisconsin",1288,99,534,464,191,1267,108,494,485,180,13,0,4,9,0,22,4,9,3,6,9,3,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,10,1,0,1,0,0,0,1,33,0,0,33,0,44,2,42,0,0,1247,99,504,453,191,1267,108,494,485,180,42,0,30,12,0,35,2,32,0,1,2555,1267,1288,207,1028,949,371,35,22,13,4,13,12,6,9,0,9,3,0,6,0,3,0,3,3,0,0,0,3,0,3,0,0,0,3,12,1,11,0,10,1,1,77,44,33,2,42,33,0,2514,1267,1247,207,998,938,371,77,35,42,2,62,12,1,5285,2636,2649,428,2153,1951,753
"9","55003940000","Census Tract 9400, Ashland County, Wisconsin",285,33,75,144,33,267,10,77,92,88,2,0,2,0,0,3,0,0,3,0,404,62,151,172,19,393,30,112,213,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,12,0,0,12,0,35,16,1,12,6,285,33,75,144,33,264,10,77,89,88,21,2,0,14,5,24,0,3,12,9,552,267,285,43,152,236,121,5,3,2,0,2,3,0,797,393,404,92,263,385,57,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,47,35,12,16,1,24,6,549,264,285,43,152,233,121,45,24,21,2,3,26,14,1998,986,1012,198,573,907,320
"10","55003950300","Census Tract 9503, Ashland County, Wisconsin",801,25,249,287,240,740,43,223,326,148,0,0,0,0,0,1,0,0,1,0,21,0,0,21,0,85,0,45,40,0,3,0,0,3,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,49,0,0,32,17,775,25,249,270,231,697,43,223,283,148,26,0,0,17,9,59,0,0,43,16,1541,740,801,68,472,613,388,1,1,0,0,0,1,0,106,85,21,0,45,61,0,9,6,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,49,14,0,0,32,31,1472,697,775,68,472,553,379,85,59,26,0,0,60,25,3277,1637,1640,139,989,1323,826
