"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"1","55089610101","Census Tract 6101.01, Ozaukee County, Wisconsin",3317,108,3203,37,8,11,0,58,89,4357
"2","55089610102","Census Tract 6101.02, Ozaukee County, Wisconsin",2960,144,2817,19,13,41,0,70,96,3871
"3","55089620100","Census Tract 6201, Ozaukee County, Wisconsin",4448,157,4299,30,15,53,0,51,153,5796
"4","55089630100","Census Tract 6301, Ozaukee County, Wisconsin",2078,62,2012,18,6,20,0,22,72,2664
"5","55089630201","Census Tract 6302.01, Ozaukee County, Wisconsin",3562,97,3489,21,11,16,2,23,110,4565
"6","55089630202","Census Tract 6302.02, Ozaukee County, Wisconsin",4513,140,4239,136,21,67,0,50,153,6055
"7","55089640101","Census Tract 6401.01, Ozaukee County, Wisconsin",2569,48,2472,24,9,50,0,14,69,3141
"8","55089640102","Census Tract 6401.02, Ozaukee County, Wisconsin",2195,68,2128,21,9,19,0,18,96,2909
"9","55089640201","Census Tract 6402.01, Ozaukee County, Wisconsin",1748,46,1678,18,1,38,0,13,58,2460
"10","55089640202","Census Tract 6402.02, Ozaukee County, Wisconsin",4771,86,4534,18,13,183,0,23,125,6357
"11","55089650102","Census Tract 6501.02, Ozaukee County, Wisconsin",2051,36,1999,9,2,31,0,10,72,2721
"12","55089650103","Census Tract 6501.03, Ozaukee County, Wisconsin",1767,48,1698,27,3,23,0,16,61,2269
"13","55089650104","Census Tract 6501.04, Ozaukee County, Wisconsin",3196,61,3113,19,9,44,1,10,101,4369
"14","55089650200","Census Tract 6502, Ozaukee County, Wisconsin",3900,91,3734,50,5,77,2,32,141,5128
"15","55089650300","Census Tract 6503, Ozaukee County, Wisconsin",4586,64,4476,35,9,43,0,23,138,6305
"16","55089660100","Census Tract 6601, Ozaukee County, Wisconsin",2587,82,2420,39,6,85,0,37,83,3290
"17","55089660201","Census Tract 6602.01, Ozaukee County, Wisconsin",3183,77,2812,110,11,227,0,23,135,4511
"18","55089660202","Census Tract 6602.02, Ozaukee County, Wisconsin",5352,172,4677,239,15,249,0,172,186,6658
"19","55089660301","Census Tract 6603.01, Ozaukee County, Wisconsin",4433,115,4144,93,4,173,0,19,160,5787
"20","55089660303","Census Tract 6603.03, Ozaukee County, Wisconsin",3993,112,3707,105,9,142,0,30,150,5133
"21","55089660304","Census Tract 6603.04, Ozaukee County, Wisconsin",2310,53,2149,44,2,103,0,12,76,3157
"22","55089990000","Census Tract 9900, Ozaukee County, Wisconsin",0,0,0,0,0,0,0,0,0,0
"23","55091950100","Census Tract 9501, Pepin County, Wisconsin",2888,65,2817,12,16,12,0,31,84,3973
"24","55091950200","Census Tract 9502, Pepin County, Wisconsin",2636,31,2591,9,10,7,0,19,97,3345
"25","55093960100","Census Tract 9601, Pierce County, Wisconsin",2167,41,2120,11,0,9,0,27,57,2837
"26","55093960200","Census Tract 9602, Pierce County, Wisconsin",4582,109,4459,28,11,23,0,61,164,6174
"27","55093960300","Census Tract 9603, Pierce County, Wisconsin",4854,214,4477,143,97,66,8,63,238,5707
"28","55093960400","Census Tract 9604, Pierce County, Wisconsin",4483,113,4289,71,9,73,0,41,163,5964
"29","55093960500","Census Tract 9605, Pierce County, Wisconsin",5861,147,5709,21,30,32,2,67,222,7977
"30","55093960600","Census Tract 9606, Pierce County, Wisconsin",3830,58,3769,12,14,21,0,14,125,4988
"31","55093960700","Census Tract 9607, Pierce County, Wisconsin",3586,77,3519,21,14,7,0,25,120,4873
"32","55129950100","Census Tract 9501, Washburn County, Wisconsin",1739,22,1679,10,21,14,1,14,82,2116
