"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","UNDERREP_FEMALE","UNDERREP_MALE","UNDERREP_TOTAL","UNDERREP_18_to_24","UNDERREP_25_to_34","UNDERREP_35_to_44","UNDERREP_45_to_54","UNDERREP_55_to_64","UNDERREP_65_over"
"1","54874","ZCTA5 54874",14,66,111,82,290,222,364,225,96,21,17,70,81,86,215,264,347,144,94,49,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,11,0,0,0,0,11,0,0,6,0,7,0,0,0,14,66,111,82,290,222,364,222,96,21,17,70,81,84,209,264,347,141,94,49,0,0,0,0,7,0,0,3,0,0,0,0,0,2,6,0,3,3,0,0,0,8,8,0,0,8,0,0,0,11,10,21,0,2,13,0,3,6,11,18,29,0,2,21,0,3,6
"2","54902","ZCTA5 54902",224,813,807,750,1001,1628,1302,935,479,274,150,788,639,644,1220,1495,1399,1020,847,496,0,44,33,24,42,5,21,5,0,0,0,31,21,7,0,0,15,3,0,0,0,44,33,24,42,5,21,5,0,0,0,31,21,7,0,0,15,3,0,0,0,61,79,26,17,0,11,13,0,0,0,55,8,6,38,21,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15,10,12,0,0,0,0,0,0,10,0,0,0,16,0,0,0,14,23,0,11,0,0,0,4,0,8,20,0,12,8,0,10,0,2,0,218,787,789,738,987,1585,1302,935,479,274,150,754,549,633,1193,1365,1331,1020,847,496,6,26,18,12,29,53,12,0,0,0,0,34,90,21,27,130,68,16,0,0,62,153,215,75,85,42,5,36,8,318,144,462,66,141,56,183,80,16,380,297,677,141,226,98,188,116,24
"3","53224","ZCTA5 53224",6,74,220,279,367,564,566,374,150,33,32,242,219,265,389,349,482,400,177,65,108,273,341,513,535,595,442,398,91,36,90,678,400,556,1002,744,672,280,149,24,108,273,341,513,535,595,442,398,91,36,90,678,400,556,1002,744,672,280,149,24,9,38,77,124,77,50,17,23,9,0,19,36,88,78,7,60,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,13,110,18,96,0,0,0,0,54,43,44,9,144,41,23,0,0,6,12,74,76,22,0,4,14,0,0,0,22,33,0,52,10,0,0,0,0,6,51,211,215,334,528,566,374,150,33,32,177,205,230,327,344,482,392,177,65,0,71,104,77,143,54,116,0,0,0,0,119,90,87,71,140,41,31,0,24,3923,2890,6813,1149,1810,1537,1339,1114,978,562,449,1011,190,358,214,194,157,55,4485,3339,7824,1339,2168,1751,1533,1271,1033
"4","53404","ZCTA5 53404",48,350,307,464,323,447,581,195,237,46,86,290,293,319,345,624,524,361,283,86,249,430,134,168,207,168,144,114,74,0,0,151,174,122,175,342,310,46,35,0,249,430,134,168,207,168,144,114,74,0,0,151,174,122,175,342,310,46,35,0,0,0,0,0,15,0,0,0,0,0,0,58,0,29,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,69,14,58,50,76,0,0,15,31,61,0,63,144,90,70,10,0,0,29,55,0,10,0,14,0,6,0,0,39,0,64,0,57,56,0,0,0,0,30,216,224,332,202,306,522,146,221,46,49,178,121,168,139,516,451,332,239,57,66,241,184,164,179,191,135,55,16,15,68,173,172,214,356,195,143,39,44,29,1045,1544,2589,830,598,382,510,454,269,1290,1111,2401,548,734,535,386,278,198,2335,2655,4990,1378,1332,917,896,732,467
"5","53529","ZCTA5 53529",19,58,57,133,112,142,197,80,64,15,9,32,80,57,99,139,162,81,53,21,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,5,0,0,0,0,0,19,40,57,74,96,142,197,80,63,15,9,32,77,57,99,139,160,81,53,21,0,18,0,59,16,3,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,12,12,0,0,7,5,0,0,3,97,100,18,62,16,3,2,1,3,109,112,18,62,23,8,2,1
"6","53549","ZCTA5 53549",58,271,294,282,663,700,736,475,301,52,77,313,293,294,436,808,777,546,210,173,0,10,15,16,30,0,0,0,0,0,0,6,0,5,0,0,6,0,0,0,0,10,15,16,30,0,0,0,0,0,0,6,0,5,0,0,6,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,59,55,42,6,0,6,0,28,0,0,21,0,18,39,19,0,0,0,6,11,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,58,266,275,282,629,679,714,447,284,52,68,313,281,289,406,777,749,523,210,173,0,5,36,59,89,63,28,28,23,0,37,0,24,26,30,49,75,42,0,0,11,71,82,16,36,30,0,6,0,208,303,511,42,145,119,112,103,93,219,374,593,58,181,149,112,109,93
"7","53550","ZCTA5 53550",17,13,30,35,64,82,126,43,29,2,18,17,24,56,69,88,107,51,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,30,35,64,82,120,43,29,2,18,17,24,56,63,88,107,51,18,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,6,0,6,0,6,0,0,6,0,6,0
"8","53108","ZCTA5 53108",0,93,73,52,166,259,332,178,142,17,8,67,29,17,198,222,345,222,124,63,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,73,52,166,259,323,178,131,17,8,67,29,17,198,222,345,222,124,63,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,17,0,0,0,0,11,11,0,0,0,0,9,11,0,28,28,0,0,17,0,9,11
"9","53110","ZCTA5 53110",163,329,607,767,945,826,1388,902,378,294,107,412,470,600,1145,921,1431,1048,653,481,0,0,57,26,51,42,44,0,0,0,0,0,23,45,24,15,3,6,0,0,0,0,57,26,51,42,44,0,0,0,0,0,23,45,24,15,3,6,0,0,0,16,0,26,12,17,0,0,0,0,0,0,9,0,0,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,29,13,14,20,59,0,0,0,0,32,7,11,9,7,0,0,0,0,13,0,0,29,30,14,10,5,0,0,0,53,26,12,38,23,25,0,0,0,128,306,473,767,782,797,1330,893,369,294,73,412,426,410,1041,885,1424,1048,646,481,58,43,173,0,177,88,151,9,9,0,34,32,51,201,113,66,7,0,7,0,113,176,289,0,151,75,57,47,6,504,557,1061,167,425,290,154,158,25,617,733,1350,167,576,365,211,205,31
"10","53114","ZCTA5 53114",58,64,80,92,192,233,236,121,43,2,14,49,58,86,165,203,199,96,51,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,10,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,3,6,0,0,0,1,8,0,0,0,0,0,9,5,3,0,8,0,46,64,57,82,158,182,194,116,43,2,14,41,54,77,132,200,194,89,51,15,12,0,34,24,34,61,42,5,8,0,0,8,33,9,37,12,8,7,8,0,0,3,3,0,3,0,0,0,0,114,178,292,20,100,71,73,50,28,114,181,295,20,103,71,73,50,28
