"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","UNDERREP_TOTAL","UNDERREP_FEMALE_TOTAL","UNDERREP_MALE","UNDERREP_LESS_HS_TOTAL","UNDERREP_HS_TOTAL","UNDERREP_SOME_COLLEGE_TOTAL","UNDERREP_COLLEGE_TOTAL"
"1","54874","ZCTA5 54874",1411,101,517,536,257,1280,75,353,513,339,8,0,0,8,0,0,0,0,0,0,29,11,5,7,6,34,0,0,32,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,3,0,3,0,0,13,0,11,2,0,13,0,7,0,6,1408,101,517,536,254,1269,75,353,504,337,10,0,0,7,3,14,0,3,9,2,8,0,8,0,0,8,0,24,14,10,0,3,16,5,32,14,18,0,3,24,5
"2","54902","ZCTA5 54902",7176,441,2872,2419,1444,7760,447,2980,2413,1920,130,30,17,49,34,46,3,27,3,13,0,0,0,0,0,7,0,0,7,0,146,30,46,34,36,109,50,43,10,6,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,26,0,0,26,0,38,4,11,10,13,32,2,14,16,0,7089,389,2837,2419,1444,7434,447,2892,2252,1843,124,89,35,0,0,352,0,88,187,77,176,46,130,33,44,52,47,476,352,124,89,123,187,77,652,398,254,122,167,239,124
"3","53224","ZCTA5 53224",2553,314,714,718,807,2346,251,586,684,825,2951,473,1028,1000,450,3827,337,1176,1460,854,3,0,3,0,0,0,0,0,0,0,377,0,100,142,135,289,21,65,149,54,0,0,0,0,0,0,0,0,0,0,287,48,173,48,18,304,58,71,108,67,190,14,6,105,65,95,0,0,75,20,2411,230,679,718,784,2222,154,581,670,817,494,132,210,68,84,484,155,76,155,98,6778,3827,2951,810,2204,2460,1304,978,484,494,287,286,223,182,7756,4311,3445,1097,2490,2683,1486
"4","53404","ZCTA5 53404",2600,455,872,860,413,2835,548,1041,846,400,1009,390,378,221,20,1204,243,441,443,77,53,0,18,35,0,35,0,0,35,0,15,0,0,0,15,39,10,0,0,29,0,0,0,0,0,0,0,0,0,0,282,81,98,75,28,377,228,113,36,0,30,16,14,0,0,177,25,90,62,0,1999,226,630,730,413,2023,138,833,661,391,939,316,358,237,28,1192,635,321,227,9,2213,1204,1009,633,819,664,97,2131,1192,939,951,679,464,37,4344,2396,1948,1584,1498,1128,134
"5","53529","ZCTA5 53529",800,53,383,218,146,692,32,224,226,210,12,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,9,18,5,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,7,5,0,0,5,0,724,53,320,209,142,687,32,219,226,210,79,0,66,9,4,5,0,5,0,0,12,0,12,0,5,7,0,84,5,79,0,71,9,4,96,5,91,0,76,16,4
"6","53549","ZCTA5 53549",3503,252,1534,1060,657,3537,271,1176,1362,728,61,0,20,21,20,11,0,6,5,0,12,8,4,0,0,8,0,0,0,8,28,14,0,6,8,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0,174,6,73,95,0,97,60,19,18,0,13,11,0,0,2,17,0,0,17,0,3362,201,1483,1021,657,3408,222,1152,1318,716,326,68,124,134,0,246,109,43,74,20,72,11,61,0,26,26,20,572,246,326,177,167,208,20,644,257,387,177,193,234,40
"7","53550","ZCTA5 53550",411,51,192,120,48,424,19,193,156,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,405,51,186,120,48,418,19,193,150,56,6,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,12,6,6,0,6,6,0,12,6,6,0,6,6,0
"8","53108","ZCTA5 53108",1219,224,418,356,221,1220,52,538,302,328,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,118,0,47,47,24,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,213,409,356,221,1220,52,538,302,328,20,11,9,0,0,0,0,0,0,0,17,0,17,0,0,0,17,20,0,20,11,9,0,0,37,0,37,11,9,0,17
"9","53110","ZCTA5 53110",6107,380,2158,2258,1311,6749,460,2883,1917,1489,220,43,33,100,44,116,0,1,48,67,57,10,12,35,0,43,0,34,9,0,55,0,0,55,0,62,0,4,13,45,0,0,0,0,0,0,0,0,0,0,135,66,27,42,0,34,16,18,0,0,88,1,30,41,16,124,0,38,49,37,5705,317,2047,2065,1276,6361,445,2687,1838,1391,607,129,148,295,35,445,31,214,102,98,336,116,220,43,34,148,111,1052,445,607,160,362,397,133,1388,561,827,203,396,545,244
"10","53114","ZCTA5 53114",999,146,441,310,102,873,79,292,320,182,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,15,4,0,33,0,21,12,0,18,11,6,0,1,25,17,3,0,5,834,82,367,300,85,812,45,275,313,179,208,82,95,14,17,114,51,41,19,3,3,0,3,0,0,0,3,322,114,208,133,136,33,20,325,114,211,133,136,33,23
