"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"1","54874","ZCTA5 54874",1411,101,517,536,257,1280,75,353,513,339,8,0,0,8,0,0,0,0,0,0,29,11,5,7,6,34,0,0,32,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,3,0,3,0,0,13,0,11,2,0,13,0,7,0,6,1408,101,517,536,254,1269,75,353,504,337,10,0,0,7,3,14,0,3,9,2,2691,1280,1411,176,870,1049,596,8,0,8,0,0,8,0,63,34,29,11,5,39,8,3,0,3,0,0,0,3,0,0,0,0,0,0,0,10,3,7,0,3,7,0,26,13,13,0,18,2,6,2677,1269,1408,176,870,1040,591,24,14,10,0,3,16,5,5502,2613,2889,363,1769,2161,1209
"2","54902","ZCTA5 54902",7176,441,2872,2419,1444,7760,447,2980,2413,1920,130,30,17,49,34,46,3,27,3,13,0,0,0,0,0,7,0,0,7,0,146,30,46,34,36,109,50,43,10,6,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,26,0,0,26,0,38,4,11,10,13,32,2,14,16,0,7089,389,2837,2419,1444,7434,447,2892,2252,1843,124,89,35,0,0,352,0,88,187,77,14936,7760,7176,888,5852,4832,3364,176,46,130,33,44,52,47,7,7,0,0,0,7,0,255,109,146,80,89,44,42,0,0,0,0,0,0,0,63,26,37,37,0,26,0,70,32,38,6,25,26,13,14523,7434,7089,836,5729,4671,3287,476,352,124,89,123,187,77,30506,15766,14740,1969,11862,9845,6830
"3","53224","ZCTA5 53224",2553,314,714,718,807,2346,251,586,684,825,2951,473,1028,1000,450,3827,337,1176,1460,854,3,0,3,0,0,0,0,0,0,0,377,0,100,142,135,289,21,65,149,54,0,0,0,0,0,0,0,0,0,0,287,48,173,48,18,304,58,71,108,67,190,14,6,105,65,95,0,0,75,20,2411,230,679,718,784,2222,154,581,670,817,494,132,210,68,84,484,155,76,155,98,4899,2346,2553,565,1300,1402,1632,6778,3827,2951,810,2204,2460,1304,3,0,3,0,3,0,0,666,289,377,21,165,291,189,0,0,0,0,0,0,0,591,304,287,106,244,156,85,285,95,190,14,6,180,85,4633,2222,2411,384,1260,1388,1601,978,484,494,287,286,223,182,18833,9567,9266,2187,5468,6100,5078
"4","53404","ZCTA5 53404",2600,455,872,860,413,2835,548,1041,846,400,1009,390,378,221,20,1204,243,441,443,77,53,0,18,35,0,35,0,0,35,0,15,0,0,0,15,39,10,0,0,29,0,0,0,0,0,0,0,0,0,0,282,81,98,75,28,377,228,113,36,0,30,16,14,0,0,177,25,90,62,0,1999,226,630,730,413,2023,138,833,661,391,939,316,358,237,28,1192,635,321,227,9,5435,2835,2600,1003,1913,1706,813,2213,1204,1009,633,819,664,97,88,35,53,0,18,70,0,54,39,15,10,0,0,44,0,0,0,0,0,0,0,659,377,282,309,211,111,28,207,177,30,41,104,62,0,4022,2023,1999,364,1463,1391,804,2131,1192,939,951,679,464,37,14809,7882,6927,3311,5207,4468,1823
"5","53529","ZCTA5 53529",800,53,383,218,146,692,32,224,226,210,12,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,9,18,5,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,7,5,0,0,5,0,724,53,320,209,142,687,32,219,226,210,79,0,66,9,4,5,0,5,0,0,1492,692,800,85,607,444,356,12,0,12,0,5,7,0,0,0,0,0,0,0,0,33,18,15,5,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,0,0,7,7,1411,687,724,85,539,435,352,84,5,79,0,71,9,4,3046,1407,1639,175,1222,910,739
"6","53549","ZCTA5 53549",3503,252,1534,1060,657,3537,271,1176,1362,728,61,0,20,21,20,11,0,6,5,0,12,8,4,0,0,8,0,0,0,8,28,14,0,6,8,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0,174,6,73,95,0,97,60,19,18,0,13,11,0,0,2,17,0,0,17,0,3362,201,1483,1021,657,3408,222,1152,1318,716,326,68,124,134,0,246,109,43,74,20,7040,3537,3503,523,2710,2422,1385,72,11,61,0,26,26,20,20,8,12,8,4,0,8,45,17,28,25,6,6,8,0,0,0,0,0,0,0,271,97,174,66,92,113,0,30,17,13,11,0,17,2,6770,3408,3362,423,2635,2339,1373,572,246,326,177,167,208,20,14820,7341,7479,1233,5640,5131,2816
"7","53550","ZCTA5 53550",411,51,192,120,48,424,19,193,156,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,405,51,186,120,48,418,19,193,150,56,6,0,6,0,0,6,0,0,6,0,835,424,411,70,385,276,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,823,418,405,70,379,270,104,12,6,6,0,6,6,0,1674,848,826,140,774,552,208
"8","53108","ZCTA5 53108",1219,224,418,356,221,1220,52,538,302,328,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,118,0,47,47,24,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,213,409,356,221,1220,52,538,302,328,20,11,9,0,0,0,0,0,0,0,2439,1220,1219,276,956,658,549,17,0,17,0,0,0,17,118,118,0,0,47,47,24,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419,1220,1199,265,947,658,549,20,0,20,11,9,0,0,5026,2571,2455,565,1959,1363,1139
"9","53110","ZCTA5 53110",6107,380,2158,2258,1311,6749,460,2883,1917,1489,220,43,33,100,44,116,0,1,48,67,57,10,12,35,0,43,0,34,9,0,55,0,0,55,0,62,0,4,13,45,0,0,0,0,0,0,0,0,0,0,135,66,27,42,0,34,16,18,0,0,88,1,30,41,16,124,0,38,49,37,5705,317,2047,2065,1276,6361,445,2687,1838,1391,607,129,148,295,35,445,31,214,102,98,12856,6749,6107,840,5041,4175,2800,336,116,220,43,34,148,111,100,43,57,10,46,44,0,117,62,55,0,4,68,45,0,0,0,0,0,0,0,169,34,135,82,45,42,0,212,124,88,1,68,90,53,12066,6361,5705,762,4734,3903,2667,1052,445,607,160,362,397,133,26908,13934,12974,1898,10334,8867,5809
"10","53114","ZCTA5 53114",999,146,441,310,102,873,79,292,320,182,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,15,4,0,33,0,21,12,0,18,11,6,0,1,25,17,3,0,5,834,82,367,300,85,812,45,275,313,179,208,82,95,14,17,114,51,41,19,3,1872,873,999,225,733,630,284,3,0,3,0,0,0,3,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,33,29,10,36,16,0,43,25,18,28,9,0,6,1646,812,834,127,642,613,264,322,114,208,133,136,33,20,3952,1857,2095,523,1556,1292,581
