"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","UNDERREP_less25","UNDERREP_25_to_34","UNDERREP_35_to_49","UNDERREP_50_to_74","UNDERREP_75_to_99","UNDERREP_100_to_149","UNDERREP_150_to_199","UNDERREP_200_more","UNDERREP_TOTAL"
"1","54874","ZCTA5 54874",1463,80,30,34,49,34,72,37,71,59,158,191,220,163,124,101,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,5,3,0,0,0,0,4,3,0,0,0,0,0,1456,80,30,34,49,34,72,34,71,59,158,191,220,163,120,101,40,7,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,7,0,0,3,0,0,4,0,0,7
"2","54902","ZCTA5 54902",9741,376,616,478,672,613,640,340,532,318,1024,1294,1287,853,333,197,168,150,0,15,6,21,0,19,0,0,34,21,0,24,0,0,0,10,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,176,17,32,25,0,21,24,10,13,5,0,0,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,62,0,13,10,0,0,0,0,0,16,18,3,2,0,0,0,0,9499,361,616,410,645,613,640,325,532,293,983,1263,1272,853,333,197,163,254,15,0,68,27,0,0,15,0,25,41,31,27,0,0,0,5,42,19,34,21,24,0,0,10,150,110,0,40,72,27,0,0,5,254,152,19,74,93,48,0,0,15,404
"3","53224","ZCTA5 53224",3049,67,67,128,90,176,141,192,202,108,248,488,445,313,201,88,95,4065,303,486,162,260,216,276,205,130,115,335,333,318,306,401,168,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,12,0,0,0,10,16,8,34,9,15,24,20,41,0,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,38,0,0,50,35,26,0,0,30,71,9,28,24,0,14,179,0,0,8,0,4,29,0,63,8,10,29,28,0,0,0,0,2875,57,36,128,90,176,118,143,190,108,248,483,424,290,201,88,95,586,10,89,8,0,50,75,75,55,8,30,76,21,51,24,0,14,1211,492,450,668,318,707,168,51,4065,107,125,138,106,21,75,0,14,586,1318,617,588,774,636,782,168,65,4651
"4","53404","ZCTA5 53404",3121,143,164,115,243,198,301,146,133,115,207,315,466,195,224,93,63,1779,393,292,117,120,53,208,77,54,140,68,156,70,26,5,0,0,68,0,0,0,0,15,0,0,18,0,35,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,13,41,0,106,0,49,88,0,19,15,37,87,0,16,14,15,100,25,0,14,6,0,10,0,39,6,0,0,0,0,0,0,0,2300,102,157,88,140,138,119,101,133,107,122,172,416,185,164,93,63,1383,54,48,27,215,60,231,133,18,33,132,180,137,10,76,14,15,922,261,271,224,70,31,0,0,1779,344,291,184,312,137,86,14,15,1383,1266,552,455,536,140,117,14,15,3162
"5","53529","ZCTA5 53529",808,12,6,15,27,42,46,15,24,33,43,80,105,103,100,85,72,10,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,776,12,6,15,27,26,46,15,24,33,43,80,102,103,100,85,59,35,3,0,0,0,16,0,0,0,0,0,0,3,0,0,0,13,3,0,0,7,0,0,0,0,10,3,16,0,0,3,0,0,13,35,6,16,0,7,0,0,0,13,45
"6","53549","ZCTA5 53549",3979,131,148,167,131,177,178,259,162,171,394,475,488,459,317,253,69,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,6,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,45,10,0,0,41,0,0,0,0,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3858,124,135,167,124,177,150,245,162,165,374,475,481,445,317,248,69,267,7,21,0,52,10,28,14,41,6,20,0,7,14,0,5,42,0,0,0,0,0,20,0,0,20,80,38,61,20,7,14,5,42,267,80,38,61,20,0,34,5,42,287
"7","53550","ZCTA5 53550",436,0,11,12,25,26,17,13,20,23,46,33,85,58,24,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,436,0,11,12,25,26,17,13,20,23,46,33,85,58,24,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","53108","ZCTA5 53108",1299,51,110,19,35,16,28,137,21,37,121,181,118,65,156,118,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,51,110,8,35,16,28,137,21,37,121,181,118,65,156,118,86,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,11
"9","53110","ZCTA5 53110",7099,327,251,384,432,220,335,431,293,383,587,844,1206,710,329,223,144,229,0,34,39,24,0,0,64,0,31,23,0,0,0,14,0,0,43,0,0,0,2,10,0,0,17,0,10,4,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,86,0,0,0,0,13,7,0,0,9,0,0,0,0,0,0,144,37,0,0,26,0,0,0,0,23,18,5,22,13,0,0,0,6725,303,251,384,406,205,306,422,293,364,556,841,1049,677,310,214,144,572,110,34,39,26,15,29,16,0,42,40,3,157,33,19,9,0,97,0,95,23,0,14,0,0,229,209,44,58,43,157,52,9,0,572,306,44,153,66,0,66,9,0,801
"10","53114","ZCTA5 53114",924,17,13,9,27,38,31,21,28,15,151,101,178,118,90,71,16,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,3,0,8,0,0,0,0,866,17,13,9,27,28,16,21,24,15,139,101,178,118,78,66,16,95,0,10,0,0,10,15,0,4,16,15,0,8,0,12,5,0,3,0,0,0,0,0,0,0,3,10,25,20,15,8,12,5,0,95,13,25,20,15,0,12,5,0,98
