Participant ID,"Q1: In your neighborhood, do you feel you are experiencing air quality problems? If so, what are the specific air quality problems and how are they impacting you, your family, or your neighbors? ","Q2: The City plans to install air quality monitoring sensors across Madison. Where would you like to see these sensors located (e.g., shopping area, schools, or residential areas)? And why are the areas you mentioned important to you?
","Q3: Have you done anything to improve the air quality in your home or neighborhood? If so, what did you do? If not, what prevents you from taking action?","Q4: Where do you get information about air quality in your neighborhood, your home, and working place?","Q5: How would you like to receive information about the air quality in your neighborhood? (e.g., from social media, text messages, newsletter from city/county to your email, neighborhood associations etc.)","Q6: There will be opportunities for you to participate in deciding where to deploy the air quality monitoring sensors. How would you like to be part of it? For instance, attending the community outreach event or connect with our working group to be the messenger to deliver this information to your neighborhood or other ways?"
106,"Si, por la cercania con el zoologico y la universidad, estadio el trafico es constante asi como los contaminantes.","Una combinacion de todo lo mencionado, areas de m{as tr{afico. En mi vecindario Drake St. Randall","Uso menos el vehiculo y camino m{as. Estoy concientizando a mis inquilinos a tener en cuanto el cambio climatico y de usar sus ahorros energeticos y del agua, asi como el uso del vehiculo",Citio de la ciudad y canal del clima,Mensajes de texo,Asistiendo a las juntas comunitarias.
108,Si porque estan cortando arboles para construccion de edificios y nos estamos quedando sin vegetacion.,Me gustaria en schools area donde viven gente,Tratando de cuidar mis arboles que estan cerca de mi,En las noticias,Por mensajes de texto,Si
109,Un poco la ciudad esta construyendo mas edificios y no se nota que esten mas arboles,"No lo se, pero seria en lugaes donde tienen nuevas construcciones","no, porque no hay mucha informacion y solo se rento, no hay posibilidades de plantar arboles","no, no hay informacion especial sobre este tema",Boletines o informes en las noticias locales,"no lo creo, en la comunidad donde vivo no hay mucha informacion de este tema"
111,"si, por la contaminacion de las industrias o fabricas. Afecta la salud, especialmente en tema respitatorio y tos.",En Middleton en donde hay fabricas o empresas industriales,"Si, hemos usado el humidificador y productos de Just, como Eucasol y aceites esenciales.",consulto la pagina web,"todas las anteriores son bienvenidas, especialemte por correo electronico.","Asisti a los eventos, con un plan mas especifico, o plan de accion"
112,"Si, vivimos en Middleton y es una zona industrial con varias fabricas que generan emisiones contaminantes.",En las areas residenciales para que los ciudadannos tengan informacion actualizada y tomen medidas,"Si, usamos un humidificador",No sabia que existian herramientas asequibles a la poblacion para medir la calidad del aire,Por mensaje de texto y-o accediendo a un app para consultarla diariamente,Asistir al evento
124,"Yo vivo en la zona rural de Middleton y hay muchos arboles, pero si  me preocupa el despale en el alrededor.","areas de las escuelas por los ni°nos, por el bienestar de ellos y las zonas mas pobladas.",Tengo plantas dentro de mi casa que ayuda con el ambiente y afuera sobre todo en verano planto arboles de temprada,nunca he buscado informacion pero si frequento areas verdes,"boletines, redes sociales, correo electronico",Podria ayudar a entregar informacion en donde vivo yo
219,"No lo he experimentado, mas bien se sientes malos olores por Odana Rd.",Todas estas areas son importantes.,"Sacar la basura en periodos cortos, ventilar la casa con frequencia si el clima lo permite.",No. ,"Claro que si, boletines al e'mail","No conozco bien la ciudad, ni menos las zonas que mas lo necesiten."
500,"Las fabricas que encarga en crematorio de sustancia toxica, eso afecta la salud",En area de escuela por la salud de los niños,"No, no he logrado ninguno porque estoy recien que llegue al pais.",No lo se.,Por mensaje so correo,Podria participar en trabajar si necesitan ayudar en la instalacion de sensores.
157,left_blank,Cerca de escuelas y areas donde este mucha gente,Plantar arboles.,left_blank,"redes sociales, correo electronico",Asistir al evento
122,N/A,"En un lugaren escuelas o areas residenciales, por los niÑos en la escuela donde asisten mis niños no tienen calidad de aire (aire acondicionada).","No he realizado nada, solo dejades",no se donde acudir,"mesnaje de texto, boletines de la ciudad",asistir al evento comunitario
131,"no lo he experimentado, mas bien se sientes malos olores por Odana Rd.","escuelas, porque alli se concentran contidad de poblacion durante un periodo largo a diario","No, no lo hice, aunque abro las ventanas a diario","No tenemos un lugar en especificio, hoy aproveche de esta infromacion",Mensajes de texto en el correo electronico,"asistir a eventos como este, gracias!"
103,"En el vecindario donde vivo tiene arboles, pero creo que deberian planear mucho mas",en las escuelas y residencias para que monitoreen muestros hijos y a nuestra comunidad,no,en ningun sitio,redes sociales,me gustaria asistir a un evento
130,No que yo sepa,"areas comerciales, aeropuertos",si en casa usando purificadores de aire,informacion en internet,mensaje de texto,si asistir a eventos
116,creo que en esta area no se ve tan afectada pues estoy rodeado por el lago y un parque,"en las avenidas principales de cada sector de Madison, no en las residenciales",no,no lo he buscado,Una app.,Participar activamente en proyectos dirigidos a esre proposito
220,Creo que no hay problemas con la calidad del aire en mi vecindario.,Creo que toda el area de Madison debería ser monitoreada,No he hecho nada para mejorar la calidad del aire en mi hogar porque no conozco que puedo hacer,Solo la he obtenido en este vento,Creo que se debria divulgar por todos los medios posibles,Aprender o conocer el plan de implementacion de sensores de monitoreo de la calidad de aire.
