Numbers in three digits,"We can just enter ""everyday"", ""many_times_daily"", ""many_times_weekly"", ""once_or_twice_montly"", ""multiple_times_montly"", ""never""","A number from 1 to 5. 1 meaning ""extremely improbable"" and 5 meaning ""extremely probable"".",,,,,Enter the text in Spanish as what participants wrote,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,ranking a number from 1 to 10,,"Please enter a number from 1 to 5 where 1 means participants chose ""Not at all"" and 5 means participants chose ""Very much""",,,"Please enter 1 if participants chose Disagree Strongly, 2 for ""Disagree somewhat"", 3 for ""Neither agree nor disagree"", 4 for ""Agree somewhat"" and 5 for ""Agree strongly""",,,,"Please enter 1 if participants chose Disagree Strongly, 2 for ""Disagree somewhat"", 3 for ""Neither agree nor disagree"", 4 for ""Agree somewhat"" and 5 for ""Agree strongly""",,,,,,,"Please enter 1 if participants chose Yes, and 0 if participants chose No",,,,,,,,,
Write down your participant code:,How much time would you spend on the platform over the next three months? Please select one:,"Posting/responding to comments about the environment, extreme weather, programs, and resources (e.g., asking questions or answering questions posted by other community members)","Learning (e.g., about climate change, the location of funding for home weatherization)","Collecting data (e.g., using the social map to identify where trees are needed)","Securing community resources (e.g., helping point out where resources are needed and what programs they could benefit from)","Responding to surveys (e.g., providing feedback on proposals from the city/county)",What do you think is the greatest benefit of a digital deliberation platform?,What do you think is the greatest challenge of a digital deliberation platform?,high utility bills,organizations that should address the high utility bills issue,Lack of access to clean energy job opportunities,Organization that shoudl address the issue,Health risks from high heat,Organization that shoudl address the issue,Poor indoor air quality,Organization that shoudl address the issue,Poor outdoor air quality,Organization that shoudl address the issue,Lead paint or other toxins in homes,Organization that shoudl address the issue,Drafty or uncomfortable homes,Organization that shoudl address the issue,Access to green space and trees,Organization that shoudl address the issue,Other,Organization that shoudl address the issue,I am interested in local community politics or local community affairs.,"I feel informed about how City of Madison and Dane county policymaking on environmental issues works,",I am aware of local government’s programs to help me weatherize my home.,I trust the local government to do what is right for my communities.,I am satisfied with the local government’s openness in providing public service information to my communities.,I am satisfied with the public services that local government provide to my communities.,The local government have the capacity to deliver high-quality public service to my communities.,People like me can have a say in the environment justice issues related to my community. ,People like me can have an impact on the environment policymaking process in my community.,I have the knowledge and skills I need to improve environment in my community.,I have the knowledge and skills I need to respond to the collective problems facing my community. ,I want to work with other community members to take actions to improve environment in my community.,I can create positive changes in my life.,I have the ownership over environment problems facing my community.,I will talk to people to about climate change and what we can do to reduce its impact.,I will contact a politician or a local government official.,I will visit the local government website.,I will donate money to an organization or group.,I will boycott certain products for environmental reasons.,I will volunteer to work on a community project.,I will look more into the information and resources about environmental issues,I will take steps to reduce energy consumption at my home.,I will make a plan to protect myself and my family in case of extreme weather.,"What additional things would you like the City and County Officials to know, or you would like them to provide to you? Please write down in as much detail as possible below."
ID,intend_time_to_spend_platform,post_platform,learn_info_platform,collect_data_social_map_platform,secure_community_resource_platform,respond_to_survey_platform,benefit_platform,challenge_platform,high_utility_bill,high_utility_bill_org,clean_energy_job,clean_energy_job_org,high_heat,high_heat_org,poor_indoor_air,poor_indoor_air_org,poor_outdoor_air,poor_outdoor_air_org,lead,lead_org,draft_home,drafty_home_org,green_space,green_space_org,other_issue,other_issue_org,civic_capacity1,civic_capacity2,civic_capacity3,attitude_gov1,attitude_gov2,attitude_gov3,attitude_gov4,empowerment1,empowerment2,empowerment3,empowerment4,empowerment5,empowerment6,empowerment7,civic_engagement1,civic_engagement2,civic_engagement3,civic_engagement4,civic_engagement5,civic_engagement6,civic_engagement7,civic_engagement8,civic_engagement9,additional_request
109,once_or_twice_montly,3,4,3,3,3,Que este tambien en otros idiomas.,Que mas personas tengan la informacion adecuada sobre estos temas.,1,left_blank,5,left_blank,2,left_blank,7,left_blank,6,left_blank,3,left_blank,4,left_blank,8,left_blank,left_blank,left_blank,3,2,1,3,3,3,4,3,3,4,3,3,5,3,1,0,1,0,1,left_blank,1,1,1,left_blank
108,once_or_twice_montly,4,left_blank,4,4,left_blank,Para tener mas informacion.,left_blank,8,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,6,left_blank,7,left_blank,10,left_blank,left_blank,left_blank,2,3,2,4,4,4,5,4,3,4,4,4,3,3,1,0,left_blank,left_blank,left_blank,1,1,1,1,left_blank
148,once_or_twice_weekly,5,5,5,5,5,Me parece fantastico porque nos da acceso a informacion y ademas para expresar nuestras opiniones y preocupaciones.,Participacion de las personas,7,Gobierno,8,unintelligible_answer,1,left_blank,2,left_blank,3,left_blank,5,left_blank,4,left_blank,6,left_blank,left_blank,left_blank,5,3,5,4,2,2,2,4,5,2,1,5,5,1,1,left_blank,1,0,1,1,1,1,1,Me encantaría que hubiese buenos programas de reforestación. 
224,once_or_twice_weekly,5,5,5,1,5,Alcance inmediato de la informacion.,Lograr que se haga popular.,1,MG&E,1,MG&E,1,Gobierno,1,Dueños de casa,1,Gobierno,1,left_blank,1,Dueños de casa,1,Dueños de casa,left_blank,left_blank,1,1,1,4,5,5,5,5,5,5,1,1,5,5,1,0,1,0,0,0,1,1,1,El desarrollo inmobiliario del Istmo me parece extremo...perocreo que continuará. :(
221,once_or_twice_montly,3,4,4,4,4,La participación de la población en busqued de la comunidad,La consistencia en la participación.,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,2,left_blank,left_blank,left_blank,left_blank,left_blank,3,left_blank,1,left_blank,Conocimiento del tema.,left_blank,4,2,1,3,3,4,3,4,5,3,2,3,4,2,1,0,1,left_blank,left_blank,0,1,1,1,Que efectuaran mayor publicidad para que la gente se informe de la situación ambiental actual y la situación a la cual nos enfrentamos.
212,once_or_twice_montly,3,4,3,4,3,Making sure that communities and people stay informed and are able to contribute to help better their envrionments.,It might be difficult to navigate throughout the pages.,5,left_blank,1,left_blank,4,left_blank,7,left_blank,6,left_blank,3,left_blank,left_blank,left_blank,2,left_blank,left_blank,left_blank,3,4,3,4,3,4,4,4,5,4,4,5,5,4,1,1,1,0,1,1,1,1,1,left_blank
210,once_or_twice_montly,5,4,4,4,4,Easy access.,left_blank,10,Local_government,10,Local_government,10,Department_of_Health,left_blank,left_blank,10,Department_of_Health,10,Local_government,10,left_blank,10Local_government,left_blank,left_blank,left_blank,5,3,3,3,3,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,left_blank
209,once_or_twice_montly,3,4,3,3,4,El beneficio es la accesibilidad y transparencia que la plataforma dará a todas las personas que la accedan.,Hacer conocida en nuestra comunidad.,7,Local_government,9,Department_of_workforce,5,Department_ of_ Natural_Resources,8,Department_ of_ Natural_Resources,8,Department_ of_ Natural_Resources,7,Local_government,5,Local_government,5,Department_ of_ Natural_Resources,left_blank,left_blank,4,5,2,3,3,4,5,5,5,4,3,3,5,5,0,0,1,0,1,1,1,1,1,left_blank
208,once_or_twice_montly,3,4,4,3,5,Pa información. ,Participar y ayudar.,6,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,left_blank,left_blank,5,4,left_blank,5,5,5,5,5,4,4,4,4,3,4,0,left_blank,0,0,left_blank,0,0,0,0,left_blank
207,everyday,4,5,5,5,5,Crear una mejor solucion a los beneficiarios.,Econtrar mejores soluciones.,9,left_blank,8,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,left_blank,left_blank,5,3,3,5,5,5,5,5,5,5,4,4,4,4,1,0,1,1,1,1,1,1,1,Continuar con el tema.
205,once_or_twice_weekly,2,3,3,3,2,left_blank,left_blank,9,left_blank,10,left_blank,10,left_blank,9,left_blank,9,left_blank,10,left_blank,10,left_blank,10,left_blank,left_blank,left_blank,1,1,3,4,3,3,3,5,5,5,3,3,5,3,1,0,1,0,1,0,1,1,1,left_blank
220,once_or_twice_montly,3,4,4,3,3,Poder participar el cualquier momento.,Ser visitada frequentemente.,8,left_blank,7,left_blank,6,left_blank,3,left_blank,4,left_blank,2,left_blank,1,left_blank,5,left_blank,left_blank,left_blank,3,2,2,4,3,4,4,5,5,4,3,4,5,4,1,0,1,1,left_blank,1,1,1,1,Creo que s epuede trabajar en mejorar las condiciones climáticas y al mismo tiempo como se podría utiliar este cambio climático a nuestro favor.
131,multiple_times_montly,3,3,4,3,4,Eventos como este para llegar directamente a las personas.,"Tener temas, contenido que beneficien a la población (vecinos).",10,left_blank,8,left_blank,10,left_blank,8,left_blank,8,left_blank,10,left_blank,10,left_blank,10,left_blank,left_blank,left_blank,5,3,3,4,4,4,4,5,5,4,4,5,5,5,1,0,1,0,0,1,1,1,1,"Tener programas televisivos, radiales que hagan impacto en la comunidad."
130,once_or_twice_weekly,5,4,4,3,4,Mayor información creible.,El involucramiento de la población.,1,Local_government,3,federal_government,1,local_government,1,local_government,1,federal_government,1,Local_government,3,double_answer,1,local_government,left_blank,left_blank,5,3,3,4,4,3,5,4,5,5,4,4,5,5,1,0,1,1,1,1,1,1,1,Mayor informacion en redes sociales.
103,once_or_twice_weekly,5,3,3,3,3,Información para la comunidad.,Recopilar opiniones diversas e implementarlas.,8,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,left_blank,left_blank,4,2,2,3,3,3,4,5,4,3,3,4,4,4,1,0,1,1,0,1,1,1,1,left_blank
116,everyday,3,4,left_blank,4,4,Mantener una verdadera información.,Lograr datos concretos y verídicos.,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,5,2,2,4,4,4,3,4,3,4,4,4,5,4,1,1,1,1,0,1,1,1,1,left_blank
157,once_or_twice_weekly,5,4,5,4,4,Infromación.,Participación.,1,left_blank,2,left_blank,1,left_blank,1,left_blank,left_blank,left_blank,1,left_blank,2,left_blank,3,left_blank,left_blank,left_blank,5,4,4,4,left_blank,3,4,4,5,4,4,3,5,4,1,1,1,0,1,1,1,1,1,Información atra vez de agencias locales.
137,multiple_times_weekly,5,4,5,4,4,Información.,Opinar.,7,left_blank,6,left_blank,9,left_blank,7,left_blank,5,left_blank,4,left_blank,5,led,6,left_blank,left_blank,left_blank,4,5,5,4,5,4,4,3,3,3,3,3,2,3,1,0,1,0,1,0,1,1,1,unintelligible_answer
left_blank,once_or_twice_weekly,3,4,3,4,3,"Un solo lugar para informarse del cambio climático y sus consequencias, una oportunidad para involucrarme e posibles soluciones.","Seguimiento por parte de los creadores, pasar de la queja a la acción.",5,left_blank,6,left_blank,1,left_blank,3,left_blank,2,left_blank,4,left_blank,8,left_blank,7,left_blank,Excesivo uso del plástico.,left_blank,3,3,3,4,2,left_blank,3,4,4,4,4,4,4,3,1,0,1,1,1,1,1,1,1,left_blank
104,once_or_twice_montly,4,4,3,4,4,Informativo y participativo.,Atraer a la comunidad.,8,left_blank,10,left_blank,10,left_blank,10,left_blank,10,left_blank,8,left_blank,10,left_blank,10,left_blank,left_blank,left_blank,4,2,2,4,4,3,4,3,4,2,2,3,5,2,1,0,1,0,1,0,1,1,1,left_blank
500,once_or_twice_weekly,5,5,5,5,5,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,5,5,1,5,5,5,5,5,4,4,1,5,5,5,1,0,1,1,0,1,left_blank,1,1,left_blank
219,once_or_twice_weekly,4,3,3,2,4,Su consulta pública en cualquier tiempo.,Que esté actualizada.,3,left_blank,4,left_blank,2,left_blank,3,left_blank,3,left_blank,2,left_blank,1,left_blank,3,left_blank,left_blank,left_blank,3,4,4,4,5,5,4,4,3,3,3,3,4,3,1,0,1,left_blank,1,0,1,1,1,"Estudiaran la posibilidad de buenas y grandes áreas de diversión para niños en sitios cerrados, por el invierno."
124,multiple_times_weekly,left_blank,5,3,5,5,Justo para aprender y poner en práctica en casa y orientar a otras personas.,Hacer que la gente se entere y así haga uso de ella.,10,state_and_organizations,10,state_and_organizations,10,state_and_organizations,10,state_and_organizations,10,state_and_organizations,10,state_and_organizations,10,state_and_organizations,10,state_and_organizations,left_blank,left_blank,4,4,3,3,3,3,5,5,4,3,3,4,5,5,1,0,1,0,1,1,1,1,1,Más información en Español.
112,everyday,4,4,4,4,5,"Muy importante tener retroalimentación de la comunidad, para ptimizar las acciones y los recursos.",Generar cultura de consulta permanente y aportat comentarios de la comunidad para seguirla mejorando.,7,left_blank,5,left_blank,2,left_blank,7,left_blank,6,left_blank,8,left_blank,3,left_blank,4,left_blank,left_blank,left_blank,4,3,3,4,4,4,5,5,5,4,4,4,5,5,1,1,1,1,1,1,1,1,1,left_blank
111,everyday,4,4,4,3,4,Retroalimentar los conocimientos y aprender más de los expertos.,Mantenerla actualizada y con motivación para general cultura ambiental. ,1,left_blank,7,left_blank,2,left_blank,6,left_blank,3,left_blank,8,left_blank,5,left_blank,4,left_blank,left_blank,left_blank,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,1,1,1,1,1,left_blank
106,once_or_twice_weekly,5,5,5,5,5,El aspecto educativo y su impacto.,Que se sustenga actualizada y que el input de la comunidad se vea respondido.,1,city,7,state,2,Department_of_Health,5,left_blank,6,city,8,governamental_organizations,3,left_blank,4,forestry,left_blank,left_blank,5,5,5,4,4,4,4,5,5,5,5,5,5,5,1,1,1,0,1,1,1,1,1,Cuidado de los lagos y del agua en general. Evitar su contaminación. Reciclado adecuado y correcto.
149,once_or_twice_montly,4,5,4,3,4,Es la mejor forma de llegar a más personas. ,Lograr que las personas esten interesadas en acceder a la plataforma y usen la información.,4,state_of_WI,6,state_of_WI,2,state_of_WI,7,owner_with_assistance_like_tax_credit,3,owner_with_assistance,8,owner_with_assistance,1,tax_credit,5,State_of_WI,left_blank,left_blank,4,2,5,4,4,3,5,3,4,3,3,4,5,3,1,0,1,0,1,1,1,1,1,left_blank
152,many_times_daily,4,5,4,4,4,"El saber, entender y ayudar.",Hacer que las personas lo usen y lo practiquen.,2,left_blank,2,left_blank,1,left_blank,1,left_blank,1,left_blank,2,left_blank,2,left_blank,1,left_blank,left_blank,left_blank,5,4,4,left_blank,3,3,3,5,5,5,4,5,5,3,1,0,1,0,1,1,1,1,1,left_blank
153,once_or_twice_weekly,5,5,5,5,5,Llegar a más personas.,Informar a la mayor parte de la población.,1,city,1,left_blank,1,left_blank,1,left_blank,1,left_blank,1,left_blank,1,left_blank,1,left_blank,left_blank,left_blank,5,1,3,3,3,4,3,5,5,4,4,5,5,5,1,1,1,0,1,1,1,1,1,Me encantaría que me incluyan en e-mails para mantenerme informada. LLubitza.509@gmail.com.
154,once_or_twice_montly,2,2,2,2,2,"Mayor informacion, mayor exploración de recursos","Idioma, no contar con tecnología.",1,left_blank,8,left_blank,2,left_blank,6,left_blank,7,left_blank,4,left_blank,5,left_blank,3,left_blank,left_blank,left_blank,4,4,3,4,2,2,4,5,5,5,5,5,5,4,1,0,1,0,0,0,1,1,1,Concientizar a los niños-jóvenes que están en la escuela a plantar un árbol alguna vez en el año para mejorar la calidad de vida.
163,once_or_twice_weekly,4,4,4,4,4,Estar más informado y la comunicación es muy importante.,Dedicar tiempo a esta plataforma.,7,government_of_WI,3,city,2,city,8,Dane_County,1,city_of_Madison,5,Dane_County,6,Dane_County,4,city,left_blank,left_blank,4,4,4,3,4,4,4,4,4,4,3,4,5,5,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank,left_blank
201,once_or_twice_weekly,4,3,3,3,4,"Conocimiento, aprender loq ue está pasando y cómo podemos ayudar ser parte del cambio.",Navegar.,2,left_blank,7,left_blank,4,left_blank,6,left_blank,3,left_blank,5,left_blank,1,left_blank,8,left_blank,left_blank,left_blank,4,3,3,4,3,4,5,5,5,3,3,left_blank,4,3,1,left_blank,1,0,1,1,1,1,1,left_blank
501,multiple_times_montly,4,4,4,4,4,Información. ,Compartir.,2,left_blank,1,left_blank,3,left_blank,1,left_blank,1,left_blank,2,left_blank,3,left_blank,3,left_blank,left_blank,left_blank,1,2,1,2,2,2,3,2,3,3,3,3,4,4,1,1,1,0,0,0,1,1,1,left_blank
216,once_or_twice_weekly,3,4,3,4,4,"Que es de forma accesible al público, por lo tanto tenemos una participación activa en ella.","Pienso que la organización de la información de tal manera que sea clara para todo , y que haya inclusión, para todo público.",5,left_blank,4,left_blank,1,left_blank,left_blank,left_blank,1,left_blank,1,left_blank,3,left_blank,1,left_blank,left_blank,left_blank,3,2,1,3,4,3,3,5,3,3,3,3,5,3,1,left_blank,1,left_blank,1,1,1,1,1,left_blank
150,multiple_times_montly,5,5,5,5,5,"Informar al condado y los vecindarios, también compartir ideas y sugerencias.",Que sea fácil de navegar y pueda atraer frecuentes visitas.,1,"MG&E, Alcaldía",1,"MG&E, Alcaldías_locales",1,"Hospitales, Dane_County",1,Dane_County,1,Dane_County,1,local_Alcaldía,left_blank,Alcaldías_locales,left_blank,Alcaldías_locales,left_blank,left_blank,4,4,4,5,4,4,4,5,5,4,4,5,5,5,1,0,1,0,1,1,1,1,1,Información de paneles solares.
