participant_code,gender,education,household_income,own_rent,race,zip,environmental_issues_open,environmental_goals_open,energyhousingB_q1,energyhousingB_q2,energyhousingB_q3,ExtremeHeatA_q1,ExtremeHeatA_q2a,ExtremeHeatA_q2b,ExtremeHeatB_q1,ExtremeHeatB_q2a,ExtremeHeatB_q2b,trees_q1,trees_q2,trees_q3,trees_q4,environmental_issues_open_pre,environmental_goals_open_pre
101,1,2,3,rent,A person known as Black,53713,"popultion, need more way to have good air, more energy saving","help out in community, community garden, use car less","solar panels, AC, lots of windows","LED light all over, weatherize windows","buy more clothes, ** rest of the money I save for a house","I got a fan, open the windows","yes, I got tired and no energy",MGE and landlord,"cooling centers, passing out waters","community centers, keep the air on stay hydrated, water, fans, 211","staying open, sharing info on where to go, news outlets","Yes, It's the air, and it looks nice","the community, green space in the backyards, trees all in front ",not alot of space in the front and the back is a parking lot,"Yes, to help the community and the look of our space, improves health",,Don't put trash on the ground
103,2,2,1,rent,A person known as Black,53704,"more trees, more gardening space more money in communities to promote good health","unplug, less water usage, turn down thermostat",it includes heat/air more solar power & cutting back on consumption,I would use more solar energy,The extra 100 would than be used for another bill or maybe food,Yes I was visiting familyt in the south we put ice in a bowl and turned up the fan,"Yes dehydration was rushed to the hospital cancer patient, copd, asthmatic",lower electric bill for the sick and elderly. MGE should make donations,There would be cool air for everyone or a cooling place for the elderly which promote more community input,I have not yet had to deal with this problem but I would consult w/ someone from Health & S.S,"Newsletters, T.v. Radio Community bulletins, public announcements","Yes, for the beauty, shade, & health reasons environmental purposes","Back yards, some front yards. Power Company's like the water company & MGE should be responsible and held accountable",where to plant when to plant seeking as much knowledge as possible about planting. Community in charge.,"Yes, I believe tree's play an important to save our planet. ",food shortage,
104,2,5,1,rent,Other,53562,Technology,,comfy,everyone control their heat and cooling system,great!!,Put my head in the fridge or sit in front of the fan ,got to hot due to the heat,I should have stayed in the house,"Free bus service, free water, balloon fght, flash park","connunity outreach center to cool off, word of mouth, 211","the news, by making things free (you said perfect world) ",Yes. They're beautiful improve community reduce energy cost,Myself trees and plants will be everywhere like a,some people might complain,I will ,,
105,2,2,1,rent,A person known as Black,53711,not knowing,trying to keep it clean,"cooling - turn on the air for about 2 hrs. Turn off then keep the fan on. Have on the heat around 67-70 if I get hot ""turn on a fan""","set your temps to the temp you want ""Hot or cold"" and if that temp gets to the ""set temp it stays, but you can change it","more food, gas, on other bills or more money in your account ""you might can do something for yourself""","I closed everything up ""windows blinds"" turn lights off and just turned on the fan",no,,"lower the cost to use it. Help people get better ones ""low income"" or free to the unfortunate. ",do to a center or call 211,putting the info out more and everywhere,"Yes, health, energy, beauty","I would have to learn more about space and trees ""kind"" **","where who would take care of them, how long they would last, what kind",Yes I would ,"Housing ""cost and not enough low income Apts.""",I have to learn more about it
107,2,2,1,rent,A person known as Black,53711,polution,"Improve my physical surroundings, at home, outside and in public areas","Better health, cleaning made easier, more happy","I would have solar panels, wind mills, better building materials, and solar windows ect.","better financial support for food, basic living, and economics","Unfortunately not. But working with the elderly & disable people, I have had to call 911, in come cases because of heat **","Yes working outside in extreme heat, fainted, asthma & breathing issues.",would have like to have had a med tech or someone with medical experience,"Lower utilitie bills, better support for sick and elderly, more cooling centers",call for financial support from local agencies to keep utilities on and running ,"online, in person, mail, transportation more accessibility","Yes, but smaller ones, the bigger older trees have damaging roots. ","Environmental Specialist, smaller trees, more sustainable grass and landscaping",Too many apartment buildings & businesses and new traffic patterns,"Yes, I would like to see if but no, because of health issues probably wouldnt participate","Carbon, pollution ect ","Being mindful of water usage, recycling and learning about other electric recources"
110,1,2,4,rent,A person known as Black,,global warming,continue working to be a productive citizen who pays taxes to have other that know better than me can make changes,I would have smart thermostats and I would provided with solar panels,"Most systems would be electric using recyclable energy i.e. solar panels, windmills thermal",I would be able to contribute more to daughter education fund,"Yes, used fans and took cold shower. also put water on towels to place over head. ","Yes, felt tired, felt faint and no energy. I decided that job wasnt for me. ",I was lucky and found employment the next day however I would like people who have a doctor's excuse to be able to take paid days off. ,having a city mandate the required renters to have air conditioners that has high btu's ,"I have air conditioner, so, I usually stay home or at work",having elected officials require landlords to have working air conditioners,"Yes, the reason for my is that although we are focusing on the climate I just believe they are beautiful","there would be a central area in the middle of every four blocks, the neighborhood","first off no grass, so potting or maintaining trees would be impossible","No, because I for one, don't believe there would be much interest.",energy saving,to continue to allow people that are smarter than me to be elected and have some changes in the law to help slow global warming
112,2,6,1,rent,A person known as Black,53711,Affordable heating and cooling cost with environmental friendly and efficient appliances,lower my footprint and consumption on the environment weatherize my home. Turn off appliances not in use.,"Affordable, efficient, and environment friendly","For heating, solar panels, electricity turbine generators, good insulation, and affordable and environment friendly",That would be a high blessing because I'm currently struggling badly with my utility bill. I could put the extra savings toward the high cost of increased rent. ,"Yes, in school during the summer. I drank more water and used a fan to help, although it just blew out hot air. ","In high heat I wheeze more from my asthma, I feel faint and no energy.","More financial support for cooling my apartment from energy assist cooling stations, and free air conditioner units for low income residents that don't have them or can't afford them. ",Providing air conditioners to residents that doesn't have them in their homes. Assistance with cooling cost/energy cost. ,To the mall or a family member or friend's home. Energy Assistance for additional funds to pay my bill so I can use my air conditioner,"Providing more Energy Assistance, providing more cooling spaces, sprending more information on News Stations.","Yes, to help with carbon emissions, to help with cooling and shade, to help with the ozone layer depletion, to bring calm in the spring and fall, to grow fruit bearing foods ","A dream neighborhood lead by the community/residents would definitely have garden spaces, lots of beautiful trees, flowers, solar panels, and clean water","Being a renter I may need permission form the owner, knowledge of what it takes to maintain the trees","Yes, I love trees blooming in the spring and the beautiful colors they turn in the fall. ","Heating cost and relying on other countries for fuel. global warming, pollution and landfills, pesticides in food.","Plant trees, gardening as much as I can and not use harmful pesticides. "
113,2,7,2,rent,A person known as Black,,The most urgent is global warming and we should all be mindful of the environment and one day at a time clean it up. Starting c plastic bottles stop filling up our landfills & water. ,Eliminate using plastic bottles,Solar panels on my home and garage,solar panels and trees,"turn off light when not in use, use night lights to luminate pathway in home and outdoor",No,Landlord should provide cooling in the rental apartments especially when seniors are present. Ensure tentents are provided info on where to go or what to do. ,programs for air conditions and cooling devices or places to go to be cooler,"Provid cooling places or centers, open water parks and pool safely and insure everyone understand","I call 211 if I don't know, making sure News agencies & information resources relay message to public clearly",By providing better services for energy,"Yes, due to shade it improve community involvement healthy benefits and ","Beautiful tree line space for veggie & flower gardens, discounts and incentives to promote practicing green living",Finding spaces for them because of there is no spaces for the due to the concrete fill in ,"Yes, it provide shade and clean air",Global Warming,I've been trying to buy less plastic to not pollute the landfills
114,2,2,3,rent,A person known as Black,53713,cost and access to resources for heating and cooling,1. Start gardening 2) be more cautious about the amount of energy I use.,I would have a thermostat and can control my own heating and cooling.,They would all have thermometers to control their own heat and cooling. Both would be included in rent. ,That additional funding could go towards other bills or even start a savings. ,"when I was in a situation where I couldn't cool off and no A/C, I left that place and discontinued my trip. ","I don't believe my life was in danger, but I did feel faint and had low energy. We lived in AZ and had an event outside. We ended up leaving early. ",Water stations with free water (they were selling water) large outdoor fans and shade tents for customers. ,"There would be cooling centers, apartments would be provided for those in need and cooling supplies such as fans, water, etc. would be accessible. ",Blessed enough to have access to A/C and fans at home and work,Maybe decreasing the cost of those services in general,"Yes, they make them more beautiful all while contributing to helping the environment.",It would have multiple types of trees and flowers. It would also have benches and ponds so people can enjoy the view. Neighborhood associations would lead it (the green space). ,Not enough area to plant because of buildings and streets. There is also a sewage plant nearby so some trees may not thrive .,"Yes, because I know the benefits and can share with others.",The most urgent environmental issues facing my community are people not making enough money to pay heat/electric and the bills themselves being really high in general,One goal I have to improve the quality of environment is to start planting plants and another is to recycle more. 
117,2,7,,rent,Other,53713,"Extreme heat, unpredictable rain",Planting more trees & saving electricity,Enough trees around for fresh air and a pollution free surrounding and county.,Solar panels for saving both energy and money and for cooling systems as well energy & power saving appliances. ,"It will contribute to both quality and quantity of well being, with much more planned expenses. ",Never been in such a situation.,never,,Spraying water in surrounding and to the trees around your society. ,"Air conditioner at home, places which have more cooler surroudings/environment","Go to parks/lakes around your society to have breathe-in cool air, make awareness about he same through flyers/pamphlets.","Yes, they make community safer along with fresh air.","Green spaces will be designed as small gardens, green houses & trees and an environmentalist will lead it.",To decide which plants & trees produce maximum oxygen so as to keep the surroundings healthy & fresh. ,"Yes, as I love nature & would like it look beautiful & beneficial both.",Extreme heat and unpredictable rains,Planting more trees
