participant_code,zip,environmental_issues_open,environmental_goals_open,What type of appliances for cooking do you have? How old are they? Gas or electric? Do they need to be updated?,"If you wanted to improve energy efficiency in your home, where would you start?",What is one change to your home’s energy system that would make you more comfortable?,"Can you afford to make updates that would reduce your energy consumption? If not, what type of program would support this? ",Do you know where to find resources to reduce your energy bill or weatherize your home? What agency or organization would you reach out to if you have a problem with energy in your home (such as AC or heating)?,What is your experience with extreme heat? Have you ever felt dizzy or dehydrated on hot days?,Is extreme heat in Dane County something you think or worry about? ,Does heat impact you or someone you know’s job? ,"If you wanted to find information about what to do on extremely hot days, where would you look? ",How close do you currently live to green spaces? ,Do you think more trees would benefit your neighborhood? Why or why not? ,"If so, where do you think new trees can and should be planted? Do you have space at or near your residence for more trees?",Would you help the city take care of new trees? ,Would you join a city program to plant trees? 
103,53562,Garbage is thrown into the street and not where it should be.,Create awareness.,"Refrigerator, stove, airFrayr, 10 years, electric, stove and refrigerator",Changing old appliances,Switch to solar energy,"We do not have a budget to upgrade, a solar energy installation program would help",I don't know,"We recently arrived and we come from a cold city, we experienced the heat and we overcame it. But no health problems",If we think about this case and of course we care,The heat does affect my work since there were a few days that because of this they did not give me a job,Internet,We live around trees,It benefits a lot to improve air quality,If they have more space around the summer,Of course it would help her to improve our planet,if i would join
104,53562,Garbage management.,Plant trees; Recycle; energy saving,"Stove, electric oven, fridge. 10 years, Air frair 2 years, I think they should be updated","Changing old appliances, changing traditional light bulbs for led lights",Solar energy,"No, I don't have a budget, solar energy installation",I don't know,"We recently arrived in the US, our first summer was calm, we were always in pleasant temperatures thanks to the AC, thanks to the trees","For now I don't feel worried, I think more about future generations","It doesn't affect my work, it's not abroad, I really admire people who work outdoors",By Internet,In the condominium where I live there are very good green spaces,"They benefit with the increase of cold, heat or floods","In the city parks, they have wide spaces that they could take advantage of.",YEAH,YEAH
105,,I am not informed.,,oven cooker,x,Turn off lights when not in use,Yes,I do not need it,None,NOT,NOT,Google,"Very good, although they cut some to build",Lots of them to help warm up,not because it is very expensive,of course,Of course
106,53711,,,Electrics/ +10/ Need to Update,"Sealing windows, doors, Cracks / use of a dehomidictor, ceiling fans, Constant cleaning of washing machines, dryers, refrigerators to improve their operation","Furnace/AC, electrical wiring",No +1000 furnace /AC/ heated +25000/ Government program,Yes but I don't think I qualify/MGE/County-City Energy Program,"Yes/ with nausea, dizziness and vomiting",I am very concerned about health/environment,At work because I expose myself to it,In some government agency / social media,across the street,"Hugely, the city's engineering department has felled +200 (mature) trees in my neighborhood (vias)",Replace felled trees with young trees in ridges and on the sidewalk closest to the street,Of course,Definitely
107,53713,"Lack of information, community awareness.","Use less electrical energy, use or replace household appliances as soon as possible.","Microwave stove, toaster, refrigerator less than 5 years old, if the fridge and the stove.","Renew appliances that need updating, the boiler",maybe solar panels,"Not now because there is no way to do it, I have no one to turn to","I don't know where to find resources, I would love to find more information about those resources",We have a tree very close to us and we cover ourselves there on very hot days,"Of course, maybe not so much for me but for my children and other children who come",Not now in the past yes,"On the internet, phone or on TV","Very close, around me","Better oxygen, shade. To improve climate change. If I agree that there are many trees","In residential spaces, they are generally all new buildings",I'm giving away a lot of peach trees,"Yes, since it depends on the quality of life of future generations"
108,53593,Plant more trees in spacious places.,,Electric / New,Unplugging appliances when not in use,"Wear warmer clothes in winter, model the temperature","Talk to children in order to save, raise awareness with young people",Madison Gas and Electric,YEAH,YEAH,YEAH,Google,A bit closer,Why having vegetation would help us to have more pure breath in our bodies,Yes,Yes and stay healthy,Yes I would like to support the community
109,53593,Many trees are missing - (Mexico). None in Verona.,Plant.,Electric / New,Unplugging appliances when not in use,"Wear warmer clothes in winter, model the temperature","Talk to children in order to save, raise awareness with young people","Madison Gas and electric, can guide",YEAH,YEAH,"YES, My children who work in construction",Google,A bit closer,"YES- See the colors, it would help with well-being, it looks very nice, it improves the air","Just for one, Trees that do not have much root, if trees should be planted, they beautify the environment",Yes,Yes of course
111,,"It is necessary to plant more trees, collect the leaves in autumn, recycle more, train in energy saving.",Learn more about this problem.,Electric / New,"Unplugging appliances and insulating doors and windows, turning on the thermostat less",Do not use the thermostat unnecessarily,"If, according",  I don't know,Not,Not,People engaged in construction,In Internet,Not very close,"Keep us cooler, during the summer. and reduce energy costs",not many spaces,if it would help,if i would join
112,53562,"Pollution, regular air quality, low tree planting.","Electrify the house, optimize energy consumption, recycle correctly and use bicycle transportation.",Electric / New,Insulating windows and doors. Using less AC and heating,"Optimize the use of AC and heating, Vivier surrounded by green areas","Yes, we are flexible to proposals","No. I would go to the gas, electricity company.",Not,"I had not thought about it until now, with what I have seen today I am raising awareness","Yes, I feel more exhausted",I don't know where to look,We do not have trees near our apt.,"It would help to have a cooler environment and would allow better air quality, to breathe better",It seems there are not many spaces to plant trees,of course,YEAH
113,,missing trees,,Electric / New,plugging leaks,Use less AC and heating,Yes,Not,Not,Not,Not,"yes, internet",Not,we could breathe better,no spaces,And it is,And it is
